recall_id,#clauses,n,segment_ids,text
5edfeb15743509317e9ec17c,13,20,"[5, 6, 9, 10, 12, 13, 15, 16, 24, 27, 28, 31, 35, 36, 37, 38, 39, 40, 46, 47]","A boy was at home looking after his very ill grandpa. He heard a voice say if he went to the church and light a candle, his grandpa would get better. He ignored it. He then heard it again. He decided to go and light a candle. When he got home, his grandpa was much better. He lived for 20 more years."
5f95f7f71193824c90e0b5ef,12,20,"[1, 3, 5, 6, 9, 10, 24, 25, 27, 28, 29, 31, 35, 36, 37, 38, 39, 40, 46, 47]",A 22 year old working in a bookshop heard a voice telling him to light a candle at the church for his sick grandpa. After he had lit the candle he went home and found his grandpa who had been unable to get out of bed sitting out in a chair with renewed energy. His grandpa made a full recovery and lived for many years.
5b9110223366db0001157e7d,10,21,"[1, 3, 9, 10, 13, 15, 19, 20, 24, 25, 27, 28, 36, 37, 38, 39, 40, 43, 44, 45, 53]","as a young man he had just started his first job and a voice inside his head urged him to go to the church and light a candle, he did and his grandpa recovered. This incident made him believe in faith and prayer."
5c6c81cf1137e9000178795b,18,21,"[1, 2, 3, 4, 5, 6, 7, 9, 13, 15, 18, 19, 27, 28, 36, 37, 38, 39, 44, 47, 51]","When he was 22 years old, he worked in a book store which was five miles from his house. He lived with his sister and grandpa who was bedridden for many years. Whilst in the bookstore, he heard a voice telling him to pray and he remembered his grandma told him pray brings miracles so he went to church and asked God to help his grandpa even though he wasn't religious he was asking for a miracle. He was then told by his sister that his grandpa suddenly left the bed which he believed was a miracle. His grandpa celebrated his 90th birthday and passed away a few years later."
5e550b1494d9e6505ac3e26d,18,21,"[1, 3, 4, 5, 6, 7, 9, 10, 13, 15, 17, 18, 24, 31, 36, 38, 45, 46, 47, 49, 53]","The story is about a 22 year old girl who works at the bookstore. Her and her sister look after her ill grandpa who cannot move without assistance. One day when the girl was shelving books in the store she heard a voice in her head telling her to light a candle in the church and it would heal her grandpa. She went to the church, although she was apprehensive because she is not particularly religious. She lit the candle and then had the sense to go home. When she went home her grandpa was up and well. This happened 20 years ago. Her grandpa lived to be ninety surrounded by his family. The story encourages a sense of faith."
5fb92475bca3903c9f3f7d45,17,21,"[3, 9, 10, 12, 13, 15, 19, 20, 24, 25, 26, 27, 28, 29, 31, 35, 36, 37, 39, 46, 47]",The person was young and working in a bookstore when one day he heard a voice telling him to go and light the candle at church for his grandpa at first he tried to ignore it but the voice repeated and he decided to head to the church before he entered the church he remembered the words from his grandma telling them about how powerful a prayer can be if you pray with a sincere heart so he went ahead inside the church where he found a candle and started to pray for his grandpa after that he went back to the bookstore where he felt a sudden surge to go home he got up and lock the store and went straight home when he got there he found his grandpa sitting in a stool and looked better then when he left him that morning and that was beginning of his recovery The grandpa lived till he was ninety years old.
615e0a9b470e2794d8318046,18,21,"[3, 5, 6, 7, 9, 10, 15, 16, 18, 24, 26, 27, 31, 35, 36, 37, 42, 43, 44, 46, 48]","A boy worked in a book shop. He had one sister who looked after his grandfather, who wasn’t able to look after himself. One day while shelving books, the boy heard a voice that told him to go to the church and light a candle for his grandfather. If he did this, and prayed, his grandfather would regain his strength. His grandfather hadn’t been able to leave his bed for months. The church wasn’t far down the road so the boy went. He found a candle and kneeled down. He wasn’t a very religious person so he started his prayer by saying he wasn’t sure how to pray. He asked for his grandfather to regain his strength. When the boys was back at the book shop he had an overwhelming feeling to go home. So he closed the bookshop and went home. When he arrived home his grandfather was sitting downstairs, and he hadn’t been able to leave the bed in months. His grandfather lived for many more years and they all cherished the time they had with him. The boy looked back and wondered did his prayer have anything to do with his grandfather regaining his strength and recovering."
62a1ef4b118ae7c6c666e130,8,21,"[1, 5, 6, 9, 10, 13, 15, 19, 24, 25, 27, 28, 36, 37, 38, 39, 40, 45, 51, 53, 54]",The story is about a 22 year old that was hearing voices in their head & also had an ill grandpa. They prayed for their grandpa to get better which he did but he eventually died. The moral of the story was to always have faith & that you’re never alone.
643f160bb49d863f2be92fc7,22,21,"[1, 5, 6, 7, 8, 9, 10, 12, 15, 18, 22, 24, 31, 35, 36, 39, 41, 42, 44, 46, 52]",Let me go back to a time when I was about 22 years old. In the first year of college. I was in church with my grandpa. He couldn't move around on his own. There were two siblings my sister and me. My grandparents went to town for the weekend. I suddenly heard a voice in my own head. It said to go to the old church street and light a candle for grandpa to get better. I tried to ignore the voice. I walked to church. I was not religious. I made mistakes. I found a candle in the church. I felt a strong urge to go home. I rushed home. I saw my sister and grandpa. That day was the beginning of his recovery. It was a turning point. I was grateful. I wondered if the prayer saved him. My grandpa lived a good life after that. I think back to that day whenever I'm lost.
60a3cb60b3e2bdb82a865197,16,22,"[1, 3, 4, 5, 7, 9, 10, 13, 15, 18, 19, 20, 24, 31, 35, 36, 38, 39, 40, 46, 47, 49]",A man is recalling an incident that happened almost twenty years ago when his grandfather was sick at home with his younger sister. He was at work packing some bookshelves when he heard a voice say to him that if he went down to the old church and light a candle for his grandfather he would get better. He was not a prayerful person but he remembered his grandmother saying that a prayer made by a faithful person could bring about change. He went home and his grandfather was much better he was talking to his sister. He went on to live well into his nineties.
