index,keypoints,keypoints_len_in_chars,original_mbits,rephrased_mbits,"produced
key points","required
key points",attempt
0,"I heard a voice telling me to light a candle for my grandpa. I lit a candle in the church and prayed for my grandpa's health. I found my grandpa sitting up and talking, marking the start of his recovery.",203,16.11,46.02,3,3,1
1,I heard a voice telling me to light a candle for my grandpa's health at the church. I prayed sincerely in the church for my grandpa to regain his strength. I found my grandpa recovering surprisingly when I returned home.,220,21.26,39.63,3,3,2
2,I heard a voice in my head telling me to light a candle for my grandpa. I prayed in the church for my grandpa's recovery despite my doubts. I found my grandpa had miraculously regained his ability to walk.,205,18.11,37.33,3,3,3
3,"I started my first job at a local bookstore. I heard a voice telling me to light a candle for my grandpa. I went to the church, prayed, and returned to work. I found my grandpa recovering when I got home.",204,43.41,55.08,4,4,1
4,I heard a voice in my head telling me to light a candle for my grandpa's recovery. I went to the church and prayed sincerely for my grandpa's healing. I felt an urge to go home and found my grandpa miraculously recovering. My grandpa's recovery changed my perspective on faith and prayer.,288,29.21,34.36,4,4,2
5,I started my first job at a local bookstore. I heard a voice suggesting to light a candle for my grandpa's recovery. I went to the church and prayed for my grandpa. My grandpa unexpectedly regained strength and began his recovery.,230,43.49,52.74,4,4,3
6,I started my first job at a local bookstore. I heard a voice telling me to light a candle for my grandpa at the church. I prayed at the church for my grandpa to get better. My grandpa unexpectedly became able to walk and recover. My experience changed my perspective on faith and prayer.,287,33.03,45.23,5,5,1
7,I started my first job at a local bookstore. I heard a voice in my head prompting me to light a candle for my grandpa. I hesitated but eventually went to the church and prayed for my grandpa. I found my grandpa improving and sitting up when I returned home. This experience changed my perspective on faith and prayer.,317,33.67,44.65,5,5,2
8,"I started my first job at a bookstore and heard a mysterious voice. The voice urged me to light a candle for my bedridden grandpa at a church. Despite my doubts, I prayed for my grandpa's recovery in the church. I returned home to find my grandpa unexpectedly gaining strength. My grandpa's recovery changed my perspective on faith and prayer.",343,36.27,46.16,5,5,3
9,I started my first job at a local bookstore. A voice in my head told me to light a candle for my grandpa. I went to the church and prayed for my grandpa. I felt a strong urge to go home after my prayer. I found my grandpa up and talking unexpectedly. I believe my prayer impacted my grandpa's recovery.,302,48.44,63.6,6,6,1
10,I worked at a local bookstore after college. I heard a voice urging me to light a candle for my grandpa. I walked to the church and prayed for my grandpa's recovery. I returned to work and felt an urge to go home. I found my grandpa unexpectedly sitting and talking. My grandpa's recovery began a powerful lesson in faith for me.,329,52.29,58.49,6,6,2
11,I started my first job at a local bookstore. I heard a voice telling me to light a candle for my grandpa. I went to the church and prayed for my grandpa's recovery. I felt an urge to go home from the bookstore. I found my grandpa surprisingly recovered at home. The experience changed my perspective on faith and prayer.,320,50.57,54.78,6,6,3
12,I worked alone in a bookstore and heard a voice in my head. The voice told me to light a candle for my bedridden grandpa. I walked to a nearby church despite my hesitations about faith. I prayed sincerely for my grandpa's recovery at the church. I returned to work but felt an urge to go home suddenly. I discovered my grandpa surprisingly sitting and talking at home. My grandpa's recovery shifted my perspective on faith and prayer.,434,56.96,69.44,7,7,1
13,I started my first job at a local bookstore. My bedridden grandpa was at home with my sister. I heard a voice telling me to light a candle for grandpa at the church. I decided to go to the church and pray for my grandpa's recovery. I returned home to find my grandpa sitting in the living room. His recovery began and he gradually regained his strength. I was reminded of the power of faith and the miracles it can bring.,421,79.37,77.67,7,7,2
14,I was working at a bookstore in a small town. I heard a voice telling me to light a candle for my grandpa. I walked to the church despite not being religious. I prayed sincerely for my grandpa's recovery. I felt an urge to go home and found my grandpa improved. My grandpa began recovering and regained his strength. This experience changed my perspective on faith and miracles.,378,44.94,51.82,7,7,3
15,I worked at a local bookstore after college. I heard a voice telling me to light a candle for my grandpa. I walked to the church despite not being religious. I prayed sincerely for my grandpa's recovery. I felt an urge to go home after praying. I found my grandpa miraculously active and recovering. My grandpa's recovery changed our lives and my perspective on faith. My grandpa lived many more happy years with us.,416,54.07,63.18,8,8,1
16,"I started my first job at a bookstore after college. My bedridden grandpa was at home with my sister. I heard a voice urging me to light a candle at the old church. I felt conflicted but decided to go to the church. I prayed sincerely for my grandpa's recovery. Back at the bookstore, I felt a strong urge to go home. I found my grandpa miraculously recovering at home. My grandpa's recovery changed my view on faith and miracles.",430,72.86,81.4,8,8,2
17,I started my first job at a local bookstore. I heard a voice telling me to light a candle for my grandpa. I decided to visit the church and light a candle. I prayed sincerely for my grandpa's recovery. I returned to work feeling urged to go home. I found my grandpa sitting and talking at home. My grandpa began to recover and regain strength. The experience changed my perspective on faith.,391,55.66,61.2,8,8,3
18,I started my first job at a local bookstore. My bedridden grandpa was at home with my sister. I heard a voice telling me to light a candle for my grandpa. I went to the church despite not being religious. I prayed sincerely for my grandpa's health. I felt a strong urge to return home. I found my grandpa sitting in the living room. My grandpa gradually regained his strength. I realized the impact of faith and prayer.,419,73.85,81.25,9,9,1
