recall_id,recall_text,len_original,recall rate,rephrased_text,len_rephrased,rate
5e42e8ce900ca402ea108764,The persons grandad was ill so they were going to the church to light a candle as someone said that would help. They prayed to god.,131,-0.04,The individual's grandfather was sick thus they made their way to the chapel with the intention of lighting a candle because it was mentioned this could be beneficial. They offered prayers to the deity.,202,-0.04444227721118325
62a1ef4b118ae7c6c666e130,The story is about a 22 year old that was hearing voices in their head & also had an ill grandpa. They prayed for their grandpa to get better which he did but he eventually died. The moral of the story was to always have faith & that you’re never alone.,253,-0.01,"This tale centers on a person aged 22 who experienced auditory hallucinations and also cared for a sickly grandfather. They beseeched for their grandfather's recovery and indeed, he improved yet, in the end, he passed away. The lesson conveyed is to maintain belief at all times and to understand that solitude is never absolute.",329,-0.013456274862340432
55f821f832af740005172118,A man without faith decided to pray at church for his sick grandpa to heal and he believes it worked because his grandpa got up from his sick bed and lived for many more years.,176,0.0,An individual lacking belief opted to offer prayers in a chapel on behalf of his ailing grandfather for recovery and he is convinced that it was effective as his elder rose from his bed of illness and continued to live for numerous additional years.,249,-0.04631674438777928
568db47ae3ef9e000ca0dcdd,"Guy works at bookstore, hears voice telling him to light a candle to heal his ailing granddad. He does, it works, Granddad lives to be 90 something and dies.",157,0.02,"Guy is employed at a bookshop, overhears a whisper instructing him to ignite a candle for his sick grandfather's recovery. He complies, the method proves effective, Grandfather survives to an age well into the 90s before passing away.",234,-0.05584114641911549
5b9110223366db0001157e7d,"as a young man he had just started his first job and a voice inside his head urged him to go to the church and light a candle, he did and his grandpa recovered. This incident made him believe in faith and prayer.",212,0.02,In his youth he had recently begun his initial employment when an inner voice prompted him to visit the chapel and ignite a candle which he complied with resulting in his grandfather's recuperation. Such an event reinforced his conviction in the power of belief and the act of supplication.,290,0.0003492583007413477
63bda8bbe64ce816bb0e37e2,A man worked in a bookstore and had a sick grandpa. He heard a voice at the bookstore that told him to light a candle for his grandpa and he would get better. The man went to the church to pray and light the candle. The man went back to the bookstore to work. The man went back home to find his grandpa better. The man's sister told him he had recovered. The grandpa lived longer but eventually died.,400,0.02,"An individual was employed at a bookshop and cared for an ailing grandfather. While at the bookshop, he perceived a mysterious voice which instructed him to ignite a candle in his grandfather's name promising that this would lead to his recovery. The individual proceeded to the church to offer prayers and to set the candle alight. He returned to his duties at the bookshop afterward. Upon returning home, he discovered his grandfather's condition had improved. His sister informed him of their grandfather's recuperation. The grandfather's life was extended yet he passed away in due course.",593,-0.014698670573306922
63d1494c8ed3bc3d40494d45,"A boy who worked at a bookstore who's grandfather was ill. But he heard a voice in his head to light a candle at the church for his grandfather to get better. In which his grandfather did get better and lived for many years after, but it all came down to having faith goes a long way.",284,0.03,"A young lad employed at a literary shop whose elder was unwell. Yet, he perceived a whisper in his mind to ignite a taper in the sanctuary so that his elder might recover. Subsequently, his elder did recuperate and persisted in living for numerous years thereafter, though it ultimately hinged on possessing belief extends a considerable distance.",347,0.0003894463629481251
5edfeb15743509317e9ec17c,"A boy was at home looking after his very ill grandpa. He heard a voice say if he went to the church and light a candle, his grandpa would get better. He ignored it. He then heard it again. He decided to go and light a candle. When he got home, his grandpa was much better. He lived for 20 more years.",300,0.04,"The boy was in his house caring for his extremely sick grandfather. A mysterious voice reached his ears suggesting that if he visited the church and lit a candle there, his grandfather would recover. He dismissed the notion. Yet the voice came to him once more. He made up his mind to proceed and ignite a candle. Upon his return, he found his grandfather significantly improved. His grandfather continued to live for another two decades.",438,0.008309430880579945
5d9f4d5f3cac2b0016c79242,"A 22 year old in college started her first job at a bookstore, she was one of two siblings, her other sibling was her sister. Their grandfather was sick and dying but one day while she shelving books at the bookstore she heard a voice inside her head telling her to light a candle outside the church to save her grandfather. She went and did it, her grandfather miraculously recovered and lived for a few more years afterwards living past 90. This happened to her a few years ago and she will never forget it.",509,0.02,"At the age of 22, while attending college, she began working at a bookstore for the first time, being one half of a pair of siblings, with her only sibling being her sister. Their beloved grandfather was gravely ill, however, on a particular day as she was arranging books in the bookstore, a mysterious voice whispered in her mind, urging her to light a candle at the church as a plea for her grandfather's health. She followed the instruction, and, as if by a miracle, her grandfather's health was restored, allowing him to enjoy life beyond his 90th year. This extraordinary event took place several years prior, and it remains an indelible memory for her.",659,0.028870511215162802
5d3594902fd5a4001ae58fb9,"The narrator was 22 and worked in a bookstore. They heard a voice telling them to go to a church and light a candle so that their grandfather would recover. The narrator did, and prayed. His grandfather recovered but died a few years later.",240,0.07,"At the age of 22, the narrator was employed at a bookshop. A voice reached their ears, instructing them to visit a chapel, to ignite a candle there, in hopes that their granddad would heal. The narrator complied, offering prayers. The grandfather's health improved, yet he passed away some years afterward.",306,0.042870308269656814
