segment_id,segment_text,p-rec,p-caught
1,"Let me share a story from when I was twenty-two years old, just fresh out of college.",78.79%,81.00%
2,I was staying in a small town about five miles from here.,13.13%,14.00%
3,I had just started my first job at a local bookstore.,92.93%,92.00%
4,"It was a quiet afternoon, and I was alone in the store.",5.05%,30.00%
5,"My grandpa, who had been bedridden for almost a year, was at home with my sister.",77.78%,91.00%
6,"She had to care for him daily, as he couldn't move around on his own.",31.31%,81.00%
7,"There were only two of us siblings, my sister and me.",32.32%,57.00%
8,My parents had gone out of town for the weekend.,40.40%,41.00%
9,"As I was shelving books, I suddenly heard a voice inside my head.",74.75%,96.00%
10,"It said, ""If you go to the old church down the street and light a candle for your grandpa, he will get better.""",87.88%,93.00%
11,"I looked around the bookstore, but no one was there.",27.27%,39.00%
12,"I continued with my work, trying to ignore the voice.",21.21%,33.00%
13,"It spoke to me again, repeating the same message.",33.33%,83.00%
14,"I looked around once more, but still found no one.",5.05%,26.00%
15,I decided to take a break and walk to the church.,50.51%,94.00%
16,"I was only a short distance away, maybe a quarter-mile.",16.16%,31.00%
17,"As I approached the church, I hesitated for a moment.",7.07%,37.00%
18,I was not a particularly religious person.,46.46%,58.00%
19,I remembered my grandma always saying that prayers from a sincere heart could bring miracles.,31.31%,59.00%
20,"On the other hand, she also said that prayers without faith were useless.",24.24%,51.00%
21,I admitted to myself that I was far from being a saint.,8.08%,20.00%
22,I had my share of mistakes and misdeeds.,5.05%,17.00%
23,I thought about my grandpa and how much he meant to our family.,3.03%,11.00%
24,"Finally, I went inside the church and found a candle.",27.27%,86.00%
25,I knelt down in front of the altar.,12.12%,68.00%
26,"I said, ""God, I don't know how to pray properly.",17.17%,47.00%
27,But I am asking you with all my heart to heal my grandpa.,33.33%,84.00%
28,"Please help him regain his strength and guide us in taking care of him.""",17.17%,76.00%
29,"After saying my prayer, I returned to the bookstore.",34.34%,65.00%
30,"I resumed my work, shelving books.",14.14%,34.00%
31,"Suddenly, I felt a strong urge to go home.",58.59%,77.00%
32,It was as if something was pulling me towards the house.,16.16%,37.00%
33,I didn't hear any voice this time.,7.07%,38.00%
34,It was just an overwhelming feeling that I needed to go.,25.25%,41.00%
35,I locked up the store and rushed home.,23.23%,59.00%
36,"To my surprise, I found my grandpa sitting in the living room, talking to my sister.",86.87%,98.00%
37,He hadn't been able to leave his bed for months without assistance.,37.37%,84.00%
38,My sister told me that he had suddenly felt a surge of energy and was able to stand up and walk.,49.49%,75.00%
39,That day marked the beginning of his recovery.,30.30%,64.00%
40,He gradually regained his strength and independence.,26.26%,60.00%
41,It was a turning point in our lives.,4.04%,31.00%
42,We became more grateful for the time we had together.,7.07%,16.00%
43,I often thought back to that day in the church.,6.06%,27.00%
44,I wondered if my prayer had anything to do with my grandpa's recovery.,26.26%,48.00%
45,"I couldn't be sure, but it definitely changed my perspective on faith and the power of prayer.",19.19%,51.00%
46,My grandpa lived for many more years after that incident.,67.68%,78.00%
47,He celebrated his ninetieth birthday surrounded by family and friends.,30.30%,76.00%
48,We cherished every moment we had with him.,9.09%,25.00%
49,That experience happened almost twenty years ago.,31.31%,45.00%
50,It remains a vivid memory in my mind.,8.08%,21.00%
51,"My grandpa passed away a few years later, but his spirit lives on in our hearts.",29.29%,41.00%
52,"Sometimes, when I'm feeling lost or uncertain, I think back to that day.",4.04%,18.00%
53,I remember the power of faith and the miracles it can bring.,24.24%,44.00%
54,"And I am reminded that we are never truly alone, even when it seems like we are.",17.17%,11.00%
