recall_id,keypoints,attempt,summary_text,segment_ids,correlation
summary_gpt4o_15_2.json,15,2,"1. I was twenty-two and fresh out of college. 2. I started my first job at a local bookstore. 3. My grandpa was bedridden at home with my sister. 4. My parents were out of town for the weekend. 5. I heard a voice telling me to light a candle at the church. 6. I ignored the voice initially and continued working. 7. The voice repeated the message, prompting me to act. 8. I hesitated but remembered my grandma's belief in prayer. 9. I went to the church and prayed for my grandpa's recovery. 10. I felt an urge to go home after my prayer. 11. I found my grandpa sitting in the living room, unexpectedly. 12. My sister said he suddenly regained energy and walked. 13. My grandpa's recovery was a turning point for our family. 14. The experience changed my perspective on faith and prayer. 15. My grandpa lived many more years and celebrated his ninetieth birthday.","[1, 3, 5, 6, 8, 9, 10, 12, 13, 19, 15, 24, 25, 27, 28, 31, 34, 36, 38, 39, 41, 45, 46, 47]",0.6891
summary_gpt4o_10_3.json,10,3,"1. I had just started my first job at a local bookstore. 2. My grandpa was bedridden at home with my sister caring for him. 3. I heard a voice urging me to light a candle for my grandpa's recovery. 4. I decided to walk to the local church despite my hesitations. 5. I prayed sincerely for my grandpa's healing at the church altar. 6. After returning to work, I felt an urge to go home. 7. I found my grandpa miraculously out of bed and talking. 8. My grandpa began his recovery and regained his strength. 9. This experience changed my perspective on faith and prayer. 10. Years later, my grandpa lived a full life before passing away.","[3, 5, 6, 9, 10, 13, 15, 17, 19, 24, 25, 26, 27, 28, 31, 34, 36, 37, 38, 39, 40, 41, 43, 45, 46, 47, 51]",0.6592
summary_gpt4o_11_3.json,11,3,"1. I was twenty-two and just started my first job at a local bookstore. 2. My grandpa was bedridden and my sister cared for him at home. 3. I heard a voice telling me to light a candle for grandpa's health. 4. I hesitated, but remembered my grandma's words on prayer and faith. 5. I went to the church and lit a candle, praying for grandpa's recovery. 6. After the prayer, I felt a strong urge to go back home. 7. I found my grandpa surprisingly sitting up and talking to my sister. 8. My sister said grandpa felt a surge of energy and could walk. 9. The day marked the start of grandpa's recovery and renewed strength. 10. I often think back to that day and its impact on my faith. 11. My grandpa lived many more years, and we cherished our time together.","[1, 3, 5, 6, 9, 10, 13, 17, 19, 20, 15, 24, 25, 27, 28, 31, 32, 34, 36, 37, 38, 39, 40, 41, 43, 44, 45, 46, 47, 48]",0.6562
summary_gpt4o_15_3.json,15,3,1. I was twenty-two and started working at a local bookstore. 2. My grandpa was bedridden and my sister cared for him. 3. Our parents were out of town for the weekend. 4. I heard a voice in my head telling me to light a candle in church. 5. I initially ignored the voice but it repeated the message. 6. I walked to the nearby church despite not being religious. 7. I prayed sincerely for my grandpa's healing at the church. 8. I returned to the bookstore and felt an urge to go home. 9. I found my grandpa surprisingly sitting and talking at home. 10. My sister said he felt a surge of energy and stood up. 11. That day marked the beginning of my grandpa's recovery. 12. We became more grateful for the time with our grandpa. 13. I wondered if my prayer helped grandpa's recovery. 14. My grandpa lived many more years and reached ninety. 15. The experience changed my perspective on faith and prayer.,"[1, 3, 5, 6, 8, 9, 10, 12, 13, 15, 16, 18, 19, 24, 25, 27, 28, 29, 31, 36, 38, 39, 42, 44, 46, 47, 45, 53]",0.654
summary_gpt4o_11_2.json,11,2,"1. I was twenty-two years old and started a job at a local bookstore. 2. My grandpa was bedridden at home with my sister caring for him. 3. I heard a voice suggesting to light a candle for my grandpa at the church. 4. I ignored the voice at first and continued shelving books. 5. The voice repeated the message, so I decided to visit the church. 6. I lit a candle and prayed sincerely for my grandpa's recovery. 7. After returning to work, I felt an urge to go home. 8. I rushed home and found my grandpa talking in the living room. 9. My grandpa began recovering after that day and regained independence. 10. That experience made me reconsider my views on faith and prayer. 11. My grandpa lived many more years, and we cherished our time with him.","[1, 3, 5, 6, 9, 10, 12, 13, 15, 24, 25, 27, 28, 31, 35, 36, 39, 40, 43, 44, 45, 46, 47, 48]",0.6487
summary_gpt4o_10_2.json,10,2,1. I started my first job at a local bookstore. 2. My grandpa was bedridden and cared for by my sister. 3. I heard a voice urging me to light a candle for my grandpa. 4. I decided to go to the old church and light a candle. 5. I prayed sincerely for my grandpa's recovery. 6. I felt an overwhelming urge to go home after my prayer. 7. I found my grandpa sitting and talking to my sister. 8. My grandpa's recovery began that day. 9. The experience changed my perspective on faith. 10. My grandpa lived many more years and passed away peacefully.,"[3, 5, 6, 9, 10, 13, 15, 19, 25, 27, 28, 31, 32, 34, 36, 37, 38, 39, 40, 43, 44, 45, 46, 47, 51]",0.6465
summary_gpt4o_6_1.json,6,1,1. I started my first job at a local bookstore. 2. A voice in my head told me to light a candle for my grandpa. 3. I went to the church and prayed for my grandpa. 4. I felt a strong urge to go home after my prayer. 5. I found my grandpa up and talking unexpectedly. 6. I believe my prayer impacted my grandpa's recovery.,"[3, 9, 10, 13, 15, 24, 25, 27, 28, 31, 32, 34, 36, 37, 38, 39, 44]",0.6103
summary_gpt4o_3_1.json,3,1,"1. I heard a voice telling me to light a candle for my grandpa. 2. I lit a candle in the church and prayed for my grandpa's health. 3. I found my grandpa sitting up and talking, marking the start of his recovery.","[9, 10, 15, 24, 25, 27, 28, 36, 37, 38, 39]",0.5967
summary_gpt4o_11_1.json,11,1,1. I was twenty-two and had just started my first job at a bookstore. 2. My bedridden grandpa was at home with my sister. 3. I heard a voice telling me to light a candle for my grandpa. 4. I walked to the old church to light a candle. 5. I was hesitant but remembered my grandma's words about sincere prayers. 6. I prayed sincerely for my grandpa's recovery. 7. I returned to the bookstore and felt an urge to go home. 8. I found my grandpa sitting and talking for the first time in months. 9. My grandpa began to recover and regained his strength. 10. The experience changed my perspective on faith and prayer. 11. My grandpa lived many more years and his spirit stays in our hearts.,"[1, 3, 5, 9, 10, 13, 15, 17, 19, 25, 27, 28, 29, 31, 36, 39, 40, 43, 45, 46, 51]",0.592
summary_gpt4o_17_2.json,17,2,"1. I was twenty-two and fresh out of college. 2. I lived in a small town five miles from here. 3. I started my first job at a local bookstore. 4. My grandpa was bedridden at home with my sister. 5. My parents were out of town for the weekend. 6. I heard a voice in my head while at work. 7. The voice told me to light a candle for grandpa. 8. I was alone in the bookstore and ignored the voice. 9. The voice spoke again, repeating the message. 10. I went to the church to light a candle. 11. I prayed sincerely for my grandpa's recovery. 12. I felt an urge to go home after returning to work. 13. I found my grandpa sitting in the living room. 14. Grandpa had newfound strength and walked on his own. 15. The day marked the start of grandpa's recovery. 16. I reflected on the power of prayer and faith. 17. Grandpa lived many years and celebrated his ninetieth.","[1, 2, 3, 5, 6, 8, 9, 10, 4, 11, 12, 13, 15, 16, 17, 24, 19, 25, 27, 28, 29, 31, 32, 36, 37, 38, 39, 40, 43, 44, 45, 46, 47]",0.5897
