index,len,rate,keypoints,mbits,"produced
key points","required
key points",attempt,rephrase,rephrase_len,rephrased_mbits,rephrase_rate
0,203,0.0658,"I heard a voice telling me to light a candle for my grandpa. I lit a candle in the church and prayed for my grandpa's health. I found my grandpa sitting up and talking, marking the start of his recovery.",13.35,3,3,1,"A voice instructed me to ignite a candle in honor of my grandfather. In the sanctuary, I kindled a flame and offered prayers for my grandfather's well-being. Discovering my grandfather upright and conversing signified the beginning of his recuperation.",252,11.094273123622992,0.044
1,204,0.1153,"I started my first job at a local bookstore. I heard a voice telling me to light a candle for my grandpa. I went to the church, prayed, and returned to work. I found my grandpa recovering when I got home.",23.53,4,4,1,"My initial employment began at a neighborhood bookshop. A voice instructed me to ignite a candle in memory of my grandfather. I proceeded to the chapel, offered prayers, and went back to my job. Upon my return home, I discovered my grandfather was on the mend.",260,12.054186591658,0.0464
2,205,0.0533,I heard a voice in my head telling me to light a candle for my grandpa. I prayed in the church for my grandpa's recovery despite my doubts. I found my grandpa had miraculously regained his ability to walk.,10.93,3,3,3,"A voice whispered in my mind, urging me to ignite a candle in honor of my grandfather. Despite my skepticism, I offered prayers in the sanctuary for my grandfather's healing. To my astonishment, my grandfather had astonishingly recovered his capacity to ambulate.",263,0.8241405279379803,0.0031
3,220,0.0716,I heard a voice telling me to light a candle for my grandpa's health at the church. I prayed sincerely in the church for my grandpa to regain his strength. I found my grandpa recovering surprisingly when I returned home.,15.75,3,3,2,"A voice instructed me to ignite a candle at the church for my grandfather's well-being. In the church, I offered heartfelt prayers for my grandfather's restoration of vitality. Upon my return home, I discovered my grandfather's health had improved remarkably.",259,6.190819604121991,0.0239
4,230,0.1384,I started my first job at a local bookstore. I heard a voice suggesting to light a candle for my grandpa's recovery. I went to the church and prayed for my grandpa. My grandpa unexpectedly regained strength and began his recovery.,31.83,4,4,3,"My initial employment began at a neighborhood bookshop. A suggestion to ignite a candle for my grandfather's recuperation reached my ears. I proceeded to the chapel and offered prayers for my grandfather. Surprisingly, my grandfather found renewed vigor and commenced his convalescence.",286,11.709171816939994,0.0409
5,287,0.084,I started my first job at a local bookstore. I heard a voice telling me to light a candle for my grandpa at the church. I prayed at the church for my grandpa to get better. My grandpa unexpectedly became able to walk and recover. My experience changed my perspective on faith and prayer.,24.11,5,5,1,"My initial employment began at a neighborhood bookshop. A voice instructed me to ignite a candle in honor of my grandfather at the church. At the church, I offered prayers for my grandfather's health improvement. Surprisingly, my grandfather regained his ability to ambulate and recuperated. This incident altered my viewpoint on spirituality and the power of prayer.",367,13.175636791138974,0.0359
6,288,0.0655,I heard a voice in my head telling me to light a candle for my grandpa's recovery. I went to the church and prayed sincerely for my grandpa's healing. I felt an urge to go home and found my grandpa miraculously recovering. My grandpa's recovery changed my perspective on faith and prayer.,18.86,4,4,2,"A voice inside my mind instructed me to ignite a candle for my grandfather's recuperation. I proceeded to the chapel and offered earnest prayers for my grandfather's restoration to health. Compelled by a sudden impulse, I returned home to discover my grandfather astonishingly on the mend. The improvement in my grandfather's health altered my viewpoint on spirituality and supplication.",387,9.917542200898007,0.0256
7,302,0.115,I started my first job at a local bookstore. A voice in my head told me to light a candle for my grandpa. I went to the church and prayed for my grandpa. I felt a strong urge to go home after my prayer. I found my grandpa up and talking unexpectedly. I believe my prayer impacted my grandpa's recovery.,34.72,6,6,1,"I began my initial employment at a neighborhood bookshop. An inner voice urged me to ignite a candle in memory of my grandfather. I proceeded to the chapel to offer prayers for my grandfather. After praying, I was overcome with a compelling desire to return home. To my surprise, I discovered my grandfather awake and conversing. I am convinced that my prayer played a role in my grandfather's recuperation.",407,25.215072959409994,0.062
8,317,0.0596,I started my first job at a local bookstore. I heard a voice in my head prompting me to light a candle for my grandpa. I hesitated but eventually went to the church and prayed for my grandpa. I found my grandpa improving and sitting up when I returned home. This experience changed my perspective on faith and prayer.,18.9,5,5,2,"My initial employment began at a neighborhood bookshop. An inner voice urged me to ignite a candle in memory of my grandfather. I was reluctant at first, but finally I made my way to the chapel to offer prayers for my grandfather. Upon my return, I was greeted by the sight of my grandfather's condition bettering, with him sitting upright. The incident altered my viewpoint on spirituality and the power of supplication.",421,5.672252810625983,0.0135
9,320,0.1221,I started my first job at a local bookstore. I heard a voice telling me to light a candle for my grandpa. I went to the church and prayed for my grandpa's recovery. I felt an urge to go home from the bookstore. I found my grandpa surprisingly recovered at home. The experience changed my perspective on faith and prayer.,39.08,6,6,3,"My initial employment began at a neighborhood bookshop. A voice instructed me to ignite a candle in honor of my grandfather. I proceeded to the chapel to offer prayers for my grandfather's healing. An impulse to return home from the bookstore washed over me. Upon arriving home, I was astonished to see my grandfather's condition had markedly improved. This incident altered my viewpoint on spirituality and the power of prayer.",428,16.58517237286301,0.0388
