story,n_recalls_emulated,n_recalls_in_json,n_recalls_segmented,n_recalls_mapped
SNTH,22,22,22,22
bear,100,100,100,100
bear_emulate-recall-deepseek,89,89,46,46
bear_emulate-recall-gpt-4o,74,74,57,57
bear_emulate-recall-llama-4-maverick-17b,106,106,103,103
boyscout,100,100,100,97
boyscout_emulate-recall-deepseek,100,100,99,99
boyscout_emulate-recall-gpt-4o,89,89,89,89
boyscout_emulate-recall-llama-4-maverick-17b,99,99,99,99
costa,101,101,101,93
costa_costa_emulate-recall-kimi-k2,98,98,98,98
costa_emulate-recall-deepseek,93,93,93,93
costa_emulate-recall-gpt-4o,90,90,90,90
costa_emulate-recall-gpt-5.2,92,92,92,92
costa_emulate-recall-gpt-oss-120b,76,76,76,76
costa_emulate-recall-llama-4-maverick-17b,101,101,101,101
doSomething,101,101,101,95
doSomethingOld,101,101,101,95
doSomething_emulate-recall-deepseek,88,88,57,57
doSomething_emulate-recall-gpt-4o,71,71,45,45
doSomething_emulate-recall-llama-4-maverick-17b,104,104,87,87
hester_v1-park_emulate-recall-deepseek,98,98,54,54
hester_v1-park_emulate-recall-gpt-4o,55,55,37,37
hester_v1-park_emulate-recall-llama-4-maverick-17b,100,100,89,89
hester_v2-church_emulate-recall-deepseek,100,100,63,63
hester_v2-church_emulate-recall-gpt-4o,70,70,57,57
hester_v2-church_emulate-recall-llama-4-maverick-17b,100,100,79,79
panic,100,100,100,100
panic_emulate-recall-deepseek,99,99,86,86
panic_emulate-recall-gpt-4o,63,63,57,57
panic_emulate-recall-llama-4-maverick-17b,94,94,92,92
schissel_v1-pool_emulate-recall-deepseek,99,99,96,96
schissel_v1-pool_emulate-recall-gpt-4o,87,87,85,85
schissel_v1-pool_emulate-recall-llama-4-maverick-17b,96,96,94,94
schissel_v2-lake_emulate-recall-deepseek,90,90,89,89
schissel_v2-lake_emulate-recall-gpt-4o,91,91,91,91
schissel_v2-lake_emulate-recall-llama-4-maverick-17b,98,98,98,98
stein,99,99,99,97
stein_emulate-recall-deepseek,71,71,26,26
stein_emulate-recall-gpt-4o,64,64,44,44
stein_emulate-recall-llama-4-maverick-17b,100,100,85,85
triplett_v1-rookie_emulate-recall-deepseek,100,100,79,79
triplett_v1-rookie_emulate-recall-gpt-4o,81,81,39,39
triplett_v1-rookie_emulate-recall-llama-4-maverick-17b,101,101,90,90
triplett_v2-catlady_emulate-recall-deepseek,89,89,55,55
triplett_v2-catlady_emulate-recall-gpt-4o,88,88,58,58
triplett_v2-catlady_emulate-recall-llama-4-maverick-17b,95,95,75,75
