segment_id,segment_text,real_rec,gpt4o_all,gpt4,gpt4o_idxmx
1,"Well, I was at work one day",56.0,79.41,10.0,55.56
2,I was doing my usual job,26.0,70.59,10.0,44.44
3,working on the warehouse floor,74.0,74.51,80.0,77.78
4,stocking boxes,56.0,71.57,0.0,55.56
5,organizing merchandise,30.0,60.78,20.0,22.22
6,I had been working for a few hours,7.0,61.76,0.0,22.22
7,it was getting late,15.0,52.94,10.0,22.22
8,I had been feeling a bit strange,41.0,85.29,20.0,44.44
9,a bit lightheaded,42.0,92.16,90.0,88.89
10,but chalked it up to hunger,47.0,79.41,60.0,55.56
11,not having eaten yet that day,44.0,62.75,30.0,22.22
12,"But then, as I was walking around the warehouse",13.0,37.25,0.0,0.0
13,returning items to their proper places,10.0,36.27,0.0,11.11
14,I started to feel a strange tightness,79.0,90.2,90.0,77.78
15,and pressure in my chest,57.0,91.18,60.0,77.78
16,I stopped what I was doing,19.0,52.94,0.0,22.22
17,leaned against a nearby wall for a bit,43.0,78.43,0.0,55.56
18,the pressure only got stronger,16.0,72.55,0.0,33.33
19,I could feel my heart pounding in my chest,20.0,65.69,90.0,11.11
20,"Next thing I know, I started seeing spots",39.0,76.47,20.0,33.33
21,I could feel sweat dripping down my forehead,46.0,72.55,60.0,44.44
22,my arms,28.0,55.88,40.0,33.33
23,I tried to take some deep breaths,18.0,50.98,10.0,0.0
24,I just couldn't catch my breath,25.0,77.45,70.0,44.44
25,I was really scared,7.0,64.71,10.0,11.11
26,didn't know what to do.,6.0,38.24,0.0,0.0
27,Suddenly I heard a voice coming from across the warehouse.,52.0,53.92,0.0,22.22
28,It was the manager,68.0,47.06,0.0,22.22
29,who had seen me,22.0,37.25,0.0,33.33
30,called out to me,41.0,39.22,0.0,33.33
31,it seems someone had noticed me,26.0,15.69,10.0,0.0
32,was checking to see if I was alright,36.0,24.51,10.0,22.22
33,I tried to yell back that something was wrong,24.0,27.45,0.0,0.0
34,I couldn't find my voice.,43.0,46.08,50.0,11.11
35,The manager started walking towards me,26.0,37.25,0.0,33.33
36,I could feel my world going dark,34.0,19.61,20.0,11.11
37,I started to drop to the ground,45.0,41.18,10.0,22.22
38,luckily the manager got to me in time,72.0,41.18,100.0,44.44
39,caught me just before my legs gave out,38.0,46.08,60.0,55.56
40,He took me to the staff room,66.0,36.27,100.0,11.11
41,sat me down in a chair,30.0,24.51,10.0,11.11
42,He asked me questions about what was wrong,26.0,15.69,0.0,0.0
43,what happened,13.0,11.76,0.0,0.0
44,He got me a glass of cold water,62.0,34.31,60.0,0.0
45,told me to rest for a bit,16.0,13.73,20.0,0.0
46,After a few minutes,11.0,0.0,0.0,0.0
47,the pressure in my chest slowly eased up,25.0,21.57,30.0,0.0
48,I started to feel better,29.0,14.71,50.0,0.0
49,It turned out I had been having a panic attack,84.0,40.2,100.0,55.56
50,I escaped from the situation,6.0,0.98,0.0,0.0
51,the help of the quick action of the manager,14.0,8.82,30.0,0.0
52,It was never a fun experience,13.0,0.0,0.0,0.0
53,it really could have been much worse,20.0,0.98,0.0,0.0
54,it taught me to check in with myself,64.0,40.2,70.0,55.56
55,make sure to properly rest,53.0,37.25,80.0,55.56
56,eat to avoid further episodes,63.0,37.25,80.0,66.67
