recall_id,clause_id,segment_ids,fan_out,last_segment_id,clause_text
gpt4-1,1,"[2, 3]",2,11,The narrator was performing their usual job tasks in a warehouse
gpt4-1,2,[4],1,11,They were stocking boxes
gpt4-1,3,[5],1,11,and organizing merchandise
gpt4-1,4,[6],1,11,The narrator had been working for several hours
gpt4-1,5,[7],1,11,and it was getting late
gpt4-1,6,[9],1,11,They felt lightheaded
gpt4-1,7,[10],1,11,and attributed it to hunger
gpt4-1,8,[11],1,11,due to not eating
gpt4-2,1,[3],1,19,The narrator was working on the warehouse floor
gpt4-2,2,"[4, 5]",2,19,stocking boxes and organizing merchandise
gpt4-2,3,[9],1,19,The narrator felt lightheaded
gpt4-2,4,"[10, 11]",2,19,attributing it to hunger from not eating
gpt4-2,5,"[14, 15]",2,19,The narrator experienced a strange tightness and pressure in their chest while working
gpt4-2,6,[19],1,19,The narrator's heart was pounding
gpt4-2,7,"[17, 18]",2,19,and resting against a wall did not alleviate the symptoms
gpt4-3,1,"[1, 2, 3]",3,26,The narrator was working in a warehouse
gpt4-3,2,[4],1,26,stocking boxes
gpt4-3,3,[5],1,26,and organizing merchandise
gpt4-3,4,"[8, 9]",2,26,The narrator felt lightheaded
gpt4-3,5,"[10, 11]",2,26,and attributed it to hunger
gpt4-3,6,"[14, 15, 18, 19]",4,26,The narrator experienced chest tightness
gpt4-3,7,"[14, 15, 18]",3,26,and pressure while working
gpt4-3,8,[19],1,26,The narrator had symptoms of heart pounding
gpt4-3,9,"[21, 22]",2,26,sweating
gpt4-3,10,"[23, 24]",2,26,and difficulty breathing
gpt4-4,1,"[1, 2, 3]",3,34,The narrator was working in a warehouse
gpt4-4,2,[4],1,34,stocking boxes
gpt4-4,3,[5],1,34,and organizing merchandise
gpt4-4,4,"[8, 9]",2,34,The narrator felt lightheaded
gpt4-4,5,[14],1,34,and later experienced chest tightness
gpt4-4,6,[15],1,34,and pressure
gpt4-4,7,[18],1,34,The narrator's condition worsened
gpt4-4,8,[20],1,34,leading to visual disturbances
gpt4-4,9,[21],1,34,sweating
gpt4-4,10,"[23, 24]",2,34,and difficulty breathing
gpt4-4,11,"[27, 28, 29, 31]",4,34,The manager noticed the narrator's distress
gpt4-4,12,"[30, 32]",2,34,and attempted to check on them
gpt4-5,1,"[1, 2, 3]",3,39,The narrator was working in a warehouse
gpt4-5,2,"[8, 9, 10, 11]",4,39,and felt lightheaded due to hunger
gpt4-5,3,"[14, 15]",2,39,The narrator experienced chest tightness
gpt4-5,4,"[16, 18, 19]",3,39,and heart palpitations while working
gpt4-5,5,[20],1,39,The narrator began to see spots
gpt4-5,6,"[21, 22]",2,39,sweat profusely
gpt4-5,7,"[23, 24]",2,39,and struggled to breathe
gpt4-5,8,"[27, 28, 29, 31, 32]",5,39,The manager noticed the narrator's distress
gpt4-5,9,"[35, 36, 37, 38, 39]",5,39,and caught them as they were about to collapse
gpt4-6,1,[9],1,45,The narrator felt lightheaded
gpt4-6,2,"[10, 11]",2,45,and hungry
gpt4-6,3,[3],1,45,while working in a warehouse
gpt4-6,4,"[14, 15]",2,45,The narrator experienced chest tightness
gpt4-6,5,[19],1,45,and heart palpitations
gpt4-6,6,[20],1,45,The narrator began to see spots
gpt4-6,7,"[23, 24]",2,45,and was unable to breathe properly
gpt4-6,8,"[28, 29, 31, 32]",4,45,The manager noticed the narrator's distress
gpt4-6,9,"[35, 38, 39]",3,45,and assisted them before they collapsed
gpt4-7,1,[9],1,51,The narrator felt lightheaded
gpt4-7,2,"[14, 15]",2,51,and experienced chest tightness
gpt4-7,3,[3],1,51,while working in a warehouse.
gpt4-7,4,"[18, 19]",2,51,"The narrator's condition worsened,"
gpt4-7,5,[19],1,51,leading to heart palpitations
gpt4-7,6,"[23, 24]",2,51,and difficulty breathing.
gpt4-7,7,"[27, 28, 29, 31]",4,51,The manager noticed the narrator's distress
gpt4-7,8,"[30, 32, 35]",3,51,and approached to help.
gpt4-7,9,"[38, 39, 40, 41, 42, 43, 44]",7,51,"The manager assisted the narrator,"
gpt4-7,10,[49],1,51,who recovered from a panic attack
gpt4-7,11,"[45, 46, 47, 48]",4,51,after resting.
gpt4-8,1,[9],1,56,The narrator experienced lightheadedness
gpt4-8,2,"[14, 15]",2,56,and chest tightness
gpt4-8,3,[3],1,56,while working in a warehouse
gpt4-8,4,[18],1,56,The narrator's condition worsened
gpt4-8,5,[19],1,56,leading to heart palpitations
gpt4-8,6,"[23, 24]",2,56,and difficulty breathing
gpt4-8,7,"[27, 28, 29]",3,56,The warehouse manager noticed the narrator's distress
gpt4-8,8,"[30, 31, 32]",3,56,and intervened
gpt4-8,9,"[36, 37]",2,56,just as the narrator was collapsing
gpt4-8,10,[49],1,56,The narrator recovered from a panic attack
gpt4-8,11,"[38, 40, 41, 42, 44, 51]",6,56,with the manager's assistance
gpt4-8,12,"[54, 55]",2,56,and recognized the importance of self-care
