recall_id,clause_id,segment_ids,fan_out,last_segment_id,clause_text
gpt4-1,1,"[2, 3, 4, 5]",4,11,"Person was working on the warehouse floor, stocking boxes and organizing merchandise."
gpt4-1,2,"[8, 9, 10, 11]",4,11,"Person felt lightheaded, attributing it to hunger from not eating."
gpt4-2,1,"[2, 3, 4, 5]",4,19,"Person was working on the warehouse floor, stocking boxes and organizing merchandise."
gpt4-2,2,"[8, 9, 10, 11]",4,19,"Person felt lightheaded, attributing it to hunger from not eating."
gpt4-2,3,"[12, 14, 15]",3,19,Person experienced a strange tightness and pressure in their chest while working.
gpt4-2,4,"[18, 19]",2,19,Person's heart was pounding strongly in their chest.
gpt4-3,1,"[2, 3, 4, 5]",4,26,"Person was working on the warehouse floor, stocking boxes and organizing merchandise."
gpt4-3,2,"[8, 9, 10, 11]",4,26,"Person felt lightheaded, attributing it to hunger from not eating."
gpt4-3,3,"[12, 14, 15]",3,26,Person experienced a strange tightness and pressure in their chest while working.
gpt4-3,4,"[18, 19]",2,26,Person's heart was pounding strongly in their chest.
gpt4-3,5,"[20, 21, 22]",3,26,Person started seeing spots and sweating profusely.
gpt4-3,6,"[23, 24, 25]",3,26,Person struggled to breathe and felt scared.
gpt4-4,1,"[2, 3, 4, 5]",4,34,"Person was working on the warehouse floor, stocking boxes and organizing merchandise."
gpt4-4,2,"[8, 9, 10, 11]",4,34,"Person felt lightheaded, attributing it to hunger from not eating."
gpt4-4,3,"[12, 14, 15]",3,34,Person experienced a strange tightness and pressure in their chest while working.
gpt4-4,4,"[18, 19]",2,34,Person's heart was pounding strongly in their chest.
gpt4-4,5,"[20, 21, 22]",3,34,Person started seeing spots and sweating profusely.
gpt4-4,6,"[23, 24, 25]",3,34,Person struggled to breathe and felt scared.
gpt4-4,7,"[27, 28, 29, 30, 31, 32, 33, 34]",8,34,"Manager noticed the person in distress and tried to communicate, but the person couldn't respond."
gpt4-5,1,"[2, 3, 4, 5]",4,39,"Person was working on the warehouse floor, stocking boxes and organizing merchandise."
gpt4-5,2,"[8, 9, 10, 11]",4,39,"Person felt lightheaded, attributing it to hunger from not eating."
gpt4-5,3,"[12, 14, 15]",3,39,Person experienced a strange tightness and pressure in their chest while working.
gpt4-5,4,"[18, 19]",2,39,Person's heart was pounding strongly in their chest.
gpt4-5,5,"[23, 24, 25]",3,39,Person struggled to breathe and felt scared.
gpt4-5,6,"[27, 28, 29, 30, 31, 32]",6,39,Manager noticed the person in distress and tried to communicate.
gpt4-5,7,"[35, 36, 37, 38, 39]",5,39,"Person began to faint, but the manager caught them before they collapsed."
gpt4-6,1,"[2, 3, 4, 5]",4,45,"Person was working on the warehouse floor, stocking boxes and organizing merchandise."
gpt4-6,2,"[8, 9, 10, 11]",4,45,"Person felt lightheaded, attributing it to hunger from not eating."
gpt4-6,3,"[12, 14, 15]",3,45,Person experienced a strange tightness and pressure in their chest while working.
gpt4-6,4,"[18, 19]",2,45,Person's heart was pounding strongly in their chest.
gpt4-6,5,"[27, 28, 29, 30, 31, 32]",6,45,Manager noticed the person in distress and tried to communicate.
gpt4-6,6,"[35, 36, 37, 38, 39]",5,45,"Person began to faint, but the manager caught them before they collapsed."
gpt4-6,7,"[40, 41, 42, 43, 44, 45]",6,45,"Manager took the person to the staff room, offered water, and instructed them to rest."
gpt4-7,1,"[2, 3, 4, 5]",4,51,"Person was working on the warehouse floor, stocking boxes and organizing merchandise."
gpt4-7,2,"[8, 9, 10, 11]",4,51,"Person felt lightheaded, attributing it to hunger from not eating."
gpt4-7,3,"[12, 14, 15]",3,51,Person experienced a strange tightness and pressure in their chest while working.
gpt4-7,4,"[18, 19]",2,51,Person's heart was pounding strongly in their chest.
gpt4-7,5,"[27, 28, 29, 30, 31, 32]",6,51,Manager noticed the person in distress and tried to communicate.
gpt4-7,6,"[35, 36, 37, 38, 39]",5,51,"Person began to faint, but the manager caught them before they collapsed."
gpt4-7,7,"[46, 47, 48, 49]",4,51,Chest pressure eased and it was determined the person had a panic attack.
gpt4-8,1,"[2, 3, 4, 5]",4,56,"Person was working on the warehouse floor, stocking boxes and organizing merchandise."
gpt4-8,2,"[12, 14, 15]",3,56,Person experienced a strange tightness and pressure in their chest while working.
gpt4-8,3,"[18, 19]",2,56,Person's heart was pounding strongly in their chest.
gpt4-8,4,"[27, 28, 29, 30, 31, 32]",6,56,Manager noticed the person in distress and tried to communicate.
gpt4-8,5,"[35, 36, 37, 38, 39]",5,56,"Person began to faint, but the manager caught them before they collapsed."
gpt4-8,6,"[46, 47, 48, 49]",4,56,Chest pressure eased and it was determined the person had a panic attack.
gpt4-8,7,"[54, 55, 56]",3,56,Incident taught the person to self-monitor and ensure proper rest and nutrition.
