segment_ids,text,keypoint
"(1, 4)","Well, I was at work one day I was doing my usual job working on the warehouse floor stocking boxes",Narrator at work doing usual tasks
"(5, 7)",organizing merchandise I had been working for a few hours it was getting late,"Working long hours, feeling late"
"(8, 11)",I had been feeling a bit strange a bit lightheaded but chalked it up to hunger not having eaten yet that day,"Feeling strange, attributing it to hunger"
"(12, 15)","But then, as I was walking around the warehouse returning items to their proper places I started to feel a strange tightness and pressure in my chest",Experiencing chest tightness at work
"(16, 19)",I stopped what I was doing leaned against a nearby wall for a bit the pressure only got stronger I could feel my heart pounding in my chest,Increasing chest pressure and heart pounding
"(20, 23)","Next thing I know, I started seeing spots I could feel sweat dripping down my forehead my arms I tried to take some deep breaths",Visual disturbances and sweating onset
"(24, 26)",I just couldn't catch my breath I was really scared didn't know what to do.,Struggling to breathe and feeling scared
"(27, 30)",Suddenly I heard a voice coming from across the warehouse. It was the manager who had seen me called out to me,Manager notices and calls out
"(31, 34)",it seems someone had noticed me was checking to see if I was alright I tried to yell back that something was wrong I couldn't find my voice.,Narrator unable to voice distress
"(35, 38)",The manager started walking towards me I could feel my world going dark I started to drop to the ground luckily the manager got to me in time,Manager assists as narrator collapses
"(39, 42)",caught me just before my legs gave out He took me to the staff room sat me down in a chair He asked me questions about what was wrong,Manager catches and questions narrator
"(43, 45)",what happened He got me a glass of cold water told me to rest for a bit,Manager provides water and rest
"(46, 48)",After a few minutes the pressure in my chest slowly eased up I started to feel better,Chest pressure eases after resting
"(49, 51)",It turned out I had been having a panic attack I escaped from the situation the help of the quick action of the manager,Realization of a panic attack
"(52, 55)",It was never a fun experience it really could have been much worse it taught me to check in with myself make sure to properly rest,Reflecting on the severity and lessons
"(56, 56)",eat to avoid further episodes,Importance of self-care to prevent episodes
