segment_id,segment_text,real_p_caught,gpt4o_emulated_p_caught,diff,abs_diff
1,"Well, I was at work one day",74,22,52,52
24,I just couldn't catch my breath,33,77,-44,44
40,He took me to the staff room,76,33,43,43
41,sat me down in a chair,68,33,35,35
11,not having eaten yet that day,65,100,-35,35
23,I tried to take some deep breaths,32,66,-34,34
44,He got me a glass of cold water,66,33,33,33
5,organizing merchandise,54,22,32,32
9,a bit lightheaded,68,100,-32,32
8,I had been feeling a bit strange,69,100,-31,31
36,I could feel my world going dark,64,33,31,31
35,The manager started walking towards me,46,77,-31,31
34,I couldn't find my voice.,51,22,29,29
39,caught me just before my legs gave out,73,44,29,29
10,but chalked it up to hunger,63,88,-25,25
22,my arms,47,22,25,25
53,it really could have been much worse,25,0,25,25
19,I could feel my heart pounding in my chest,46,22,24,24
30,called out to me,67,44,23,23
56,eat to avoid further episodes,65,88,-23,23
37,I started to drop to the ground,76,55,21,21
51,the help of the quick action of the manager,21,0,21,21
25,I was really scared,14,33,-19,19
52,It was never a fun experience,18,0,18,18
32,was checking to see if I was alright,48,66,-18,18
21,I could feel sweat dripping down my forehead,60,44,16,16
33,I tried to yell back that something was wrong,38,22,16,16
55,make sure to properly rest,72,88,-16,16
54,it taught me to check in with myself,72,88,-16,16
27,Suddenly I heard a voice coming from across the warehouse.,85,100,-15,15
31,it seems someone had noticed me,63,77,-14,14
43,what happened,34,22,12,12
47,the pressure in my chest slowly eased up,44,33,11,11
48,I started to feel better,43,33,10,10
26,didn't know what to do.,10,0,10,10
16,I stopped what I was doing,24,33,-9,9
3,working on the warehouse floor,92,100,-8,8
50,I escaped from the situation,8,0,8,8
29,who had seen me,80,88,-8,8
12,"But then, as I was walking around the warehouse",18,11,7,7
14,I started to feel a strange tightness,93,100,-7,7
28,It was the manager,93,100,-7,7
45,told me to rest for a bit,26,33,-7,7
15,and pressure in my chest,93,100,-7,7
38,luckily the manager got to me in time,84,77,7,7
42,He asked me questions about what was wrong,39,33,6,6
17,leaned against a nearby wall for a bit,49,55,-6,6
7,it was getting late,16,11,5,5
6,I had been working for a few hours,17,22,-5,5
13,returning items to their proper places,16,11,5,5
18,the pressure only got stronger,47,44,3,3
49,It turned out I had been having a panic attack,86,88,-2,2
2,I was doing my usual job,86,88,-2,2
4,stocking boxes,68,66,2,2
46,After a few minutes,32,33,-1,1
20,"Next thing I know, I started seeing spots",65,66,-1,1
