recall_id,chars,average,text
summary_gpt4o_3_1.json,187,0.6005,"I felt lightheaded and a strange tightness in my chest at work. I nearly collapsed, but the manager caught and helped me. The manager's quick action helped me recover from a panic attack."
summary_gpt4o_4_1.json,200,0.6077,I felt lightheaded and ignored my hunger. I experienced tightness in my chest and felt scared. The manager noticed my distress and helped me. I learned to take care of myself to prevent panic attacks.
summary_gpt4o_3_3.json,203,0.5881,"I felt strange tightness and pressure in my chest while working. I was scared and couldn't catch my breath as my condition worsened. I was helped by the manager, who realized I was having a panic attack."
summary_gpt4o_4_3.json,222,0.6326,I felt lightheaded and hungry while working in the warehouse. I experienced chest pressure and difficulty breathing. The manager noticed my distress and helped me. I learned to take care of myself to prevent panic attacks.
summary_gpt4o_3_2.json,233,0.5479,"I felt lightheaded and experienced tightness in my chest while working. I started to panic and struggled to breathe, feeling scared and helpless. The manager noticed something was wrong and helped me, diagnosing it as a panic attack."
summary_gpt4o_6_2.json,264,0.6612,I was working late at the warehouse. I felt lightheaded from not eating. I experienced chest tightness and pressure. I couldn't catch my breath and saw spots. The manager noticed and came to help. I realized I had a panic attack and learned to take care of myself.
summary_gpt4o_4_2.json,274,0.66,"I felt strange and lightheaded at work but thought it was just hunger. I experienced chest tightness and pressure and couldn't catch my breath. The manager noticed my distress and came to help me. It turned out to be a panic attack, and I learned to manage my health better."
summary_gpt4o_6_3.json,285,0.6266,I was at work stocking boxes in the warehouse. I felt lightheaded and chalked it up to hunger. I experienced tightness and pressure in my chest. I struggled to breathe and felt scared. The manager noticed and came to help me. I learned it was a panic attack and to take care of myself.
summary_gpt4o_5_2.json,311,0.6561,I was working in the warehouse and felt lightheaded. I experienced chest tightness and pressure while returning items. I leaned on a wall and felt scared as the pressure increased. The manager saw me struggling and quickly came to help. I learned the importance of self-care after a panic attack was identified.
summary_gpt4o_5_1.json,312,0.701,"I was working in the warehouse and started feeling lightheaded. I felt a tightness and pressure in my chest that increased. I saw spots, felt sweaty, and struggled to breathe. The manager noticed me and helped when I was about to faint. I learned that I had a panic attack and need to take better care of myself."
summary_gpt4o_9_1.json,335,0.6218,I was working in the warehouse. I felt lightheaded from not eating. I experienced chest tightness and pressure. I leaned against a wall to relieve pressure. I felt scared and struggled to breathe. The manager saw me and called out. I tried to respond but failed. The manager caught me before I fell. I learned to rest and eat properly.
summary_gpt4o_5_3.json,337,0.6297,I was working in the warehouse and felt lightheaded due to hunger. I started feeling tightness and pressure in my chest while working. I felt scared as my heart pounded and I struggled to breathe. The manager saw me struggling and came to help me before I collapsed. I learned I had a panic attack and need to take better care of myself.
summary_gpt4o_7_1.json,339,0.7015,I was working on the warehouse floor stocking boxes. I felt strange and attributed it to hunger. I felt tightness and pressure in my chest. I leaned against a wall but felt worse. The manager noticed I needed help and approached. I almost fainted but the manager caught me. I learned I had a panic attack and to take better care of myself.
summary_gpt4o_7_3.json,351,0.6643,"I was working in the warehouse stocking boxes. I felt lightheaded and hungry because I hadn't eaten. I experienced tightness and pressure in my chest. I saw spots and felt sweat dripping down my forehead. The manager called out to me and walked over. I started to collapse, but the manager caught me. The manager helped me recover from a panic attack."
summary_gpt4o_9_2.json,364,0.6515,I was working on the warehouse floor. I felt lightheaded because I hadn't eaten. I experienced chest pressure and pounding heart. I leaned against the wall feeling worse. I saw spots and sweated heavily. I couldn't catch my breath and got scared. The manager noticed me struggling. I was caught by the manager as I fainted. I learned to take better care of myself.
summary_gpt4o_11_2.json,366,0.6641,I was working on the warehouse floor. I started feeling lightheaded. I dismissed it as hunger. I felt tightness in my chest. I leaned against a wall to rest. I began seeing spots and sweating. I struggled to breathe. I heard the manager calling me. I couldn't respond due to panic. I was caught by the manager before falling. I learned to take better care of myself.
summary_gpt4o_6_1.json,370,0.6052,"I was working in the warehouse and feeling lightheaded due to not eating. I felt a strange tightness and pressure in my chest. I leaned against the wall as my symptoms worsened. I tried to breathe but couldn't, and I started to feel scared. The manager noticed me and came over as I was about to pass out. He helped me recover, and I learned the importance of self-care."
summary_gpt4o_8_3.json,384,0.66,I worked on the warehouse floor organizing merchandise. I felt a bit lightheaded because I hadn't eaten. I experienced tightness and pressure in my chest. I leaned against the wall as the pressure increased. I couldn't catch my breath and felt scared. The manager saw me and asked if I was okay. I almost fainted but the manager caught me. I learned the importance of rest and eating.
summary_gpt4o_7_2.json,390,0.6958,I was working on the warehouse floor doing my usual job. I started feeling lightheaded and chalked it up to hunger. I felt chest tightness and pressure getting stronger. I leaned against a wall and felt my heart pounding. I saw spots and sweated as I struggled to breathe. The manager noticed me and rushed to help as I collapsed. I learned it was a panic attack and to take care of myself.
summary_gpt4o_8_2.json,395,0.7055,I was working in the warehouse stocking boxes. I felt lightheaded due to not eating that day. I experienced tightness and pressure in my chest. I leaned against a wall but the pressure increased. I saw spots and couldn't catch my breath. The manager saw me and walked toward me. I was having a panic attack and the manager helped me. I learned to check on myself and ensure proper rest and food.
summary_gpt4o_10_3.json,407,0.6864,I was working on the warehouse floor. I felt lightheaded due to hunger. I experienced a tightness in my chest. I started seeing spots and sweating. I struggled to catch my breath. I heard the manager calling out to me. I tried to respond but couldn't speak. The manager caught me as I collapsed. He helped me by giving me water and rest. I realized I had a panic attack and needed to care for myself better.
summary_gpt4o_9_3.json,411,0.6591,I was working in the warehouse. I felt lightheaded and thought I was hungry. I felt tightness and pressure in my chest. I leaned against a wall as the pressure grew stronger. I started sweating and couldn't catch my breath. I heard the manager call out to me. I couldn't respond and felt my world going dark. The manager caught me before I fell. I learned to take care of myself to prevent future panic attacks.
summary_gpt4o_10_1.json,420,0.5931,"I was working in the warehouse, stocking boxes. I felt lightheaded and thought it was hunger. I felt tightness and pressure in my chest. I leaned against the wall feeling worse. I started sweating and seeing spots. I couldn't catch my breath and got scared. I heard the manager calling out to me. I tried to respond but couldn't speak. The manager caught me as I was falling. The manager helped me during a panic attack."
summary_gpt4o_8_1.json,426,0.6063,"I was working on the warehouse floor, stocking boxes. I began to feel lightheaded and blamed it on hunger. I felt pressure in my chest while returning items. Sweat dripped down as I struggled to breathe. The manager saw me and called out to check on me. I couldn't respond but the manager reached me in time. The manager took me to the staff room to rest. I realized I had a panic attack and learned to care for myself better."
summary_gpt4o_14_1.json,447,0.6249,I was working in the warehouse. I felt lightheaded while working. I thought I was just hungry. I felt tightness in my chest. I leaned against a wall. The pressure in my chest increased. I began to sweat and see spots. I couldn't catch my breath. I was scared and confused. The manager noticed I was in trouble. I tried to respond but couldn't. The manager caught me as I fell. He helped me to the staff room. I learned the importance of self-care.
summary_gpt4o_12_2.json,468,0.7286,"I was working on the warehouse floor. I had been feeling lightheaded all day. I felt pressure in my chest suddenly. I leaned against a wall, feeling worse. I was sweating and seeing spots suddenly. I heard the manager calling out to me. I tried to yell back but couldn't speak. I started to drop to the ground then. The manager caught me before I collapsed. He brought me to the staff room to rest. I realized I had a panic attack. I learned to check in and take care."
