recall_id,keypoints,attempt,summary_text,segment_ids,correlation
summary_llama4_6_2.json,6,2,1. I was working on the warehouse floor. 2. I started to feel strange and lightheaded. 3. I felt a tightness and pressure in my chest. 4. The manager saw me and came to help. 5. The manager took me to the staff room to rest. 6. I recovered and learned to take care of myself.,"[2, 3, 8, 9, 14, 15, 27, 28, 29, 35, 40, 41, 46, 47, 48, 54, 55]",0.486
summary_llama4_7_2.json,7,2,1. I was working on the warehouse floor. 2. I started to feel strange and lightheaded. 3. I felt a tightness and pressure in my chest. 4. The manager saw me and came to check on me. 5. I was having a panic attack and couldn't catch my breath. 6. The manager helped me to the staff room and got me water. 7. I felt better after resting for a few minutes.,"[2, 3, 8, 9, 14, 15, 27, 28, 29, 31, 32, 23, 24, 49, 38, 39, 40, 41, 42, 44, 46, 47, 48]",0.4757
summary_llama4_6_1.json,6,1,1. I was working on the warehouse floor and felt lightheaded. 2. I started to feel a strange tightness and pressure in my chest. 3. The pressure got stronger and I felt my heart pounding. 4. The manager saw me and came to my aid when I was struggling. 5. The manager took me to the staff room and helped me recover. 6. I learned to take care of myself to avoid further panic attacks.,"[3, 9, 14, 15, 18, 19, 28, 29, 35, 38, 39, 40, 41, 44, 45, 54, 55, 56]",0.4703
summary_llama4_7_3.json,7,3,1. I was working on the warehouse floor. 2. I felt lightheaded and strange. 3. I experienced tightness and pressure in my chest. 4. The manager saw me and came to my aid. 5. I was having a panic attack and couldn't catch my breath. 6. The manager helped me to the staff room and gave me water. 7. I felt better after resting for a few minutes.,"[2, 3, 8, 9, 14, 15, 27, 28, 29, 35, 23, 24, 49, 38, 40, 41, 44, 46, 47, 48]",0.4622
summary_llama4_12_1.json,12,1,1. I was working on the warehouse floor. 2. I had been feeling a bit strange and lightheaded. 3. I attributed my feeling to hunger and not eating. 4. I started to feel a strange tightness and pressure in my chest. 5. I stopped working and leaned against a nearby wall. 6. The pressure in my chest got stronger and I felt my heart pounding. 7. I started seeing spots and felt sweat dripping down my forehead and arms. 8. I tried to take deep breaths but couldn't catch my breath. 9. My manager saw me and called out to check if I was alright. 10. The manager caught me as I was about to drop to the ground. 11. He took me to the staff room and helped me rest and recover. 12. I later realized I had been having a panic attack.,"[3, 8, 9, 10, 11, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 27, 28, 29, 30, 31, 32, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 49]",0.4617
summary_llama4_5_3.json,5,3,1. I was working on the warehouse floor. 2. I started to feel a strange tightness and pressure in my chest. 3. The manager saw me and came to help. 4. He took me to the staff room and made me rest. 5. I had been having a panic attack.,"[2, 3, 8, 9, 14, 15, 27, 28, 29, 31, 32, 35, 40, 41, 42, 43, 44, 45, 49]",0.4604
summary_llama4_9_1.json,9,1,1. I was working on the warehouse floor. 2. I felt lightheaded and attributed it to hunger. 3. I started to feel a strange tightness in my chest. 4. I leaned against a wall but the pressure got stronger. 5. I felt my heart pounding and saw spots. 6. I tried to take deep breaths but couldn't catch my breath. 7. The manager saw me and came to check on me. 8. The manager helped me to the staff room and got me water. 9. I recovered and learned to take care of myself to avoid further episodes.,"[2, 3, 8, 9, 10, 11, 14, 15, 16, 17, 18, 19, 20, 23, 24, 27, 28, 29, 30, 31, 32, 35, 38, 40, 41, 42, 44, 46, 47, 48, 54, 55, 56]",0.4602
summary_llama4_29_1.json,29,1,"1. I was at work one day. 2. I was doing my usual job on the warehouse floor. 3. I was stocking boxes and organizing merchandise. 4. I had been working for a few hours. 5. It was getting late. 6. I felt a bit strange and lightheaded. 7. I thought it was due to hunger. 8. I hadn't eaten yet that day. 9. I started to feel tightness and pressure in my chest. 10. I stopped what I was doing. 11. I leaned against a nearby wall. 12. The pressure in my chest got stronger. 13. I could feel my heart pounding. 14. I started seeing spots. 15. Sweat was dripping down my forehead and arms. 16. I tried to take deep breaths. 17. I couldn't catch my breath. 18. I was really scared. 19. I didn't know what to do. 20. I heard the manager's voice. 21. The manager had seen me and called out. 22. Someone had noticed me and was checking on me. 23. I tried to yell back, but couldn't. 24. The manager walked towards me. 25. I felt my world going dark. 26. I started to drop to the ground. 27. The manager caught me before I fell. 28. He took me to the staff room and sat me down. 29. The experience taught me to rest and eat properly.","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 54, 55, 56]",0.4534
summary_llama4_14_3.json,14,3,"1. I was working on the warehouse floor. 2. I was stocking boxes and organizing merchandise. 3. I had been working for a few hours. 4. I felt strange and lightheaded. 5. I thought it was because I was hungry. 6. I started to feel a tightness and pressure in my chest. 7. I stopped working and leaned against a wall. 8. I felt my heart pounding in my chest. 9. I saw spots and felt sweat dripping down my forehead. 10. The manager saw me and called out to me. 11. The manager caught me as I was about to fall. 12. He took me to the staff room and gave me water. 13. The pressure in my chest eased up after a few minutes. 14. I had a panic attack, but the manager helped me.","[3, 4, 5, 6, 8, 9, 10, 11, 14, 15, 16, 17, 19, 20, 21, 27, 28, 29, 30, 38, 39, 40, 41, 44, 46, 47, 49, 51]",0.4517
summary_llama4_6_3.json,6,3,"1. I was working on the warehouse floor and felt lightheaded. 2. I started to feel a strange tightness and pressure in my chest. 3. I tried to take deep breaths but couldn't catch my breath. 4. My manager saw me and came to help as I was about to pass out. 5. The manager took me to the staff room and gave me water to rest. 6. I had a panic attack, but my manager's help prevented it from getting worse.","[3, 9, 14, 15, 23, 24, 27, 28, 29, 35, 36, 37, 38, 39, 40, 41, 44, 45, 49, 51]",0.4409
