recall_id,sum,mbits_to_chars,recall_text,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
mean,49.34,0.07,,11.21,4.93,6.21,1.88,-1.71,3.55,-1.18,1.18,0.79,-0.44,0.11,-2.66,-0.22,4.38,1.06,-1.33,1.44,0.7,-0.49,1.0,2.23,-0.45,1.15,0.63,0.95,-0.0,0.48,2.85,-0.12,1.62,0.63,0.48,-3.13,0.63,-1.71,-1.19,0.01,1.5,1.53,4.85,0.28,-1.64,0.22,2.65,0.45,-0.1,-0.41,0.2,0.1,0.78,0.96,-0.52,0.2,1.53,1.36,-0.06
64402da0bda468a555d030d2,-2.93,-0.01,"A gentleman was at work and began having something seemingly I've suffered with much of my life, but still should have went to the hospital. He was at work and began having chest pain, sweating, dizziness and faintness, he was afraid and his manager saw him, sat him down and talked to him and it subsided. He chalked it up to not eating or other reasons.",10.76,2.39,0.19,-0.03,-1.33,2.99,-1.61,-1.27,-0.11,1.81,0.62,-4.29,-0.51,3.01,1.94,0.1,-0.21,-0.26,-1.18,-3.12,2.43,-0.84,-1.22,-0.03,1.73,-0.1,-3.43,2.49,0.19,1.36,-0.68,0.17,-6.13,0.03,-0.92,-2.15,-1.06,0.71,0.09,0.53,0.6,-0.27,0.19,0.27,0.84,-0.65,-0.71,0.27,-2.94,0.48,-0.9,-1.6,-0.07,-1.14,0.09,-0.45
5c5db292be38480001141cf8,2.01,0.01,"A worker was working when they suddenly began to feel strange, they assumed it was nothing just because they hadn't eaten anything yet. Suddenly the feelings became worse and they started having a panic attack. Their manager came out to help them, gave them some water and tried to help figure out what was wrong.",9.11,3.16,0.57,-1.06,-2.25,3.7,-1.55,1.62,0.6,-0.29,0.89,-4.78,0.12,0.31,-0.45,-0.93,-1.05,0.57,-0.76,-1.64,1.36,-0.92,0.53,0.92,0.43,0.72,-1.25,2.51,0.5,0.09,-0.0,-1.13,-3.58,0.22,-1.32,-3.26,-0.04,1.01,0.48,0.73,0.16,0.1,0.39,2.88,-1.61,-1.62,-0.63,0.12,0.19,0.34,0.98,-1.27,-0.22,-0.69,-0.29,-0.71
63d441d2a72a227e0fef6b71,2.65,0.01,I was working in the warehouse moving boxes when I experienced tightness in my chest. I leaned against a wall and I started sweating. My colleagues made sure that I was alright. I never want to experience such an episode again.,9.19,3.94,5.15,2.73,-3.89,0.09,-1.47,-0.2,-0.97,-1.11,-1.43,-4.07,-0.29,5.51,1.46,1.72,5.78,-0.93,-1.02,-5.21,5.4,-0.11,0.86,-0.09,2.34,-0.44,-4.05,-1.72,-0.04,-0.1,0.27,1.21,-5.29,0.37,-1.62,-3.44,-1.25,-0.43,0.17,0.6,-0.61,-1.16,0.69,0.42,0.24,-0.96,-0.63,0.32,-3.18,0.82,0.05,0.95,-1.36,-0.74,0.39,-0.21
640de1d339ad474bc682f05f,4.55,0.02,A normal sunny day in the warehouse stacking and moving around the merchandise. a feeling of light headiness 'which was perhaps down to just hunger. However a throbbing pain in the chest was uncomfortable to which they then began to see light spots in there vision.,8.35,5.34,5.73,1.12,0.83,4.35,-1.9,0.67,2.01,2.77,-0.37,-2.04,-1.91,5.09,2.0,-2.08,-2.7,0.1,-1.32,6.1,-1.66,-1.39,-0.84,-0.02,0.7,-0.02,-3.94,-0.63,-0.53,-1.16,-0.5,-1.28,-3.21,-0.05,-0.91,-1.04,-0.92,0.31,0.42,-1.02,-0.32,-0.78,-0.08,-1.69,-0.02,-1.14,-2.36,0.14,-1.56,-0.05,0.79,-1.48,-0.7,-0.06,0.29,-0.88
5b734cf9543d1c0001c80b69,6.32,0.01,It was a normal day at work where I work in a warehouse. I haven't eaten anything yet and during the day I felt light headed. I tried to rest but then felt a pain in my chest. Fortunately my manager notice something was wrong and came over just as I was passing out. My manager took me to the staff room where he gave me something to drink. I started to feel better and the lessons learnt of this experience was that I should make sure I am rested and had something to eat before starting work.,11.85,3.93,6.81,-2.22,-4.33,3.65,-2.36,-0.65,0.96,-1.09,1.74,-3.5,-1.08,3.26,1.5,-0.67,-0.17,-1.51,-3.49,0.56,-1.99,-2.11,-1.8,0.01,-0.06,-0.53,-1.7,2.47,-0.18,0.65,-0.7,-1.18,-4.19,-0.55,-1.71,0.05,0.15,0.5,-0.37,9.92,-0.05,-1.55,0.59,2.23,0.19,-0.08,-2.16,1.23,-4.44,0.14,-0.13,-1.45,0.22,1.04,2.37,-1.7
605ed235d0b4fbbc44891bad,7.33,0.03,"While working in the warehouse, I suddenly felt lightheaded and noticed a tightness in my chest. As my panic attack escalated, the manager intervened, catching me before I collapsed. They provided support, water, and a reminder to prioritize self-care for future prevention.",9.33,0.43,6.29,0.03,-1.92,1.92,-1.04,-0.45,1.84,-1.92,-1.44,-2.16,0.07,4.73,0.79,-0.49,-1.15,0.05,-0.74,-0.85,0.54,-1.2,0.19,0.05,0.83,-0.11,-2.39,4.23,0.67,0.61,0.21,-0.48,-6.18,-0.11,-1.52,-2.27,-0.61,0.8,1.23,-0.33,0.15,-1.8,0.81,3.35,-0.35,-2.11,-0.11,0.3,-1.4,-0.06,0.78,-1.43,0.02,1.23,1.29,-0.82
6410ccefa0a9680d422e79be,7.71,0.02,A person was working in a warehouse for a few hours stacking boxes and working as usual. Then the person started feeling bad. They were having shortness of breath and chest problems. A worker noticed that the person was getting weak and needed help. When the person was about to black out and fall the manager was able to help them and get medical attention.,6.22,5.79,6.38,5.49,-1.16,5.75,-2.97,0.11,-0.29,-0.25,-1.24,-4.04,0.09,3.39,1.21,-0.5,-0.53,-0.05,-1.46,-0.74,-0.38,-1.0,-0.98,1.34,-0.07,-1.15,-0.75,2.76,0.3,-0.25,1.79,-1.35,-2.07,0.11,-1.21,-0.62,-0.41,1.29,-0.76,-2.52,-0.98,-0.01,0.31,-0.34,-0.46,-0.55,-2.82,-0.05,-2.01,0.52,2.65,-1.8,0.4,-0.9,0.12,-1.64
60b94f837bfda8b1977feef0,9.43,0.02,"I was working in the warehouse, packing shelves. I had not eaten much that day and it was nearing the end of my shift when I started to feel unwell. One of my co-workers noticed that I was not looking well and called the manager. My legs gave way under me and the manager caught me. He saved me from hitting the ground. I felt a pain in my chest and my heart started pounding. He asked me questions and concluded that I was having a panic attack. The manager said I need to make sure I eat and have enough rest before going to work. I was grateful to the manager for helping me.",8.92,4.3,6.48,1.72,-3.58,1.63,-1.35,-0.32,1.08,-0.42,0.3,-3.3,-0.79,1.13,0.31,-1.5,-1.06,0.07,-0.15,-0.39,-1.22,-1.89,-0.21,0.23,1.21,-0.42,-2.59,3.99,0.13,0.62,1.36,-0.39,-5.49,0.31,-1.2,-2.93,0.33,0.75,2.53,1.07,0.03,1.73,0.17,-1.88,0.88,-1.18,0.08,0.02,0.91,-0.25,1.21,-2.21,0.52,-2.56,2.72,-0.03
60cb4227e6e8c80e4243b1db,9.81,0.06,"He was working in a warehouse and started to feel lightheaded and had a tightness in his chest, he fell to the floor but the manager caught him and he had a panic attack.",9.08,3.77,7.82,0.44,-2.53,2.38,-1.35,0.93,2.12,-1.97,-1.1,-3.07,-0.08,6.42,0.71,-0.92,-0.69,0.68,-1.52,-0.73,-1.27,-1.05,0.38,0.47,0.09,-1.19,-4.53,3.49,0.51,0.89,-0.28,-0.7,-3.76,0.16,-0.89,-1.96,0.89,0.32,1.42,0.73,-0.05,-1.26,0.68,1.38,-1.2,-0.96,-0.13,-0.1,-1.31,0.22,1.51,-1.13,-0.58,-0.83,0.33,-0.87
5e8df7e8ae7a8007d30505e1,11.74,0.02,"The person was working in the warehouse near the end of their shift, they had not eaten or drank anything that day. They then got sweaty and began to see stars/things went dark - at this point someone had noticed and told the manager. As the person begun to collapse, the manager caught them which saved them. This could've been much worst if it wasn't for the manager. They slowly come round after the manager gave them water, they were suffering from a panic attack. This caused the person to reflect and to think about checking in with themselves to see if they're okay and if they need food or water.",6.66,2.14,7.01,-1.94,-2.48,4.82,-1.82,-1.21,1.09,-1.12,0.21,-2.74,-0.37,-2.47,-1.27,-1.42,-0.83,0.56,-1.46,5.23,-0.27,-1.83,-0.51,0.02,-0.12,-0.38,-3.01,3.73,0.47,1.29,2.94,0.35,-6.32,0.38,-1.39,-0.56,0.8,0.8,0.3,1.29,-0.28,-2.27,0.48,2.43,-1.17,0.65,-0.58,0.09,1.37,0.88,0.83,-2.31,0.77,5.88,-0.47,-1.13
5cba0e35d7ebf300177ff529,12.04,0.06,"I was at work one day, doing my usual job in the warehouse - packing and sorting boxes. I started to get tightness in my chest, sweat pouring down my forehead and my arms. I leant against a pillar.",14.33,8.25,5.48,1.61,-1.45,0.71,-1.97,-0.0,-0.98,-1.49,-1.19,-2.85,-0.77,5.38,0.88,0.14,-0.02,-1.2,-0.82,-5.34,5.83,3.63,1.35,0.43,1.54,-0.52,-3.85,0.63,-0.54,-1.11,-0.94,-0.32,-3.5,0.31,-0.97,-1.98,-0.99,-0.3,0.85,0.12,-0.07,-0.0,0.2,0.01,-0.42,-0.94,-1.56,0.56,-0.63,0.5,0.36,-1.04,-0.85,-0.75,-0.01,-1.69
60d8584f98acfedc95997121,12.99,0.03,The man was working in the warehouse stacking boxes and felt a little weak and tired but thought he was just hungover and that he hadn't eaten that day. Then he started to feel sweat on his forehead and he tried to get attention but could feel his legs going weak. The manager was coming towards him as someone had seen him and thought he should be checked on. The manager caught the man just before his legs hit the floor.,6.65,4.76,6.38,4.95,-3.27,2.99,-1.42,1.72,1.48,0.15,2.69,-4.55,-1.55,-0.86,-0.44,-1.65,-0.95,0.1,-1.89,-1.35,3.26,-0.93,-4.05,0.17,-0.57,-0.64,-1.46,3.48,0.47,2.68,5.34,1.19,-2.97,-0.12,-0.17,-1.95,-0.56,0.68,5.93,-2.57,-0.97,-0.84,0.63,-1.01,1.13,-1.84,-2.2,0.24,-1.93,-0.34,1.5,-2.02,0.09,-0.07,0.35,-0.88
6079fce53f74f77426b40b44,13.07,0.04,"a person was working in a ware house, picking orders when they felt light headed. They stumbled when a tightness in there chest gripped them with fear. The warehouse manager see that the person was struggling and ran over to them just as they were about to collapse. The employee was relieved it was a panic attack only.",7.15,5.14,6.21,-1.34,-2.2,3.48,-1.17,0.91,0.86,-0.72,-1.59,-1.86,-0.27,6.82,0.28,-1.14,-2.71,0.49,-0.69,-0.91,0.33,-1.06,0.27,0.43,1.8,-0.66,-1.43,3.43,0.81,-0.3,-0.35,-0.75,-3.92,0.57,-1.58,-1.87,0.17,0.96,0.61,-0.29,-0.06,-0.53,0.52,0.97,-0.81,-0.13,0.06,-0.11,-0.67,0.03,2.58,-1.21,-0.07,-0.77,0.16,-0.8
5eb9c4d92f9f740fb8418f8d,14.37,0.03,"I went to work, at a warehouse. I was on the warehouse floor doing my job, and I started to feel a bit funny. I felt dizzy and like my world was going dark. I heard my manager call out to me but I could not speak or shout back. Luckily he came over before my legs gave out. He offered me an ice cold drink, and waited for my breathing to go back to normal. Turns out it was a panic attack. It could have been so much worse.",11.92,3.62,9.03,-3.81,-2.72,2.4,-1.85,2.05,0.8,-1.79,-1.34,-2.61,0.38,-0.88,-0.66,-1.79,-0.98,0.55,-1.03,1.08,0.46,-1.48,-0.44,0.38,0.91,-0.07,0.3,2.72,-0.98,1.48,-1.74,-0.42,-1.83,0.56,-2.5,0.25,-0.86,1.67,3.38,2.45,-0.52,-2.89,0.07,3.62,-1.41,-0.56,-0.14,-0.36,-0.79,0.16,0.7,-2.42,3.54,-0.66,0.23,-0.81
5b1bf2e768a5ed000173833c,14.95,0.03,"I was working at my warehouse job and had not eaten recently. I was feeling a bit strange but kept working. All of a sudden, my vision started to fade and my legs began to shake. Fortunately, before I managed to hit the ground my manager who had been walking up to me caught me just in time. He brought me to the staff room and let me rest. He then asked me questions about what just happened. We realized I just had a panic attack and that's what caused me to faint. It is important to eat and get sleep so that this doesn't happen again.",11.5,2.15,5.46,-0.56,-2.02,4.1,-1.09,2.21,1.32,-1.28,0.27,-2.34,-1.18,-3.49,-1.66,-2.92,-0.45,1.45,-1.87,3.79,-1.5,-1.17,-0.99,-0.09,-0.14,-0.62,-4.97,2.64,0.2,1.46,-1.57,0.04,-4.67,0.15,-1.56,-1.34,-0.0,0.42,1.49,9.29,0.17,2.04,1.11,-0.24,2.14,0.14,-2.05,-0.04,-0.95,-0.77,0.62,-0.82,0.63,-0.49,1.93,1.07
5cabd1e67dfcbf0017803fb9,16.26,0.07,"Working in the warehouse as usual but hadn’t eat so started to feel a tight chest, leaned against the wall and was blacking out until the manager came over and took them to sit down and drink water to find out it was a panic attack",10.27,5.57,7.42,-1.75,-2.23,4.37,-1.51,-2.04,1.05,1.1,0.45,-2.08,-0.89,5.63,0.91,-0.52,6.4,-0.33,-1.64,1.73,-2.51,-2.19,-1.16,-1.53,-0.59,-1.14,-3.38,3.79,0.25,0.74,0.27,-1.6,-6.26,-0.32,-1.24,-0.39,-0.99,1.46,-0.43,3.03,0.76,-2.34,0.03,3.63,-1.24,-0.33,0.13,0.08,-0.7,-0.01,0.56,-1.19,-0.61,-0.17,0.37,-0.43
604fec1a89348e21e8a327c0,18.34,0.05,"A worker who worked on the bottom floor of a warehouse stacking merchandise started to experience symptoms of a really horrible panic attack like tightness of the chest and blacking out. However, the manager luckily heard him and caught him just in time to help him. This made him realise he needs to look after himself more in order to avoid future episodes.",7.91,4.08,6.94,2.28,-3.5,1.54,-0.71,1.64,0.27,-1.76,-2.34,-2.17,-0.34,4.52,0.75,-2.04,-0.94,0.98,-1.44,2.25,-1.29,-1.42,-0.5,0.54,0.91,-0.67,-1.48,3.43,0.74,1.54,-0.86,0.79,-4.07,0.44,-1.98,-0.7,-0.14,1.75,1.35,2.77,-0.29,-1.49,0.95,1.73,-0.38,-0.81,-0.62,0.54,-1.73,-0.33,0.96,-1.93,-0.23,0.47,0.81,1.62
605f3aa59cc664f67c678409,18.72,0.03,"I was at work when I suddenly felt tight in my chest. I did not know what was happening, but I could feel that something was not okay. I suddenly started seeing spots and my body began to feel weak. I could see my manager and could see that he noticed me. I tried to tell him something was wrong but could not say anything and could not find my voice. My body started giving in and just as I was about to fall down, my manager got to me on time. I had been having a panic attack and learned that next time I must take some more time to myself and check in with myself.",12.15,0.0,-2.8,-0.25,-1.42,2.73,-1.57,0.0,-0.48,0.02,-0.88,-2.46,-0.26,4.4,0.88,-0.83,-1.81,0.66,-1.23,6.95,0.15,0.26,-1.6,-0.19,0.28,0.98,-2.97,2.54,-0.22,1.77,-0.45,1.84,0.03,2.1,-1.65,-2.43,-0.4,1.52,-0.41,1.21,-0.34,-1.28,0.62,0.58,0.37,-1.09,-1.12,-0.39,1.4,1.34,1.05,-0.99,-0.76,5.58,-0.03,-2.38
59e4d8f3d838ae000185093f,20.58,0.04,I was working at my usual job in a warehouse doing my duties and putting things away in their proper place. I started to feel unwell with light headedness and a tightening in my chest. It got worse and I was starting to get worried when I noticed my manager heading towards me. My colleagues must have alerted them to my situation as he called out to ask if I was ok. I couldn’t answer and felt light headed so suck to my knees. My manager helped me and got me a glass of water. It turns out it was a panic attack and now I need to look after myself better.,11.37,5.32,5.82,0.22,-1.2,2.61,-2.71,2.18,1.72,-2.91,-1.75,-4.19,1.44,4.95,0.71,-1.5,-1.85,0.57,-0.92,-0.46,0.04,-2.16,-0.02,-0.19,0.93,0.21,-0.61,2.91,-1.13,2.56,2.27,-0.09,-3.75,-0.06,-1.85,-2.69,1.8,0.97,-1.03,2.47,-0.25,-2.37,-0.48,4.01,-0.52,-0.78,-0.04,-0.43,0.46,1.16,0.58,-1.21,-0.63,0.89,1.44,-1.25
61408d91f3d4f54cad785475,22.46,0.06,"A man works in a warehouse, he does the stocking. He started feeling dizzy and lightheaded. He put it down to hunger. He started to see darkness. His manager noticed across the warehouse and shouted to see if he was ok. The man couldn't respond and started to black out. Just in time his manager managed to catch him as he was falling. Turns out he was having a panic attack.",7.34,6.09,5.72,3.41,-3.77,4.41,-0.74,0.57,1.72,-0.35,-0.5,-3.17,-0.61,-0.06,-0.75,-2.72,-1.85,0.77,-1.59,5.16,-1.36,-1.33,0.28,0.72,-0.46,-0.42,6.0,2.38,-0.19,0.86,-0.72,0.92,-1.5,0.48,-2.61,0.03,0.18,1.41,1.39,1.42,-0.86,-1.7,0.23,0.19,-0.32,-0.45,-0.86,-0.15,2.18,-0.18,1.84,-1.9,-0.26,-0.53,-0.22,-1.11
644ceaf195d583d09f9a433a,22.61,0.06,"I was working on the shop floor in a warehouse. I started to feel ill, a tightness in my chest. My manager noticed and asked if I was okay but I couldn't respond and fell to the floor. Turns out I was having a panic attack but I was okay due to the quick actions of my manager. It reminds me that I should keep better care of myself- rest properly and eat well to avoid having further episodes.",10.84,3.09,9.19,-2.62,-3.45,1.76,-1.41,0.52,-0.41,-0.65,-1.4,-3.2,-0.13,5.12,1.16,-0.79,-0.86,0.18,-1.41,-0.8,-0.05,-1.14,0.05,0.6,0.57,-0.01,-3.04,2.07,-0.04,0.48,0.04,0.69,-3.47,-0.2,-2.36,-1.95,0.82,0.35,-0.37,0.22,-0.4,-0.26,0.21,1.4,0.06,-0.57,-0.41,0.27,1.46,1.24,2.55,-1.11,-0.88,-0.44,6.04,5.46
