,summary,total,len,rate,keypoints_id
81,"I felt lightheaded and a strange tightness in my chest at work.|I nearly collapsed, but the manager caught and helped me.|The manager's quick action helped me recover from a panic attack.",42.52,187,0.23,3_1
84,I felt lightheaded and ignored my hunger.|I experienced tightness in my chest and felt scared.|The manager noticed my distress and helped me.|I learned to take care of myself to prevent panic attacks.,34.12,200,0.17,4_1
83,"I felt strange tightness and pressure in my chest while working.|I was scared and couldn't catch my breath as my condition worsened.|I was helped by the manager, who realized I was having a panic attack.",44.3,203,0.22,3_3
86,I felt lightheaded and hungry while working in the warehouse.|I experienced chest pressure and difficulty breathing.|The manager noticed my distress and helped me.|I learned to take care of myself to prevent panic attacks.,53.3,222,0.24,4_3
82,"I felt lightheaded and experienced tightness in my chest while working.|I started to panic and struggled to breathe, feeling scared and helpless.|The manager noticed something was wrong and helped me, diagnosing it as a panic attack.",35.73,233,0.15,3_2
91,I was working late at the warehouse.|I felt lightheaded from not eating.|I experienced chest tightness and pressure.|I couldn't catch my breath and saw spots.|The manager noticed and came to help.|I realized I had a panic attack and learned to take care of myself.,49.95,264,0.19,6_2
85,"I felt strange and lightheaded at work but thought it was just hunger.|I experienced chest tightness and pressure and couldn't catch my breath.|The manager noticed my distress and came to help me.|It turned out to be a panic attack, and I learned to manage my health better.",44.9,274,0.16,4_2
92,I was at work stocking boxes in the warehouse.|I felt lightheaded and chalked it up to hunger.|I experienced tightness and pressure in my chest.|I struggled to breathe and felt scared.|The manager noticed and came to help me.|I learned it was a panic attack and to take care of myself.,50.14,285,0.18,6_3
88,I was working in the warehouse and felt lightheaded.|I experienced chest tightness and pressure while returning items.|I leaned on a wall and felt scared as the pressure increased.|The manager saw me struggling and quickly came to help.|I learned the importance of self-care after a panic attack was identified.,57.38,311,0.18,5_2
87,"I was working in the warehouse and started feeling lightheaded.|I felt a tightness and pressure in my chest that increased.|I saw spots, felt sweaty, and struggled to breathe.|The manager noticed me and helped when I was about to faint.|I learned that I had a panic attack and need to take better care of myself.",58.08,312,0.19,5_1
99,I was working in the warehouse.|I felt lightheaded from not eating.|I experienced chest tightness and pressure.|I leaned against a wall to relieve pressure.|I felt scared and struggled to breathe.|The manager saw me and called out.|I tried to respond but failed.|The manager caught me before I fell.|I learned to rest and eat properly.,74.2,335,0.22,9_1
89,I was working in the warehouse and felt lightheaded due to hunger.|I started feeling tightness and pressure in my chest while working.|I felt scared as my heart pounded and I struggled to breathe.|The manager saw me struggling and came to help me before I collapsed.|I learned I had a panic attack and need to take better care of myself.,54.88,337,0.16,5_3
93,I was working on the warehouse floor stocking boxes.|I felt strange and attributed it to hunger.|I felt tightness and pressure in my chest.|I leaned against a wall but felt worse.|The manager noticed I needed help and approached.|I almost fainted but the manager caught me.|I learned I had a panic attack and to take better care of myself.,67.56,339,0.2,7_1
95,"I was working in the warehouse stocking boxes.|I felt lightheaded and hungry because I hadn't eaten.|I experienced tightness and pressure in my chest.|I saw spots and felt sweat dripping down my forehead.|The manager called out to me and walked over.|I started to collapse, but the manager caught me.|The manager helped me recover from a panic attack.",80.65,351,0.23,7_3
100,I was working on the warehouse floor.|I felt lightheaded because I hadn't eaten.|I experienced chest pressure and pounding heart.|I leaned against the wall feeling worse.|I saw spots and sweated heavily.|I couldn't catch my breath and got scared.|The manager noticed me struggling.|I was caught by the manager as I fainted.|I learned to take better care of myself.,74.47,364,0.2,9_2
4,I was working on the warehouse floor.|I started feeling lightheaded.|I dismissed it as hunger.|I felt tightness in my chest.|I leaned against a wall to rest.|I began seeing spots and sweating.|I struggled to breathe.|I heard the manager calling me.|I couldn't respond due to panic.|I was caught by the manager before falling.|I learned to take better care of myself.,79.73,366,0.22,11_2
90,"I was working in the warehouse and feeling lightheaded due to not eating.|I felt a strange tightness and pressure in my chest.|I leaned against the wall as my symptoms worsened.|I tried to breathe but couldn't, and I started to feel scared.|The manager noticed me and came over as I was about to pass out.|He helped me recover, and I learned the importance of self-care.",76.82,370,0.21,6_1
98,I worked on the warehouse floor organizing merchandise.|I felt a bit lightheaded because I hadn't eaten.|I experienced tightness and pressure in my chest.|I leaned against the wall as the pressure increased.|I couldn't catch my breath and felt scared.|The manager saw me and asked if I was okay.|I almost fainted but the manager caught me.|I learned the importance of rest and eating.,78.89,384,0.21,8_3
