segment_ids,text,keypoint
"(1, 3)","Well, I was at work one day I was doing my usual job working on the warehouse floor","Arrives at work, doing usual warehouse duties"
"(4, 5)",stocking boxes organizing merchandise,Stocking boxes and organizing merchandise on shelves
"(6, 7)",I had been working for a few hours it was getting late,"After hours pass, night approaches in warehouse"
"(8, 11)",I had been feeling a bit strange a bit lightheaded but chalked it up to hunger not having eaten yet that day,"Feels lightheaded, blames hunger from skipping meals"
"(12, 15)","But then, as I was walking around the warehouse returning items to their proper places I started to feel a strange tightness and pressure in my chest","Walking aisles, sudden chest tightness and pressure strikes"
"(16, 19)",I stopped what I was doing leaned against a nearby wall for a bit the pressure only got stronger I could feel my heart pounding in my chest,"Stops work, leans on wall as pressure worsens"
"(20, 23)","Next thing I know, I started seeing spots I could feel sweat dripping down my forehead my arms I tried to take some deep breaths","Vision spots, sweating, attempts deep breathing for relief"
"(24, 26)",I just couldn't catch my breath I was really scared didn't know what to do.,"Unable to breathe, scared and uncertain what to do"
"(27, 30)",Suddenly I heard a voice coming from across the warehouse. It was the manager who had seen me called out to me,Manager notices distress and calls across warehouse
"(31, 32)",it seems someone had noticed me was checking to see if I was alright,Realizes someone checking on his condition
"(33, 34)",I tried to yell back that something was wrong I couldn't find my voice.,"Tries to respond, but voice fails entirely"
"(35, 38)",The manager started walking towards me I could feel my world going dark I started to drop to the ground luckily the manager got to me in time,Manager reaches him as darkness falls and he collapses
"(39, 39)",caught me just before my legs gave out,Manager catches him before his legs give out
"(40, 43)",He took me to the staff room sat me down in a chair He asked me questions about what was wrong what happened,"Manager brings him to staff room, questions situation"
"(44, 45)",He got me a glass of cold water told me to rest for a bit,"Provides cold water, instructs him to rest"
"(46, 48)",After a few minutes the pressure in my chest slowly eased up I started to feel better,"After resting, chest pressure eases and wellbeing returns"
"(49, 51)",It turned out I had been having a panic attack I escaped from the situation the help of the quick action of the manager,Learns it was panic attack; manager’s quick action helped
"(52, 53)",It was never a fun experience it really could have been much worse,Reflects on scary experience that could’ve been worse
"(54, 56)",it taught me to check in with myself make sure to properly rest eat to avoid further episodes,Lesson learned to rest and eat to prevent episodes
