segment_id,pcaught,prec,mbits,segment_text
1,0.74,0.56,11.21,"Well, I was at work one day"
2,0.86,0.26,4.93,I was doing my usual job
3,0.92,0.74,6.21,working on the warehouse floor
4,0.68,0.56,1.88,stocking boxes
5,0.54,0.3,-1.71,organizing merchandise
6,0.17,0.07,3.55,I had been working for a few hours
7,0.16,0.15,-1.18,it was getting late
8,0.69,0.41,1.18,I had been feeling a bit strange
9,0.68,0.42,0.79,a bit lightheaded
10,0.63,0.47,-0.44,but chalked it up to hunger
11,0.65,0.44,0.11,not having eaten yet that day
12,0.18,0.13,-2.66,"But then, as I was walking around the warehouse"
13,0.16,0.1,-0.22,returning items to their proper places
14,0.93,0.79,4.38,I started to feel a strange tightness
15,0.93,0.57,1.06,and pressure in my chest
16,0.24,0.19,-1.33,I stopped what I was doing
17,0.49,0.43,1.44,leaned against a nearby wall for a bit
18,0.47,0.16,0.7,the pressure only got stronger
19,0.46,0.2,-0.49,I could feel my heart pounding in my chest
20,0.65,0.39,1.0,"Next thing I know, I started seeing spots"
21,0.6,0.46,2.23,I could feel sweat dripping down my forehead
22,0.47,0.28,-0.45,my arms
23,0.32,0.18,1.15,I tried to take some deep breaths
24,0.33,0.25,0.63,I just couldn't catch my breath
25,0.14,0.07,0.95,I was really scared
26,0.1,0.06,-0.0,didn't know what to do.
27,0.85,0.52,0.48,Suddenly I heard a voice coming from across the warehouse.
28,0.93,0.68,2.85,It was the manager
29,0.8,0.22,-0.12,who had seen me
30,0.67,0.41,1.62,called out to me
31,0.63,0.26,0.63,it seems someone had noticed me
32,0.48,0.36,0.48,was checking to see if I was alright
33,0.38,0.24,-3.13,I tried to yell back that something was wrong
34,0.51,0.43,0.63,I couldn't find my voice.
35,0.46,0.26,-1.71,The manager started walking towards me
36,0.64,0.34,-1.19,I could feel my world going dark
37,0.76,0.45,0.01,I started to drop to the ground
38,0.84,0.72,1.5,luckily the manager got to me in time
39,0.73,0.38,1.53,caught me just before my legs gave out
40,0.76,0.66,4.85,He took me to the staff room
41,0.68,0.3,0.28,sat me down in a chair
42,0.39,0.26,-1.64,He asked me questions about what was wrong
43,0.34,0.13,0.22,what happened
44,0.66,0.62,2.65,He got me a glass of cold water
45,0.26,0.16,0.45,told me to rest for a bit
46,0.32,0.11,-0.1,After a few minutes
47,0.44,0.25,-0.41,the pressure in my chest slowly eased up
48,0.43,0.29,0.2,I started to feel better
49,0.86,0.84,0.1,It turned out I had been having a panic attack
50,0.08,0.06,0.78,I escaped from the situation
51,0.21,0.14,0.96,the help of the quick action of the manager
52,0.18,0.13,-0.52,It was never a fun experience
53,0.25,0.2,0.2,it really could have been much worse
54,0.72,0.64,1.53,it taught me to check in with myself
55,0.72,0.53,1.36,make sure to properly rest
56,0.65,0.63,-0.06,eat to avoid further episodes
