recall_id,#clauses,n,segment_ids,text
5ba641d1168e5e0001e4275d,15,28,"[1, 4, 8, 14, 15, 18, 20, 21, 27, 28, 29, 30, 34, 35, 36, 37, 38, 39, 40, 41, 42, 44, 45, 46, 47, 49, 51, 53]","It was a regular day at work, stocking boxes, but I realised my arms began to feel weak, I was sweaty, and my vision was going dark with dots appearing in it. My manager was across the warehouse and called out to me, but I couldn't find my voice. My manager made it to me as I felt myself sinking to the ground, and thanks to the quick action of my manager they managed to catch me before I hit the ground. I was guided to the staff room and given a cold glass of water, and my manager asked what was wrong, and told me to take a rest. After a few minutes the pressure in my chest lessened and I realised I'd had a panic attack. Thanks to the quick action of my manager, it wasn't as worse as it could've been."
5e44835e19674731744ba0cd,13,28,"[1, 2, 3, 4, 5, 14, 15, 19, 20, 21, 22, 27, 28, 29, 30, 36, 37, 38, 39, 40, 41, 44, 49, 52, 53, 54, 55, 56]","A man was working at a warehouse, stocking inventory. Suddenly he began to feel pain in his chest and started sweating, his vision going dark, too. The manager called out to him and just before he collapsed, the manager caught him and brought him to the staff room and gave him a glass of cold water. He later found out that he was experiencing a panic attack, and reflected on the experience and how he could prevent further episodes."
59f88f6eb47dfc0001b661ef,14,29,"[1, 2, 3, 4, 5, 14, 15, 18, 19, 20, 21, 22, 27, 28, 29, 30, 31, 33, 34, 36, 37, 38, 39, 40, 41, 44, 47, 48, 49]","Person was working in a warehouse, organising merchandise and boxes. The person started to experience symptoms similar to a heart attack, such as chest pain, sweating and seeing spots. The manager tried to call out to the person but they were unable to respond and collapsed. The manager was able to catch the person before they passed out and moved them to the staff room. The manager got them a glass of water. It emerged the person experienced a panic attack and their symptoms eventually resolved."
5eb30ae9bb223e0e176edecd,20,29,"[1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 14, 15, 18, 20, 21, 22, 27, 28, 29, 34, 35, 40, 42, 43, 44, 49, 54, 55, 56]","I was going about my day as usual, working in a warehouse, stacking and organising things when I could feel something strange but blamed it on not eating as I had not eaten that day. Then I continued work but started feeling a pressure in my chest and began to see black spots and sweating badly as the pressure got worse. My manager spotted me and started to walk towards me, asking me questions but I couldn’t answer. My manager helped me to the staff room and asked me questions and gave me water, turns out i was having a panic attack and I need to take better care of myself."
5ef630007a4f7c2e550ef111,14,29,"[1, 2, 3, 4, 5, 8, 9, 14, 15, 20, 21, 22, 27, 28, 30, 37, 38, 39, 40, 41, 42, 43, 44, 46, 48, 49, 54, 55, 56]","One day I was at work, in a warehouse, taking care of boxes, when I began feeling unwell. I felt lightheaded and my chest tightened, I felt dizzy and began seeing spots. My manager called out to me and managed to catch me before I collapsed. He took me to the staff room, began asking questions and gave me a glass of water. After a while, I felt better. It turned out I had suffered from a panic attack. The whole experience taught me to check on myself better."
604fec1a89348e21e8a327c0,14,29,"[1, 3, 4, 5, 14, 15, 18, 19, 20, 27, 28, 29, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 49, 51, 52, 53, 54, 55, 56]","A worker who worked on the bottom floor of a warehouse stacking merchandise started to experience symptoms of a really horrible panic attack like tightness of the chest and blacking out. However, the manager luckily heard him and caught him just in time to help him. This made him realise he needs to look after himself more in order to avoid future episodes."
6079fce53f74f77426b40b44,7,29,"[1, 2, 3, 8, 9, 10, 11, 14, 15, 18, 19, 23, 24, 25, 27, 28, 29, 30, 31, 32, 35, 36, 37, 38, 39, 46, 47, 48, 49]","a person was working in a ware house, picking orders when they felt light headed. They stumbled when a tightness in there chest gripped them with fear. The warehouse manager see that the person was struggling and ran over to them just as they were about to collapse. The employee was relieved it was a panic attack only."
62ea847288423b9d2a07d537,20,29,"[2, 3, 4, 5, 8, 9, 10, 11, 14, 15, 17, 20, 25, 26, 28, 29, 30, 33, 34, 40, 41, 42, 43, 44, 48, 49, 54, 55, 56]","Someone was working on a warehouse floor, putting away items as they usually would. They felt a little unwell, but nothing too serious initially. They believed it was result of not having eaten all day. Then they started to feel a tightness in the chest and had to lean against something for support. The person became scared that it might be something serious as they started to see spots. A manager spotted the person in distress, called to them. The person tried to call back but found it hard. The manager helped the person into a chair and asked them questions and gave them a glass of cold water. It turns out that it was a panic attack, the person was ok in the end, but learned to check in on themselves, and eat adequately throughout the day."
60b94f837bfda8b1977feef0,17,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14, 15, 18, 19, 27, 28, 30, 31, 32, 37, 38, 39, 42, 43, 49, 51, 54, 55, 56]","I was working in the warehouse, packing shelves. I had not eaten much that day and it was nearing the end of my shift when I started to feel unwell. One of my co-workers noticed that I was not looking well and called the manager. My legs gave way under me and the manager caught me. He saved me from hitting the ground. I felt a pain in my chest and my heart started pounding. He asked me questions and concluded that I was having a panic attack. The manager said I need to make sure I eat and have enough rest before going to work. I was grateful to the manager for helping me."
622b8b6947c63363d00dc716,16,30,"[1, 2, 3, 10, 11, 14, 15, 17, 20, 27, 28, 29, 30, 31, 33, 34, 35, 36, 37, 38, 40, 41, 42, 43, 47, 48, 49, 54, 55, 56]","A worker was working as normal on their shift in a warehouse re-stocking items when they started to feel hungry before noticing a pain in their chest. They leant against a wall and felt a tightness across their chest and things started to go black. They heard a man shouting from the other side of the warehouse but was unable to respond despite trying to. Just as they started to collapse the manager arrived and took the individual to a rest room. They asked into their well being, at which point they started to feel better. The worker realised he had had a panic attack. He attributed this to the lack of food and vowed to take better care of his needs in the future."
