recall_id,clause_id,clause_text
5f217f1c1385b653095d1d79,1,I was working in the warehouse stacking boxes
5f217f1c1385b653095d1d79,2,when all of a sudden i started feeling strange.
5f217f1c1385b653095d1d79,3,I had pains in my chest
5f217f1c1385b653095d1d79,4,and felt very under the weather.
5f217f1c1385b653095d1d79,5,The pressure in my chest was painful.
5f217f1c1385b653095d1d79,6,I heard my manager call for me
5f217f1c1385b653095d1d79,7,but i couldnt speak.
5f217f1c1385b653095d1d79,8,I could feel swear dripping down my head and arms
5f217f1c1385b653095d1d79,9,and tried to take some deep breaths
5f217f1c1385b653095d1d79,10,but i couldnt.
5f217f1c1385b653095d1d79,11,All of a sudden i started to see spots
5f217f1c1385b653095d1d79,12,and it started to go dark.
5f217f1c1385b653095d1d79,13,I almost hit the floor
5f217f1c1385b653095d1d79,14,but my manager caught me in time.
5f217f1c1385b653095d1d79,15,He took me to the staff room
5f217f1c1385b653095d1d79,16,where he started to ask me questions
5f217f1c1385b653095d1d79,17,and for me a glass of cold water.
5f217f1c1385b653095d1d79,18,My chest pain started to ease up a bit
5f217f1c1385b653095d1d79,19,and i realised i might have had a panic attack
5f217f1c1385b653095d1d79,20,but the help from my manager helped prevent it becoming worse.
5f217f1c1385b653095d1d79,21,It wasnt a good experience
5f217f1c1385b653095d1d79,22,but it might have been worse had i not had the help from my manager.
5f217f1c1385b653095d1d79,23,Now i need to properly rest
5f217f1c1385b653095d1d79,24,to prevent further episodes.
59fc8aba087f2e0001ead671,1,The person was working in a warehouse moving boxes etc
59fc8aba087f2e0001ead671,2,when they started to feel unwell
59fc8aba087f2e0001ead671,3,someone saw
59fc8aba087f2e0001ead671,4,and came to their aid
59fc8aba087f2e0001ead671,5,and help to a room
59fc8aba087f2e0001ead671,6,and sat down
59fc8aba087f2e0001ead671,7,and had a drink
59fc8aba087f2e0001ead671,8,they then started to feel better
59fc8aba087f2e0001ead671,9,and realised they were having a panic attack.
5eb30ae9bb223e0e176edecd,1,"I was going about my day as usual,"
5eb30ae9bb223e0e176edecd,2,"working in a warehouse,"
5eb30ae9bb223e0e176edecd,3,stacking and organising things
5eb30ae9bb223e0e176edecd,4,when I could feel something strange
5eb30ae9bb223e0e176edecd,5,but blamed it on not eating
5eb30ae9bb223e0e176edecd,6,as I had not eaten that day.
5eb30ae9bb223e0e176edecd,7,Then I continued work
5eb30ae9bb223e0e176edecd,8,but started feeling a pressure in my chest
5eb30ae9bb223e0e176edecd,9,and began to see black spots
5eb30ae9bb223e0e176edecd,10,and sweating badly
5eb30ae9bb223e0e176edecd,11,as the pressure got worse.
5eb30ae9bb223e0e176edecd,12,My manager spotted me
5eb30ae9bb223e0e176edecd,13,"and started to walk towards me,"
5eb30ae9bb223e0e176edecd,14,asking me questions
5eb30ae9bb223e0e176edecd,15,but I couldn’t answer.
5eb30ae9bb223e0e176edecd,16,My manager helped me to the staff room
5eb30ae9bb223e0e176edecd,17,and asked me questions
5eb30ae9bb223e0e176edecd,18,"and gave me water,"
5eb30ae9bb223e0e176edecd,19,turns out i was having a panic attack
5eb30ae9bb223e0e176edecd,20,and I need to take better care of myself.
605ed235d0b4fbbc44891bad,1,"While working in the warehouse,"
605ed235d0b4fbbc44891bad,2,I suddenly felt lightheaded
605ed235d0b4fbbc44891bad,3,and noticed a tightness in my chest.
605ed235d0b4fbbc44891bad,4,"As my panic attack escalated,"
605ed235d0b4fbbc44891bad,5,"the manager intervened,"
605ed235d0b4fbbc44891bad,6,catching me before I collapsed.
605ed235d0b4fbbc44891bad,7,"They provided support,"
605ed235d0b4fbbc44891bad,8,"water,"
605ed235d0b4fbbc44891bad,9,and a reminder to prioritize self-care for future prevention.
60479c2017ec4a044c2ed68f,1,I was working as usual
60479c2017ec4a044c2ed68f,2,at the warehouse floor
60479c2017ec4a044c2ed68f,3,when I started to feel weird.
60479c2017ec4a044c2ed68f,4,I started feeling a tightness in my chest
60479c2017ec4a044c2ed68f,5,and sweat dripping down my brow.
60479c2017ec4a044c2ed68f,6,"Someone had caught on to my state of distress,"
60479c2017ec4a044c2ed68f,7,"the manager,"
60479c2017ec4a044c2ed68f,8,and had called out to me.
60479c2017ec4a044c2ed68f,9,I tried responding
60479c2017ec4a044c2ed68f,10,but my voice was stuck in my throat
60479c2017ec4a044c2ed68f,11,and the room started spinning.
60479c2017ec4a044c2ed68f,12,The manager made his way to me
60479c2017ec4a044c2ed68f,13,"and I started falling,"
60479c2017ec4a044c2ed68f,14,my legs giving out
60479c2017ec4a044c2ed68f,15,but the manager made it to catch me in time.
60479c2017ec4a044c2ed68f,16,"He took me to the staff room,"
60479c2017ec4a044c2ed68f,17,asked questions about what was wrong
60479c2017ec4a044c2ed68f,18,and handed me a glass of water.
60479c2017ec4a044c2ed68f,19,I started feeling better after a while
60479c2017ec4a044c2ed68f,20,and reminded myself that I had to check in with myself
60479c2017ec4a044c2ed68f,21,and make sure that I ate and slept well
60479c2017ec4a044c2ed68f,22,so that I wouldn't have another episode.
5f7bfb7947a8901eadd910df,1,"Working on the warehouse floor,"
5f7bfb7947a8901eadd910df,2,organizing merch and other things.
5f7bfb7947a8901eadd910df,3,"Started to feel strange,"
5f7bfb7947a8901eadd910df,4,"lightheaded,"
5f7bfb7947a8901eadd910df,5,but thought it was because they hadn't eaten that day.
5f7bfb7947a8901eadd910df,6,Walking round the warehouse
5f7bfb7947a8901eadd910df,7,felt tightness in chest
5f7bfb7947a8901eadd910df,8,and heart pounding.
5f7bfb7947a8901eadd910df,9,Leaned against a wall for support.
5f7bfb7947a8901eadd910df,10,"Forehead and arms sweating,"
5f7bfb7947a8901eadd910df,11,and started seeing spots.
5f7bfb7947a8901eadd910df,12,Tried to take deep breaths
5f7bfb7947a8901eadd910df,13,but couldn't catch breath.
5f7bfb7947a8901eadd910df,14,"Heard someone call out to them,"
5f7bfb7947a8901eadd910df,15,which turned out to be the manager checking if they were ok.
5f7bfb7947a8901eadd910df,16,Tried to speak and respond
5f7bfb7947a8901eadd910df,17,but couldn't.
5f7bfb7947a8901eadd910df,18,Felt their world going dark
5f7bfb7947a8901eadd910df,19,and began to fall.
5f7bfb7947a8901eadd910df,20,"Manager got there in time to stop them hitting the floor,"
5f7bfb7947a8901eadd910df,21,and took them to another room to sit down.
5f7bfb7947a8901eadd910df,22,Later realised they had a panic attack
5f7bfb7947a8901eadd910df,23,and resolved to check in with themselves regularly
5f7bfb7947a8901eadd910df,24,"to make sure they look after themself properly,"
5f7bfb7947a8901eadd910df,25,"eat regularly, etc."
5c5c88c76a946500015a31cb,1,"Well, I was going about my usual work at the warehouse -"
5c5c88c76a946500015a31cb,2,stocking shelves and merchandise.
5c5c88c76a946500015a31cb,3,I felt a tightness in my chest
5c5c88c76a946500015a31cb,4,and I went lightheaded.
5c5c88c76a946500015a31cb,5,I could feel the sweat dripping down my head
5c5c88c76a946500015a31cb,6,and my arms.
5c5c88c76a946500015a31cb,7,"I heard a voice shout for me from across the warehouse,"
5c5c88c76a946500015a31cb,8,it was my manager.
5c5c88c76a946500015a31cb,9,It appeared that someone had saw me
5c5c88c76a946500015a31cb,10,and my manager wanted to see if I was ok.
5c5c88c76a946500015a31cb,11,I tried to shout out
5c5c88c76a946500015a31cb,12,but couldn't find my voice.
5c5c88c76a946500015a31cb,13,I saw my manager walking towards me.
5c5c88c76a946500015a31cb,14,"Before my legs gave way,"
5c5c88c76a946500015a31cb,15,my manager caught me.
5c5c88c76a946500015a31cb,16,I was in the staff room
5c5c88c76a946500015a31cb,17,and my manager gave me a cold glass of water
5c5c88c76a946500015a31cb,18,and told me to rest.
5c5c88c76a946500015a31cb,19,I found out that I was having a panic attack
5c5c88c76a946500015a31cb,20,and this made me realise how important it is to check in with myself
5c5c88c76a946500015a31cb,21,and to eat well to avoid any more episodes.
602886066965e376bd5f7ebe,1,It started one day
602886066965e376bd5f7ebe,2,while I was working in the warehouse.
602886066965e376bd5f7ebe,3,I was stocking and organizing boxes.
602886066965e376bd5f7ebe,4,I started to feel light-headed.
602886066965e376bd5f7ebe,5,I felt a tightening in my chest.
602886066965e376bd5f7ebe,6,I leaned against a wall.
602886066965e376bd5f7ebe,7,The manager called out
602886066965e376bd5f7ebe,8,asking if I was okay.
602886066965e376bd5f7ebe,9,A co-worker had seen me
602886066965e376bd5f7ebe,10,and notified him.
602886066965e376bd5f7ebe,11,Sweat trickled down my head and arms.
602886066965e376bd5f7ebe,12,My manager led me to a chair
602886066965e376bd5f7ebe,13,and got me a cold glass of water.
602886066965e376bd5f7ebe,14,Soon the feeling subsided
602886066965e376bd5f7ebe,15,and I realized I had had a panic attack.
602886066965e376bd5f7ebe,16,Things could have been much worse.
602886066965e376bd5f7ebe,17,It was a wake up call for me
602886066965e376bd5f7ebe,18,to take better care of myself
602886066965e376bd5f7ebe,19,and to be able to read the signs
602886066965e376bd5f7ebe,20,when something is not right.
5ea1e178ff3ee50d69b46324,1,"It was a normal day at work,"
5ea1e178ff3ee50d69b46324,2,doing my normal tasks.
5ea1e178ff3ee50d69b46324,3,I was in the warehouse stocking the shelfs with merchandise
5ea1e178ff3ee50d69b46324,4,when i suddenly started to feel unwell.
5ea1e178ff3ee50d69b46324,5,I was lightheaded
5ea1e178ff3ee50d69b46324,6,and my chest was getting tight.
5ea1e178ff3ee50d69b46324,7,I chalked it up to not having eaten yet that day.
5ea1e178ff3ee50d69b46324,8,My manager was able to catch me before I fainted
5ea1e178ff3ee50d69b46324,9,and took me into the staff room
5ea1e178ff3ee50d69b46324,10,where I rested
5ea1e178ff3ee50d69b46324,11,and had something to eat.
5ea1e178ff3ee50d69b46324,12,Turns out I'd had a panic attack.
5ea1e178ff3ee50d69b46324,13,It was never an enjoyable experience
5ea1e178ff3ee50d69b46324,14,and it taught me to rest
5ea1e178ff3ee50d69b46324,15,and eat well
5ea1e178ff3ee50d69b46324,16,to avoid having a repeat attack.
5ee1da7a1d622e2092c1b056,1,"The story was about a man working in a warehouse doing his usual job of stacking boxes,"
5ee1da7a1d622e2092c1b056,2,when he suddenly felt a pain in his chest.
5ee1da7a1d622e2092c1b056,3,"He tried to take deep breaths and rest against a wall,"
5ee1da7a1d622e2092c1b056,4,but the pain only got worse
5ee1da7a1d622e2092c1b056,5,and he began to sweat
5ee1da7a1d622e2092c1b056,6,and see spots in his vision.
5ee1da7a1d622e2092c1b056,7,"His manager noticed and called out to him,"
5ee1da7a1d622e2092c1b056,8,but he couldn't answer
5ee1da7a1d622e2092c1b056,9,"and almost fell to the ground,"
5ee1da7a1d622e2092c1b056,10,but his manager helped him in time.
5ee1da7a1d622e2092c1b056,11,The manager took him to the staff room
5ee1da7a1d622e2092c1b056,12,"and the man rested,"
5ee1da7a1d622e2092c1b056,13,eventually learning he had experienced a panic attack.
5fe3b63f4b3bdc08088f6ae0,1,"A guy that works at a warehouse was putting up boxes and doing his job as usual,"
5fe3b63f4b3bdc08088f6ae0,2,but he suddenly realized that he was feeling a little lightheaded
5fe3b63f4b3bdc08088f6ae0,3,and he drew the conclusion that it was probably because he hadn't eaten or drank anything for a long time.
5fe3b63f4b3bdc08088f6ae0,4,"He continued with his work until he started feeling some sort of pressure in his chest area,"
5fe3b63f4b3bdc08088f6ae0,5,he leaned against the wall for a bit hoping it would ease the pressure
5fe3b63f4b3bdc08088f6ae0,6,"but it only kept getting worse,"
5fe3b63f4b3bdc08088f6ae0,7,suddenly his forehead and arms start sweating
5fe3b63f4b3bdc08088f6ae0,8,and he starts fearing for his life because he has no idea what to do.
5fe3b63f4b3bdc08088f6ae0,9,"From the distance, he can see his manager calling out to him to see if he is doing alright,"
5fe3b63f4b3bdc08088f6ae0,10,but when he tries to respond he can't seem to find his voice to utter even a single word.
5fe3b63f4b3bdc08088f6ae0,11,The manager starts to approach the warehouse worker
5fe3b63f4b3bdc08088f6ae0,12,and catches him just in time before he collapses to the ground.
5fe3b63f4b3bdc08088f6ae0,13,The manager carried him all the way to his office
5fe3b63f4b3bdc08088f6ae0,14,where he starts to ask the worker some questions
5fe3b63f4b3bdc08088f6ae0,15,"and hands him a glass of water,"
5fe3b63f4b3bdc08088f6ae0,16,that's when the worker realized he had a panic attack
5fe3b63f4b3bdc08088f6ae0,17,"and how bad it could've been,"
5fe3b63f4b3bdc08088f6ae0,18,since that day onwards he decides to really make sure he is feeding himself well
5fe3b63f4b3bdc08088f6ae0,19,and taking care of himself in general to avoid a future episode.
63d513e0fda5da3f67c745dd,1,I was at work stocking shelves.
63d513e0fda5da3f67c745dd,2,I started to feel a bit unwell
63d513e0fda5da3f67c745dd,3,and first thought it was because I hadn’t eaten for a while.
63d513e0fda5da3f67c745dd,4,My chest felt tight
63d513e0fda5da3f67c745dd,5,"and my arm,"
63d513e0fda5da3f67c745dd,6,I was sweating.
63d513e0fda5da3f67c745dd,7,Suddenly things went dark
63d513e0fda5da3f67c745dd,8,"but before I fell to the floor,"
63d513e0fda5da3f67c745dd,9,I heard someone calling across the warehouse.
63d513e0fda5da3f67c745dd,10,It was my manager asking if I was ok.
63d513e0fda5da3f67c745dd,11,I told him what had happened
63d513e0fda5da3f67c745dd,12,and he gave me a drink of cold water
63d513e0fda5da3f67c745dd,13,and told me to rest for a while.
63d513e0fda5da3f67c745dd,14,After a few minutes of rest the tightness in my chest eased
63d513e0fda5da3f67c745dd,15,and I started to feel better.
63d513e0fda5da3f67c745dd,16,It turned out that I had had a panic attack
63d513e0fda5da3f67c745dd,17,which could have been much worse if my manager hadn’t intervened.
63d513e0fda5da3f67c745dd,18,The whole episode made me realise that I need to look after myself better
63d513e0fda5da3f67c745dd,19,by eating properly
63d513e0fda5da3f67c745dd,20,and through self care.
5bb6faf4f6d0bd00019e12f4,1,The narrator was in a warehouse 'stocking' boxes
5bb6faf4f6d0bd00019e12f4,2,(I think they meant 'stacking')
5bb6faf4f6d0bd00019e12f4,3,and doing another task which I cannot recall.
5bb6faf4f6d0bd00019e12f4,4,"They felt pressure in their chest,"
5bb6faf4f6d0bd00019e12f4,5,and leaned against a wall to alleviate it.
5bb6faf4f6d0bd00019e12f4,6,"But it did not go away,"
5bb6faf4f6d0bd00019e12f4,7,"it felt worse,"
5bb6faf4f6d0bd00019e12f4,8,and their heart began pounding.
5bb6faf4f6d0bd00019e12f4,9,Their manager called out to them.
5bb6faf4f6d0bd00019e12f4,10,It appears a colleague noticed the narrator's predicament
5bb6faf4f6d0bd00019e12f4,11,and got the manager for help.
5bb6faf4f6d0bd00019e12f4,12,The manager grabbed the narrator just as their legs gave out from under them.
5bb6faf4f6d0bd00019e12f4,13,"From there, the manager took the narrator to the lunch room for cold water"
5bb6faf4f6d0bd00019e12f4,14,"(to drink, if I remember correctly)."
5bb6faf4f6d0bd00019e12f4,15,This alleviated the symptoms.
5bb6faf4f6d0bd00019e12f4,16,It turns out the narrator had a panic attack.
5bb6faf4f6d0bd00019e12f4,17,The narrator finishes musing that the situation could have been worse
5bb6faf4f6d0bd00019e12f4,18,at it reminded them to 'check in on (them)self' occasionally.
5bb6faf4f6d0bd00019e12f4,19,Basically relaxation and mindfulness techniques.
5c4a5c2d4d1b1e0001779e60,1,The protagonist was at work in a warehouse doing his/her usual type of work.
5c4a5c2d4d1b1e0001779e60,2,Started to feel light-headed towards the end of the shift and put it down to hunger.
5c4a5c2d4d1b1e0001779e60,3,"Then felt a tightness in his/her chest accompanied by sweating, vision blurred and feeling as if legs were going to give way."
5c4a5c2d4d1b1e0001779e60,4,Someone had alerted the manager that the protagonist seemed to be having problems.
5c4a5c2d4d1b1e0001779e60,5,"The manager called out to him/her and then approached, catching him/her before they could fall to the ground."
5c4a5c2d4d1b1e0001779e60,6,Manager took them to the staffroom and sat them down and gave them a glass of water and advised them to rest.
5c4a5c2d4d1b1e0001779e60,7,Apparently this was a panic attack.
5c4a5c2d4d1b1e0001779e60,8,Since then the protagonist has been careful to practise self care and listen to cues from his/her body.
56cddd38e17505000d3204d1,1,It was just a normal day in the warehouse.
56cddd38e17505000d3204d1,2,I was packing boxes like usual.
56cddd38e17505000d3204d1,3,Then I felt hungry.
56cddd38e17505000d3204d1,4,Suddenly I started to feel a little light headed.
56cddd38e17505000d3204d1,5,Then some tightness in my chest.
56cddd38e17505000d3204d1,6,I leaned against a wall to take a rest.
56cddd38e17505000d3204d1,7,Then I started seeing spots.
56cddd38e17505000d3204d1,8,Sweat was running down my forehead.
56cddd38e17505000d3204d1,9,The manager shouted over to me to see if anything was wrong.
56cddd38e17505000d3204d1,10,Someone else working had noticed me acting strangely.
56cddd38e17505000d3204d1,11,I then felt faint.
56cddd38e17505000d3204d1,12,My knees were buckling under me.
56cddd38e17505000d3204d1,13,The manager rushed over.
56cddd38e17505000d3204d1,14,He managed to catch me before my legs gave way.
56cddd38e17505000d3204d1,15,He took me to the staff room.
56cddd38e17505000d3204d1,16,He gave me a glass of water.
56cddd38e17505000d3204d1,17,The tightness in my chest started to ease.
56cddd38e17505000d3204d1,18,I realised I had just had a panic attack.
56cddd38e17505000d3204d1,19,This episode taught me to check in with myself from time to time.
56cddd38e17505000d3204d1,20,(It taught me to) take things a little easier.
5dd00f0e82a527107df2df46,1,I was working at my usual job in the warehouse
5dd00f0e82a527107df2df46,2,"and I started to feel strange,"
5dd00f0e82a527107df2df46,3,I carried on doing my job for a bit
5dd00f0e82a527107df2df46,4,but began to feel worse
5dd00f0e82a527107df2df46,5,"experiencing a tight sensation in my chest,"
5dd00f0e82a527107df2df46,6,I thought it might be because I had not eaten that day yet.
5dd00f0e82a527107df2df46,7,I had to lean against a wall for support
5dd00f0e82a527107df2df46,8,and I began to see spots.
5dd00f0e82a527107df2df46,9,I saw the manager across the warehouse floor
5dd00f0e82a527107df2df46,10,"but was unable to speak to let them know something was wrong,"
5dd00f0e82a527107df2df46,11,The manager came over to me
5dd00f0e82a527107df2df46,12,"and got to me just before I passed out,"
5dd00f0e82a527107df2df46,13,they helped me to the staff room
5dd00f0e82a527107df2df46,14,"and gave me some cold water to drink,"
5dd00f0e82a527107df2df46,15,and I started to feel better
5dd00f0e82a527107df2df46,16,and the chest pain went away.
5dd00f0e82a527107df2df46,17,It turned out I was having a panic attack
5dd00f0e82a527107df2df46,18,and the experience taught be to look after myself better
5dd00f0e82a527107df2df46,19,and ensure I get proper rest
5dd00f0e82a527107df2df46,20,and food regularly.
640de1d339ad474bc682f05f,1,A normal sunny day in the warehouse
640de1d339ad474bc682f05f,2,stacking and moving around the merchandise.
640de1d339ad474bc682f05f,3,a feeling of light headiness
640de1d339ad474bc682f05f,4,'which was perhaps down to just hunger.
640de1d339ad474bc682f05f,5,However a throbbing pain in the chest
640de1d339ad474bc682f05f,6,was uncomfortable
640de1d339ad474bc682f05f,7,to which they then began to see light spots in there vision.
609fbb715adb8f96055138df,1,"I was working at the warehouse doing my usual job stocking boxes,"
609fbb715adb8f96055138df,2,sorting things to their usual places.
609fbb715adb8f96055138df,3,I had felt light headed
609fbb715adb8f96055138df,4,but I thought its because I had not eaten in a while that day.
609fbb715adb8f96055138df,5,As I was going to place the box
609fbb715adb8f96055138df,6,"I felt a tightness in my chest,"
609fbb715adb8f96055138df,7,"I leaned against a nearby wall,"
609fbb715adb8f96055138df,8,I tried to take a deep breath
609fbb715adb8f96055138df,9,and I couldn't.
609fbb715adb8f96055138df,10,I could feel sweat dripping from my forehead
609fbb715adb8f96055138df,11,and my arms.
