index,keypoints,keypoints_len_in_chars,original_mbits,rephrased_mbits,"produced
key points","required
key points",attempt
0,"I felt lightheaded and a strange tightness in my chest at work. I nearly collapsed, but the manager caught and helped me. The manager's quick action helped me recover from a panic attack.",187,22.31,45.08,3,3,1
1,"I felt lightheaded and experienced tightness in my chest while working. I started to panic and struggled to breathe, feeling scared and helpless. The manager noticed something was wrong and helped me, diagnosing it as a panic attack.",233,8.77,38.34,3,3,2
2,"I felt strange tightness and pressure in my chest while working. I was scared and couldn't catch my breath as my condition worsened. I was helped by the manager, who realized I was having a panic attack.",203,23.45,46.1,3,3,3
3,I felt lightheaded and ignored my hunger. I experienced tightness in my chest and felt scared. The manager noticed my distress and helped me. I learned to take care of myself to prevent panic attacks.,200,17.99,35.13,4,4,1
4,"I felt strange and lightheaded at work but thought it was just hunger. I experienced chest tightness and pressure and couldn't catch my breath. The manager noticed my distress and came to help me. It turned out to be a panic attack, and I learned to manage my health better.",274,26.42,43.55,4,4,2
5,I felt lightheaded and hungry while working in the warehouse. I experienced chest pressure and difficulty breathing. The manager noticed my distress and helped me. I learned to take care of myself to prevent panic attacks.,222,24.35,52.28,4,4,3
6,"I was working in the warehouse and started feeling lightheaded. I felt a tightness and pressure in my chest that increased. I saw spots, felt sweaty, and struggled to breathe. The manager noticed me and helped when I was about to faint. I learned that I had a panic attack and need to take better care of myself.",312,34.46,61.61,5,5,1
7,I was working in the warehouse and felt lightheaded. I experienced chest tightness and pressure while returning items. I leaned on a wall and felt scared as the pressure increased. The manager saw me struggling and quickly came to help. I learned the importance of self-care after a panic attack was identified.,311,37.65,59.42,5,5,2
8,I was working in the warehouse and felt lightheaded due to hunger. I started feeling tightness and pressure in my chest while working. I felt scared as my heart pounded and I struggled to breathe. The manager saw me struggling and came to help me before I collapsed. I learned I had a panic attack and need to take better care of myself.,337,26.72,57.51,5,5,3
9,"I was working in the warehouse and feeling lightheaded due to not eating. I felt a strange tightness and pressure in my chest. I leaned against the wall as my symptoms worsened. I tried to breathe but couldn't, and I started to feel scared. The manager noticed me and came over as I was about to pass out. He helped me recover, and I learned the importance of self-care.",370,49.25,76.51,6,6,1
10,I was working late at the warehouse. I felt lightheaded from not eating. I experienced chest tightness and pressure. I couldn't catch my breath and saw spots. The manager noticed and came to help. I realized I had a panic attack and learned to take care of myself.,264,33.19,52.13,6,6,2
11,I was at work stocking boxes in the warehouse. I felt lightheaded and chalked it up to hunger. I experienced tightness and pressure in my chest. I struggled to breathe and felt scared. The manager noticed and came to help me. I learned it was a panic attack and to take care of myself.,285,33.06,55.36,6,6,3
12,I was working on the warehouse floor stocking boxes. I felt strange and attributed it to hunger. I felt tightness and pressure in my chest. I leaned against a wall but felt worse. The manager noticed I needed help and approached. I almost fainted but the manager caught me. I learned I had a panic attack and to take better care of myself.,339,44.86,67.82,7,7,1
