recall_id,clause_id,clause_text,rephrased_text
54847094fdf99b0379939c8e,1,I was working in a warehouse putting stock away,I occupied myself with storing inventory in a warehouse
54847094fdf99b0379939c8e,2,and started to feel light headed.,and suddenly felt a sensation of dizziness.
54847094fdf99b0379939c8e,3,I thought it was hunger,I assumed it was due to hunger
54847094fdf99b0379939c8e,4,as I had not eaten yet.,since I hadn't had a meal yet.
54847094fdf99b0379939c8e,5,As I went to put something away,While attempting to shelve an item
54847094fdf99b0379939c8e,6,I felt a tightness in my chest,I experienced a constricting sensation in my chest
54847094fdf99b0379939c8e,7,and could not breathe properly.,and struggled to draw breath adequately.
54847094fdf99b0379939c8e,8,As I leaned against something,Leaning on something for support
54847094fdf99b0379939c8e,9,I heard a manager call out.,I overheard a supervisor shouting.
54847094fdf99b0379939c8e,10,He had been told that a colleague thought I had a problem.,He had received information that a coworker was concerned about my well-being.
54847094fdf99b0379939c8e,11,I began to pass out,I was on the verge of fainting
54847094fdf99b0379939c8e,12,but luckily the manager caught me.,"but, fortunately, the supervisor was there to catch me."
54847094fdf99b0379939c8e,13,He took me to the staff room,He escorted me to the break room
54847094fdf99b0379939c8e,14,and got me a cold glass of water.,and provided me with a refreshing glass of water.
54847094fdf99b0379939c8e,15,I started to feel better,My condition began to improve
54847094fdf99b0379939c8e,16,and found out that it had been a panic attack.,and I learned that I had experienced a panic attack.
54847094fdf99b0379939c8e,17,It taught me to take care of myself,This incident underscored the importance of self-care
54847094fdf99b0379939c8e,18,and eat properly.,and the necessity of eating adequately.
56cddd38e17505000d3204d1,1,It was just a normal day in the warehouse.,The day at the storage facility was unremarkable.
56cddd38e17505000d3204d1,2,I was packing boxes like usual.,I was occupied with boxing items as I typically did.
56cddd38e17505000d3204d1,3,Then I felt hungry.,"Suddenly, I experienced hunger."
56cddd38e17505000d3204d1,4,Suddenly I started to feel a little light headed.,"Out of nowhere, I began to feel somewhat dizzy."
56cddd38e17505000d3204d1,5,Then some tightness in my chest.,A constricting sensation then emerged in my chest.
56cddd38e17505000d3204d1,6,I leaned against a wall to take a rest.,I supported myself against a wall for a brief pause.
56cddd38e17505000d3204d1,7,Then I started seeing spots.,Visions of floating specks then appeared before me.
56cddd38e17505000d3204d1,8,Sweat was running down my forehead.,Perspiration trickled down my brow.
56cddd38e17505000d3204d1,9,The manager shouted over to me to see if anything was wrong.,The supervisor called out to check if I was alright.
56cddd38e17505000d3204d1,10,Someone else working had noticed me acting strangely.,Another colleague had taken note of my unusual behavior.
56cddd38e17505000d3204d1,11,I then felt faint.,A wave of faintness overcame me.
56cddd38e17505000d3204d1,12,My knees were buckling under me.,My legs started to give out beneath me.
56cddd38e17505000d3204d1,13,The manager rushed over.,The supervisor made a beeline towards me.
56cddd38e17505000d3204d1,14,He managed to catch me before my legs gave way.,He succeeded in grabbing me as my legs started to collapse.
56cddd38e17505000d3204d1,15,He took me to the staff room.,He escorted me to the break room.
56cddd38e17505000d3204d1,16,He gave me a glass of water.,He handed me a glass of water.
56cddd38e17505000d3204d1,17,The tightness in my chest started to ease.,The pressure in my chest began to subside.
56cddd38e17505000d3204d1,18,I realised I had just had a panic attack.,It dawned on me that I had experienced a panic attack.
56cddd38e17505000d3204d1,19,This episode taught me to check in with myself from time to time.,The incident reminded me to periodically self-reflect.
56cddd38e17505000d3204d1,20,(It taught me to) take things a little easier.,It encouraged me to approach life with a bit more ease.
57bae6b9017c2d000166f593,1,"I was working on the warehouse floor,","I was laboring on the warehouse ground,"
57bae6b9017c2d000166f593,2,doing my job of stacking shelves.,engaged in my duty of organizing the shelves.
57bae6b9017c2d000166f593,3,I started to feel a tightness across my chest,A sensation of constriction began to develop in my chest
57bae6b9017c2d000166f593,4,and felt uneasy as I didn't have anything to eat earlier that day.,and I grew anxious because I had skipped a meal earlier.
57bae6b9017c2d000166f593,5,I was feeling bad,My condition was deteriorating
57bae6b9017c2d000166f593,6,and started to sweat,and perspiration began to form
57bae6b9017c2d000166f593,7,and see spots in front of my eyes.,as I noticed specks appearing before my vision.
