segment_id,segment_text,p-caught
1,"Well, I was at work one day",74.00%
2,I was doing my usual job,86.00%
3,working on the warehouse floor,92.00%
4,stocking boxes,68.00%
5,organizing merchandise,54.00%
6,I had been working for a few hours,17.00%
7,it was getting late,16.00%
8,I had been feeling a bit strange,69.00%
9,a bit lightheaded,68.00%
10,but chalked it up to hunger,63.00%
11,not having eaten yet that day,65.00%
12,"But then, as I was walking around the warehouse",18.00%
13,returning items to their proper places,16.00%
14,I started to feel a strange tightness,93.00%
15,and pressure in my chest,93.00%
16,I stopped what I was doing,24.00%
17,leaned against a nearby wall for a bit,49.00%
18,the pressure only got stronger,47.00%
19,I could feel my heart pounding in my chest,46.00%
20,"Next thing I know, I started seeing spots",65.00%
21,I could feel sweat dripping down my forehead,60.00%
22,my arms,47.00%
23,I tried to take some deep breaths,32.00%
24,I just couldn't catch my breath,33.00%
25,I was really scared,14.00%
26,didn't know what to do.,10.00%
27,Suddenly I heard a voice coming from across the warehouse.,85.00%
28,It was the manager,93.00%
29,who had seen me,80.00%
30,called out to me,67.00%
31,it seems someone had noticed me,63.00%
32,was checking to see if I was alright,48.00%
33,I tried to yell back that something was wrong,38.00%
34,I couldn't find my voice.,51.00%
35,The manager started walking towards me,46.00%
36,I could feel my world going dark,64.00%
37,I started to drop to the ground,76.00%
38,luckily the manager got to me in time,84.00%
39,caught me just before my legs gave out,73.00%
40,He took me to the staff room,76.00%
41,sat me down in a chair,68.00%
42,He asked me questions about what was wrong,39.00%
43,what happened,34.00%
44,He got me a glass of cold water,66.00%
45,told me to rest for a bit,26.00%
46,After a few minutes,32.00%
47,the pressure in my chest slowly eased up,44.00%
48,I started to feel better,43.00%
49,It turned out I had been having a panic attack,86.00%
50,I escaped from the situation,8.00%
51,the help of the quick action of the manager,21.00%
52,It was never a fun experience,18.00%
53,it really could have been much worse,25.00%
54,it taught me to check in with myself,72.00%
55,make sure to properly rest,72.00%
56,eat to avoid further episodes,65.00%
