index,len,rate,keypoints,mbits,"produced
key points","required
key points",attempt,rephrase,rephrase_len,rephrased_mbits,rephrase_rate
0,187,0.0057,"I felt lightheaded and a strange tightness in my chest at work. I nearly collapsed, but the manager caught and helped me. The manager's quick action helped me recover from a panic attack.",1.07,3,3,1,"At work, a sensation of dizziness and an odd constriction in my chest overcame me. I was on the verge of fainting when the supervisor grasped and assisted me. Thanks to the supervisor's prompt intervention, I was able to recuperate from the anxiety attack.",256,-9.309570249769985,-0.0364
1,200,-0.0083,I felt lightheaded and ignored my hunger. I experienced tightness in my chest and felt scared. The manager noticed my distress and helped me. I learned to take care of myself to prevent panic attacks.,-1.67,4,4,1,"A sensation of dizziness overcame me as I disregarded my need to eat. A constricting sensation enveloped my chest, instilling fear within me. Observing my discomfort, the supervisor offered assistance. I acquired the knowledge to self-manage to avoid future episodes of panic.",276,-14.778476733239996,-0.0535
2,203,0.0231,"I felt strange tightness and pressure in my chest while working. I was scared and couldn't catch my breath as my condition worsened. I was helped by the manager, who realized I was having a panic attack.",4.7,3,3,3,"A peculiar sensation of constriction and heaviness in my chest occurred as I worked. Fear gripped me and I struggled to breathe when my symptoms intensified. The manager came to my aid, recognizing that I was experiencing a panic attack.",237,-9.92688751693999,-0.0419
3,222,0.0828,I felt lightheaded and hungry while working in the warehouse. I experienced chest pressure and difficulty breathing. The manager noticed my distress and helped me. I learned to take care of myself to prevent panic attacks.,18.39,4,4,3,"While laboring in the storage facility, I became dizzy and felt a strong sense of hunger. I encountered a sensation of tightness in my chest and found it hard to breathe. Observing my discomfort, the supervisor came to my assistance. I realized the importance of self-care to avoid future episodes of panic.",307,3.4243965078800023,0.0112
4,233,-0.0058,"I felt lightheaded and experienced tightness in my chest while working. I started to panic and struggled to breathe, feeling scared and helpless. The manager noticed something was wrong and helped me, diagnosing it as a panic attack.",-1.35,3,3,2,"While working, I experienced dizziness and a constricting sensation in my chest. Panic set in and I found it difficult to catch my breath, overwhelmed with fear and a sense of powerlessness. Observing that I was in distress, the manager came to my aid and identified the issue as a panic attack.",295,-7.854953751239998,-0.0266
5,264,0.0948,I was working late at the warehouse. I felt lightheaded from not eating. I experienced chest tightness and pressure. I couldn't catch my breath and saw spots. The manager noticed and came to help. I realized I had a panic attack and learned to take care of myself.,25.03,6,6,2,I found myself toiling after hours in the storage facility. A sensation of faintness overcame me due to the lack of food. My chest constricted with a feeling of compression. Breath eluded me and my vision was speckled with dots. The supervisor observed my distress and approached to assist. It dawned on me that I was experiencing a panic attack and I understood the importance of self-care.,391,-3.6944847400399974,-0.0094
6,274,0.0501,"I felt strange and lightheaded at work but thought it was just hunger. I experienced chest tightness and pressure and couldn't catch my breath. The manager noticed my distress and came to help me. It turned out to be a panic attack, and I learned to manage my health better.",13.72,4,4,2,"At work, I was feeling odd and faint, assuming it was merely due to being hungry. I felt a squeezing sensation in my chest and struggled to breathe. Observing my discomfort, the supervisor approached to assist me. Ultimately, it was identified as a panic attack, which taught me to take better care of my well-being.",316,-2.6874466280199973,-0.0085
7,285,0.1003,I was at work stocking boxes in the warehouse. I felt lightheaded and chalked it up to hunger. I experienced tightness and pressure in my chest. I struggled to breathe and felt scared. The manager noticed and came to help me. I learned it was a panic attack and to take care of myself.,28.58,6,6,3,"At my job, I was busy arranging boxes in the storage area. Feeling faint, I attributed the sensation to a lack of food. A constricting sensation and a heavy feeling settled in my chest. Breathing became difficult for me and I was filled with fear. Observing this, the supervisor approached to assist me. It turned out to be a panic attack, and I was advised to look after my well-being.",386,0.8730983506400034,0.0023
8,311,0.1028,I was working in the warehouse and felt lightheaded. I experienced chest tightness and pressure while returning items. I leaned on a wall and felt scared as the pressure increased. The manager saw me struggling and quickly came to help. I learned the importance of self-care after a panic attack was identified.,31.96,5,5,2,"While laboring in the storage area, I began to feel dizzy. As I was putting items back, I felt a squeezing sensation and constriction in my chest. I propped myself against a wall, feeling frightened as the tightness intensified. Noticing my distress, the supervisor rushed over to assist me. The episode taught me the significance of looking after oneself when it was determined to be a panic attack.",400,15.617538408089999,0.039
9,312,0.0907,"I was working in the warehouse and started feeling lightheaded. I felt a tightness and pressure in my chest that increased. I saw spots, felt sweaty, and struggled to breathe. The manager noticed me and helped when I was about to faint. I learned that I had a panic attack and need to take better care of myself.",28.31,5,5,1,"While laboring in the storage area, I began to experience dizziness. A constricting sensation and a growing pressure in my chest became apparent. Spots appeared before my eyes, perspiration set in, and breathing became difficult. Observing my condition, the supervisor came to my aid just as I was on the verge of passing out. It was revealed to me that I had suffered a panic attack and must prioritize my well-being.",418,13.305412290260012,0.0318
10,335,0.1074,I was working in the warehouse. I felt lightheaded from not eating. I experienced chest tightness and pressure. I leaned against a wall to relieve pressure. I felt scared and struggled to breathe. The manager saw me and called out. I tried to respond but failed. The manager caught me before I fell. I learned to rest and eat properly.,35.97,9,9,1,"I found myself laboring in the storage facility. A sensation of faintness overcame me due to skipping meals. My chest felt constricted and heavy. To alleviate the discomfort, I rested against a partition. Fear gripped me as I battled for air. Noticing my condition, the supervisor shouted to me. I attempted to reply but couldn't manage it. Before I could collapse, the supervisor grasped me. I recognized the importance of taking breaks and eating adequately.",460,5.766534785160003,0.0125
11,337,0.0527,I was working in the warehouse and felt lightheaded due to hunger. I started feeling tightness and pressure in my chest while working. I felt scared as my heart pounded and I struggled to breathe. The manager saw me struggling and came to help me before I collapsed. I learned I had a panic attack and need to take better care of myself.,17.75,5,5,3,"While laboring in the storage area, I experienced dizziness from lack of food. A sensation of constriction and heaviness in my chest developed as I continued my tasks. Fear overtook me when my heart began to race and breathing became difficult. Noticing my distress, the supervisor approached to assist just as I was about to faint. It was revealed to me that I suffered a panic attack and must prioritize my well-being.",420,0.8632507181100055,0.0021
12,339,0.1123,I was working on the warehouse floor stocking boxes. I felt strange and attributed it to hunger. I felt tightness and pressure in my chest. I leaned against a wall but felt worse. The manager noticed I needed help and approached. I almost fainted but the manager caught me. I learned I had a panic attack and to take better care of myself.,38.06,7,7,1,"I occupied myself with arranging boxes on the warehouse ground. A peculiar sensation overcame me which I presumed was due to lack of food. There was a sensation of constriction and a heavy feeling in my chest. Resting against a wall, my condition deteriorated. Observing my distress, the supervisor came over to assist. Nearly losing consciousness, the supervisor was there to support me. It was revealed to me that I had experienced a panic attack and needed to prioritize my well-being.",488,18.51158517416,0.0379
13,351,0.1214,"I was working in the warehouse stocking boxes. I felt lightheaded and hungry because I hadn't eaten. I experienced tightness and pressure in my chest. I saw spots and felt sweat dripping down my forehead. The manager called out to me and walked over. I started to collapse, but the manager caught me. The manager helped me recover from a panic attack.",42.62,7,7,3,"I occupied myself with arranging boxes in the storage area. A sensation of faintness and hunger overcame me due to my lack of food. My chest felt constricted and was under a great deal of pressure. Spots appeared before my eyes as perspiration trickled down my brow. The supervisor shouted my name and approached me. As I began to faint, the supervisor grasped me in time. The supervisor assisted me in recovering from an anxiety attack.",437,9.629875144060003,0.022
14,364,0.1026,I was working on the warehouse floor. I felt lightheaded because I hadn't eaten. I experienced chest pressure and pounding heart. I leaned against the wall feeling worse. I saw spots and sweated heavily. I couldn't catch my breath and got scared. The manager noticed me struggling. I was caught by the manager as I fainted. I learned to take better care of myself.,37.35,9,9,2,"I toiled on the storage facility ground. A sensation of faintness overcame me due to lack of food. My chest tightened and my heartbeat intensified. Leaning on the wall, my condition deteriorated. My vision blurred with spots and I perspired profusely. Struggling to breathe, fear enveloped me. The supervisor spotted my distress. As I lost consciousness, the supervisor caught me. I realized the importance of self-care.",420,4.77505108510001,0.0114
15,366,0.1286,I was working on the warehouse floor. I started feeling lightheaded. I dismissed it as hunger. I felt tightness in my chest. I leaned against a wall to rest. I began seeing spots and sweating. I struggled to breathe. I heard the manager calling me. I couldn't respond due to panic. I was caught by the manager before falling. I learned to take better care of myself.,47.06,11,11,2,"I was laboring on the warehouse ground. I commenced to experience dizziness. I attributed it to needing food. A sensation of constriction developed in my chest. I braced myself against a wall for support. My vision was marred by floating specks and I began to perspire. Breathing became a struggle for me. The sound of the manager's voice reached my ears. I found myself unable to answer, overwhelmed by anxiety. The manager grasped me just as I was about to collapse. I realized the importance of self-care.",508,19.66290281024001,0.0387
