story,n_recalls_emulated,n_recalls_in_json,n_recalls_segmented,n_recalls_mapped
SNTH,22,22,22,22
bear,100,100,100,100
bear_emulate-recall-deepseek,109,109,109,109
bear_emulate-recall-gpt-4o,108,108,108,108
bear_emulate-recall-gpt-oss-120b,104,104,104,104
bear_emulate-recall-llama-4-maverick-17b,106,106,106,106
boyscout,100,100,100,97
boyscout_emulate-recall-deepseek,100,100,100,100
boyscout_emulate-recall-gpt-4o,106,106,106,106
boyscout_emulate-recall-gpt-oss-120b,102,102,102,101
boyscout_emulate-recall-llama-4-maverick-17b,109,109,109,109
costa,101,101,101,93
costa_costa_emulate-recall-kimi-k2,98,98,98,98
costa_emulate-recall-deepseek,116,116,116,116
costa_emulate-recall-gpt-4o,171,171,171,171
costa_emulate-recall-gpt-5.2,92,92,92,92
costa_emulate-recall-gpt-oss-120b,101,101,101,101
costa_emulate-recall-llama-4-maverick-17b,101,101,101,101
doSomething,101,101,101,95
doSomethingOld,101,101,101,95
doSomething_emulate-recall-deepseek,106,106,106,106
doSomething_emulate-recall-gpt-4o,101,101,101,101
doSomething_emulate-recall-gpt-oss-120b,118,118,118,118
doSomething_emulate-recall-llama-4-maverick-17b,104,104,104,104
hester_v1-park_emulate-recall-deepseek,108,108,108,108
hester_v1-park_emulate-recall-gpt-4o,166,166,166,166
hester_v1-park_emulate-recall-gpt-oss-120b,101,101,101,101
hester_v1-park_emulate-recall-llama-4-maverick-17b,100,100,100,100
hester_v2-church_emulate-recall-deepseek,100,100,100,100
hester_v2-church_emulate-recall-gpt-4o,108,108,108,108
hester_v2-church_emulate-recall-gpt-oss-120b,101,101,101,101
hester_v2-church_emulate-recall-llama-4-maverick-17b,100,100,100,100
panic,100,100,100,100
panic_emulate-recall-deepseek,109,109,109,109
panic_emulate-recall-gpt-4o,106,106,106,106
panic_emulate-recall-gpt-oss-120b,100,100,100,100
panic_emulate-recall-llama-4-maverick-17b,103,103,103,103
schissel_v1-pool_emulate-recall-deepseek,109,109,109,109
schissel_v1-pool_emulate-recall-gpt-4o,105,105,105,105
schissel_v1-pool_emulate-recall-gpt-oss-120b,100,100,100,100
schissel_v1-pool_emulate-recall-llama-4-maverick-17b,105,105,105,105
schissel_v2-lake_emulate-recall-deepseek,100,100,100,100
schissel_v2-lake_emulate-recall-gpt-4o,101,101,101,101
schissel_v2-lake_emulate-recall-gpt-oss-120b,106,106,106,106
schissel_v2-lake_emulate-recall-llama-4-maverick-17b,108,108,108,108
stein,99,99,99,97
stein_emulate-recall-deepseek,105,105,105,105
stein_emulate-recall-gpt-4o,109,109,109,109
stein_emulate-recall-gpt-oss-120b,107,107,107,107
stein_emulate-recall-llama-4-maverick-17b,100,100,100,100
triplett_v1-rookie_emulate-recall-deepseek,100,100,100,100
triplett_v1-rookie_emulate-recall-gpt-4o,167,167,167,167
triplett_v1-rookie_emulate-recall-gpt-oss-120b,116,116,116,116
triplett_v1-rookie_emulate-recall-llama-4-maverick-17b,101,101,101,101
triplett_v2-catlady_emulate-recall-deepseek,109,109,109,109
triplett_v2-catlady_emulate-recall-gpt-4o,108,108,108,108
triplett_v2-catlady_emulate-recall-gpt-oss-120b,108,108,108,108
triplett_v2-catlady_emulate-recall-llama-4-maverick-17b,103,103,103,103
