story,display,n_segments,spearman_recall_pc,pearson_recall_pc,jaccard25_recall_pc,jaccard3_recall_pc,jaccard5_recall_pc,jaccard7_recall_pc,spearman_summary_pc,pearson_summary_pc,jaccard25_summary_pc,jaccard3_summary_pc,jaccard5_summary_pc,jaccard7_summary_pc,spearman_summary_gptpc,pearson_summary_gptpc,jaccard25_summary_gptpc,jaccard5_summary_gptpc
boyscout,Boy Scout,19,0.41439875497229867,0.44673546846113943,0.25,0.2,0.25,0.2727272727272727,0.4302020973229372,0.4681111384817283,0.42857142857142855,0.2,0.42857142857142855,0.4,0.29593851515066244,0.34882691049935005,0.42857142857142855,0.42857142857142855
schissel_v2-lake,Schissel v2 Lake,18,0.01758929836715627,0.20999049220197621,0.25,0.2,0.25,0.4,0.12622908239959207,0.30592806436728637,0.25,0.2,0.25,0.4,0.13679236890110114,0.27495280594486093,0.1111111111111111,0.1111111111111111
schissel_v1-pool,Schissel v1 Pool,18,0.36570267447940075,0.5936362916766178,0.6666666666666666,0.5,0.6666666666666666,0.4,0.4225208866160308,0.4948959153204521,0.6666666666666666,0.5,0.6666666666666666,0.4,0.27077464058893247,0.4841656532719832,0.1111111111111111,0.1111111111111111
triplett_v2-catlady,Triplett v2 Cat Lady,32,0.7624027247016925,0.7016293600000798,0.45454545454545453,0.5,0.42857142857142855,0.5555555555555556,0.6892252680849074,0.6458238321548821,0.45454545454545453,0.5,0.42857142857142855,0.4,0.5935689251467309,0.28539753322164546,0.6,0.25
triplett_v1-rookie,Triplett v1 Rookie,32,0.5216435739975325,0.5430797858511178,0.6,0.5,0.42857142857142855,0.5555555555555556,0.47780643820800706,0.4811827318117847,0.3333333333333333,0.5,0.25,0.4,0.2978106786318907,0.22092670215132668,0.23076923076923078,0.42857142857142855
panic,Panic,56,0.497615375915132,0.43924349801697127,0.47368421052631576,0.0,0.42857142857142855,0.4,0.3849296817195789,0.3717719874113005,0.3333333333333333,0.0,0.25,0.16666666666666666,0.48286746130030367,0.4565732678711701,0.2727272727272727,0.1111111111111111
hester_v1-park,Hester v1 Park,54,0.4372462203713672,0.5680209752442275,0.3333333333333333,0.2,0.25,0.5555555555555556,0.5923624342434106,0.6225775830397976,0.47368421052631576,0.2,0.25,0.5555555555555556,0.635209230847184,0.591831792304943,0.6470588235294118,0.25
hester_v2-church,Hester v2 Church,54,0.6069999015045086,0.542781101628073,0.5555555555555556,0.0,0.25,0.4,0.4321171335752843,0.4559379083995286,0.47368421052631576,0.0,0.25,0.5555555555555556,0.57195703628477,0.5216332613661749,0.3333333333333333,0.42857142857142855
doSomething,Do Something,81,0.30917461181480477,0.3235702357603041,0.3125,0.0,0.25,0.16666666666666666,0.31318443890797504,0.28082515464863883,0.2727272727272727,0.0,0.25,0.16666666666666666,0.5002063580359265,0.5010612890787662,0.4,0.25
bear,Bear,122,0.40633681957946943,0.3951825735410246,0.34782608695652173,0.0,0.1111111111111111,0.16666666666666666,0.32329219490623756,0.34208568814791596,0.2653061224489796,0.2,0.25,0.2727272727272727,0.38058825945782804,0.39751367352628864,0.4418604651162791,0.1111111111111111
stein,Stein,130,0.2952934752503591,0.3504151191601561,0.2692307692307692,0.2,0.1111111111111111,0.07692307692307693,0.36988171152890725,0.372253771444132,0.32,0.2,0.1111111111111111,0.07692307692307693,0.39450124155069416,0.3879269461686966,0.32,0.6666666666666666
costa,Costa,194,0.24007766489859614,0.4033130162371168,0.24050632911392406,0.5,0.42857142857142855,0.4,0.19651420382254853,0.3115357790953753,0.2564102564102564,0.2,0.25,0.16666666666666666,0.19446251723428568,0.4223161829850329,0.32432432432432434,0.42857142857142855
