recall_id,sum,mbits_to_chars,recall_text,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
mean,140.53,0.23,,18.71,17.09,1.55,-1.92,15.97,14.48,2.8,13.93,9.25,5.47,2.59,1.56,1.39,2.85,6.07,4.03,1.34,23.37
1,104.76,0.15,"At my cousin's wedding reception, an unexpected incident occurred when my best friend pushed me into a pool. The event was held in a fancy hotel garden, and everyone, including myself, was dressed elegantly. my friend was trying to protect me from a bee that was dangerously close to my face. While holding a glass of champagne my aunt had just handed me, I fell into the water. Although the intention was good, my friend didn't think it through, and the result was my beautiful dress getting soaked. After resurfacing, I could see my friend laughing and apologizing, understanding the unintended mishap. that I narrowly missed falling onto the wedding cake, highlighting the close call.",18.19,17.75,4.22,-2.65,13.11,15.39,0.44,14.63,-1.39,7.38,0.08,1.72,-3.74,0.9,4.88,3.2,-3.11,13.76
0,108.37,0.22,"During my cousin's wedding reception in a fancy hotel garden, my best friend accidentally pushed me into the pool. It happened when she noticed a bee near my face and, trying to protect me from getting stung, she nudged me while I was holding a glass of champagne. As a result, I fell into the water, ruining my beautiful dress. When I emerged, gasping, my friend was laughing but very apologetic. My cousin humorously pointed out that I narrowly missed landing on the wedding cake by just a few inches.",18.66,17.45,-0.14,-2.32,16.67,13.81,2.74,1.93,1.12,1.77,2.56,1.63,3.34,1.11,4.83,-0.97,-3.1,27.28
19,110.42,0.18,"At a wedding reception held at a fancy hotel garden, the narrator's best friend accidentally pushed them into a pool. This happened because the friend was trying to protect the narrator from a bee that was hovering nearby. The narrator had just received a glass of champagne from their aunt when this occurred. Despite the unintended plunge, which ruined the narrator's beautiful dress, the friend found the situation amusing and apologized a lot. As a humorous side note, the narrator's cousin observed that if the push had been slightly different, the narrator might have landed on the wedding cake instead.",20.05,14.99,-0.06,-0.31,9.39,13.95,1.11,16.45,0.91,3.8,0.64,0.33,-2.82,2.12,6.48,0.21,-3.38,26.56
15,116.4,0.23,"During my cousin's wedding reception at a fancy hotel garden, an amusing incident occurred. My best friend, trying to save me from a bee hovering near my face while I was holding a glass of champagne, pushed me into the pool. Though her intention was to prevent a sting, she didn't fully think it through. As I emerged from the water, drenched and gasping, she burst into laughter and apologized repeatedly. While my dress was ruined, as my cousin pointed out that I narrowly missed falling onto the wedding cake.",17.14,18.0,0.61,-1.25,15.97,14.57,2.81,2.84,2.44,6.77,0.86,1.23,3.8,3.7,6.77,3.67,-4.4,20.87
14,117.6,0.17,"The story takes place at a cousin's wedding reception. The reception was held in a fancy hotel garden. Everyone was dressed elegantly. The narrator's best friend pushed them into a pool. The friend did this to prevent a bee from stinging them. Just before the incident, the narrator was handed a glass of champagne by their aunt. Despite the apparent intention to help, the friend didn't think about the consequences. This resulted in the narrator falling into the water. The friend found the incident amusing. She apologized quickly. The narrator emerged from the pool with their dress ruined. Fortunately, they narrowly missed landing on the wedding cake. This was noted by the cousin.",18.55,16.9,4.19,-4.74,11.92,13.13,2.67,15.39,0.93,7.81,1.11,1.58,-5.16,2.67,5.8,4.53,-1.49,21.81
4,125.52,0.21,"At a cousin's wedding reception held in a fancy hotel garden, an incident occurred when my best friend pushed me into the pool. Everyone was dressed elegantly, and I was holding a glass of champagne my aunt had given me. My friend noticed a bee near my face and, without thinking it through, tried to help by giving me a push, which sent me into the water. I emerged from the pool, wet and gasping, while my friend laughed and apologized repeatedly. Unfortunately, my beautiful dress was ruined. As I got out of the pool, my cousin humorously pointed out that I narrowly missed crashing into the wedding cake.",18.94,17.13,4.45,-3.3,14.5,14.5,-1.38,14.36,0.49,6.91,2.28,1.01,4.17,2.19,6.24,5.84,-1.61,18.8
9,128.54,0.24,"At my cousin's wedding reception held at a fancy hotel garden, my best friend accidentally pushed me into a pool. This happened because she noticed a bee near my face and, in an attempt to protect me from being stung, gave me a little shove. Unfortunately, the shove sent me into the water just as my aunt had handed me a glass of champagne. Although my friend immediately started laughing and apologized, my lovely dress was ruined. After I climbed out of the pool to dry off, that I had narrowly missed landing on the wedding cake.",19.24,17.16,-0.99,-1.06,17.54,14.81,3.57,14.95,-0.22,4.63,5.18,1.16,-3.97,3.46,6.72,5.41,6.13,14.82
2,133.58,0.19,"At a wedding reception held in a fancy hotel garden, the narrator was inadvertently pushed into a pool by their best friend. The incident occurred because the friend attempted to protect them from being stung by a bee, which she had spotted near the narrator's face. the narrator was holding a glass of champagne given to them by their aunt, which they had cautioned their friend to be careful around. Despite the friend's good intentions, the push sent the narrator into the water, soaking their beautiful dress. Upon resurfacing, the friend laughed and apologized repeatedly. the narrator's cousin pointed out that if the push had been a few inches more, they would have ended up on the cake.",17.58,13.22,0.86,-0.49,16.91,15.09,4.03,14.68,15.9,2.17,0.94,0.19,-2.57,3.9,5.56,-1.72,-5.99,33.32
18,143.06,0.25,"During my cousin's wedding reception, held in a fancy hotel garden, my best friend accidentally pushed me into the pool. We were all dressed up, and my aunt had just given me a glass of champagne. My friend noticed a bee hovering near my face and, in her attempt to save me from being stung, gave me a little shove without thinking it through. I fell into the water, resurfacing to find her laughing and apologizing profusely. While my dress was ruined, my cousin humorously pointed out that if I'd fallen just a few inches over, I would have landed on the wedding cake.",18.95,18.07,3.8,-2.05,16.52,14.16,4.44,16.03,1.96,6.63,5.51,1.17,-1.32,2.43,6.95,3.51,-2.92,29.22
