recall_id,recall_text,recall_len,max_clause_id,mbits_original_narrative,mbits_rephrased_narrative
571a3f73c97ad400083a2ea0,A woman’s best friend pushed her into the pool while she was holding a glass of champagne because she said a bee was hovering around her face. When she got out with her fancy dress all ruined her friend laughed hysterically and said a few more inches and she would have ruined the wedding cake.,294,8,65.35,87.98554993389999
575ef812a2ce6e000666f239,"Person pushed into the pool by a friend during her aunt's wedding reception, friend saying something about a bee. Person climbs out of the pool in her wet dress to dry off. Relative makes a joke about another few inches and landing on the cake.",244,4,84.86,81.75592042750002
589f019c69733b0001af54df,"My best friend pushed me in to the pool. This happened during a friends wedding reception. I had just been given a glass of champagne. A bee came along. She tried to prevent me from getting stung. She just gave me a little push. I fell into the pool. I ruined my new dress. My aunt said, ""just a few more inches and I would have fallen on the cake.""",349,9,84.02,97.9181060928
58a89e40e6afe00001d36058,At a wedding my friend gave me a small shove to protect me from a bee. Unfortunately I then fell into the swimming pool fully clothed in my smart dress. My cousin said I just missed flattening the wedding cake.,210,8,52.74,60.52891543510001
596e5141fe061d00011e3984,"My best friend pushed into the pool. I was at my cousins wedding reception, everyone was dressed to impress. The reason was she saw a bee hovering above my head. My aunt had passed me a glass of champagne. Best friends dont always think things through and she gave me a little shove. My cousin said ""just a few inches further and you would have landed on the cake.""",365,9,120.62,135.3855361835
599dacb43c7d1a0001deef97,a girls friend pushed her into a pool at a wedding reception in a fancy hotel.,78,5,22.19,38.40840149140001
5a3ee0d22f91ec0001dca78d,My best friend pushed me into the swimming pool at my cousins wedding. She was trying to avoid me being stung when a bee landed near my face. My Aunt said that's what best friends do. When I resurfaced my friend burst into laughter. My cousin said if I had a fallen a little further a few inches it would be been on the cake.,325,11,85.00999999999999,89.3276062093
5a775b638fe2dc00010579b2,At a wedding reception and friend pushed me into a pond because a bee was near my face. Was only a little push. I had just been handed a glass of champagne by my aunt. My friend was laughing at me as I got out to dry and said a little further and you'd have landed in the cake.,277,9,70.72,93.13262941540002
5a7c5a98eea3d300016e1d1e,girl was pushed into the pool at her cousins wedding by her best friend because there was a bee next to her. she apologised but the dress was ruined.,149,6,44.06,50.89086914200001
5a9bec4c6475f900019ffb56,"My best friend pushed me into the pool at my brother's wedding. This was after my aunt had given me a glass of champagne. My friend, who had not thought it through, was trying to save me from a bee. My dress was ruined and as I got out and dried myself off, she laughed and apologised. If I had landed a foot more I would have not the cake.",340,11,82.52,110.14184570530003
5af29f9c0eca060001b153bd,"A girl's best friend pushed her into the pool at her cousin's wedding reception where everyone was dressed to impress. The reason she pushed her into the pool was because she saw a bee flying near her head and didn't want her to get stung. And so she shoved her into the pool. The girl's Aunt has also just handed her a glass of champagne. When the girl came to the surface, her friend just started laughing. Her dress was ruined. She said a few inches further and she would have landed in the cake!",499,12,106.45,127.65438461989999
5c129cc7ba99dc0001f0b628,at cousin's wedding posh hotel. Got handed a glass of champagne by aunt. Best friend sees a bee close to her face. gives her a gentle tap. pushed her into the pool. Soaked. lovely dress ruined. friend laughing. had to get out of the wet dress. cousin said. a few inches more and you'd have landed on the cake.,309,11,104.23,119.4313506991
5c3f2e175fe5c60001ffc302,My best friend pushed me into the water when we were at my cousins wedding. She saw a bee and pushed me to save me being stung. My aunt had just handed me a glass of champagne. I narrowly missed the wedding cake! My dress was ruined. My friend laughed but also apologised.,272,10,68.02,93.7704620373
5c714e3c21beb1000181bc74,My best friend pushed me into the pool this was at my cousin wedding Reception where my aunt nearly got stung by a bee my dress was ruined and my friend apologised profusely,173,5,45.800000000000004,48.72828677220002
5ca345b1506fca0016b358bb,"My best friend pushed me into the pool at my cousin's wedding which was at a posh hotel. She said it was because there was a bee near my eye and she didn't want me to get stung. I was wearing a lovely dress, everyone was dressed to impress. My aunt had just handed me a glass of champagne. When I surfaced, spluttering, I wanted to get out of the pool and dry off. My friend just laughed and said I could have landed in the cake.",429,14,92.67999999999999,135.7466735877
5cc3289b9e21e200015f0bb3,her friend pushed her into the swimming pool at her cousins wedding because of a bee. when she got out the cousin said a few inches more and it would have been the cake.,169,7,66.98,75.11245730420003
5d10fa2bbfbf0a000133594b,"My cousin pushed me into the pool at my cousins wedding. She pushed me in as there was a bee. My auntie told me to be aware of friends, as they don’t always think things through. Then she gave me a little shove. I landed in the pool, then the next thing to do was get out and dry off, but my beautiful dress was ruined. My cousin started laughing, and said, a couple more inches, and you would have landed in the cake.",418,15,101.6,118.61337281309997
5d11dd0790265e00019ba937,My best friend pushed me into the pool at a wedding. There was a bee near my face. Everyone was dressed to impress. My mother had a glass of champagne. I nearly landed on the cake. Missed it by a few inches.,207,6,61.739999999999995,80.5080108808
5d416bd5af929100194e80e1,"A woman was at her cousin's wedding in a fancy hotel. Everyone was dressed to impress. Her Aunt handed her a glass of champagne. As she did a bee started to buzz around her head. Her best friend pushed her into the pool. (Her best friend was) trying to get the bee away. Her dress was ruined. Her Aunt laughed. Her Cousin said if she'd been a few inches more to the side, she'd have landed in the cake.",402,9,96.3,109.58871459119999
5dc1978fdbf8200fe9537083,My cousin pushed me into the pool. This was at my cousin's wedding and everyone was dressed to impress. There was a bee hovering close to my face and she just tried to warn me about. My aunt told her to be careful. That's when she gave a little shove and I tumbled into the pool. When I resurfaced she stared at me and then laughed. She apologized profusely and my beautiful dress was ruined. She said that with a few more inches I would have landed on the cake.,462,14,112.31,135.2490310486
