segment_id,segment_text,recall_id,recall_text,recall_len,max_clause_id,mbits_original_narrative,segment_text_rephrased,mbits_rephrased_narrative
1,My best friend pushed me into the pool.,571a3f73c97ad400083a2ea0,A woman’s best friend pushed her into the pool while she was holding a glass of champagne because she said a bee was hovering around her face. When she got out with her fancy dress all ruined her friend laughed hysterically and said a few more inches and she would have ruined the wedding cake.,294,8,17.68,My closest companion nudged me into the swimming area.,19.01
2,"This happened during my cousin's wedding reception,",571a3f73c97ad400083a2ea0,A woman’s best friend pushed her into the pool while she was holding a glass of champagne because she said a bee was hovering around her face. When she got out with her fancy dress all ruined her friend laughed hysterically and said a few more inches and she would have ruined the wedding cake.,294,8,6.37,"It occurred at my cousin's marriage celebration,",8.91
3,where everyone was dressed to impress.,571a3f73c97ad400083a2ea0,A woman’s best friend pushed her into the pool while she was holding a glass of champagne because she said a bee was hovering around her face. When she got out with her fancy dress all ruined her friend laughed hysterically and said a few more inches and she would have ruined the wedding cake.,294,8,0.58,where all were attired in their finest.,7.17
4,"And the reason it happened,",571a3f73c97ad400083a2ea0,A woman’s best friend pushed her into the pool while she was holding a glass of champagne because she said a bee was hovering around her face. When she got out with her fancy dress all ruined her friend laughed hysterically and said a few more inches and she would have ruined the wedding cake.,294,8,-1.16,"The cause of this incident,",6.18
5,"she spotted a bee hovering near my face,",571a3f73c97ad400083a2ea0,A woman’s best friend pushed her into the pool while she was holding a glass of champagne because she said a bee was hovering around her face. When she got out with her fancy dress all ruined her friend laughed hysterically and said a few more inches and she would have ruined the wedding cake.,294,8,15.72,"she noticed a bee fluttering close to my cheek,",11.18
6,- this was at a fancy hotel garden -,571a3f73c97ad400083a2ea0,A woman’s best friend pushed her into the pool while she was holding a glass of champagne because she said a bee was hovering around her face. When she got out with her fancy dress all ruined her friend laughed hysterically and said a few more inches and she would have ruined the wedding cake.,294,8,2.06,- this took place in an upscale hotel's garden -,-0.07
7,and she tried to save me from being stung.,571a3f73c97ad400083a2ea0,A woman’s best friend pushed her into the pool while she was holding a glass of champagne because she said a bee was hovering around her face. When she got out with her fancy dress all ruined her friend laughed hysterically and said a few more inches and she would have ruined the wedding cake.,294,8,-0.81,and her intention was to prevent a bee sting.,-1.15
8,"And my aunt had just handed me a glass of champagne,",571a3f73c97ad400083a2ea0,A woman’s best friend pushed her into the pool while she was holding a glass of champagne because she said a bee was hovering around her face. When she got out with her fancy dress all ruined her friend laughed hysterically and said a few more inches and she would have ruined the wedding cake.,294,8,4.33,"Right after my aunt had passed me a flute of champagne,",5.78
9,and I warned her to be careful.,571a3f73c97ad400083a2ea0,A woman’s best friend pushed her into the pool while she was holding a glass of champagne because she said a bee was hovering around her face. When she got out with her fancy dress all ruined her friend laughed hysterically and said a few more inches and she would have ruined the wedding cake.,294,8,2.27,I cautioned her to handle it with care.,0.1
10,"'Course friends, y'know, they don't always think things through.",571a3f73c97ad400083a2ea0,A woman’s best friend pushed her into the pool while she was holding a glass of champagne because she said a bee was hovering around her face. When she got out with her fancy dress all ruined her friend laughed hysterically and said a few more inches and she would have ruined the wedding cake.,294,8,-2.0,"But you see, pals sometimes act without full consideration.",1.44
