real_caught,segment_id,segment_text,gpt4,gpt4o_all,gpt4o_idxmx
96.3,1,My best friend pushed me into the pool.,100.0,100.0,100.0
90.74,2,"This happened during my cousin's wedding reception,",100.0,97.12,87.5
44.44,3,where everyone was dressed to impress.,30.0,49.04,20.83
29.63,4,"And the reason it happened,",30.0,11.54,37.5
90.74,5,"she spotted a bee hovering near my face,",80.0,100.0,100.0
37.04,6,- this was at a fancy hotel garden -,100.0,45.19,29.17
81.48,7,and she tried to save me from being stung.,100.0,88.46,100.0
61.11,8,"And my aunt had just handed me a glass of champagne,",100.0,85.58,37.5
16.67,9,and I warned her to be careful.,60.0,61.54,16.67
24.07,10,"'Course friends, y'know, they don't always think things through.",30.0,34.62,
87.04,11,"So that's when she gave me a little shove,",100.0,88.46,75.0
81.48,12,and I tumbled into the water.,100.0,76.92,79.17
46.3,13,"When I resurfaced, gasping for air,",90.0,65.38,45.83
62.96,14,"she just started laughing,",100.0,77.88,54.17
35.19,15,and she apologized profusely.,100.0,73.08,45.83
68.52,16,"And... my beautiful dress was ruined,",100.0,36.54,45.83
38.89,17,"and naturally, the first thing to do was to get out and dry off,",20.0,7.69,4.17
88.89,18,"and my cousin just says, ""Just about a few inches more,"" she says, ""and you'd have landed on the cake.""",100.0,90.38,62.5
