segment_id,segment_text,segment_text_rephrased
1,My best friend pushed me into the pool.,My closest companion nudged me into the swimming area.
2,"This happened during my cousin's wedding reception,","It occurred at my cousin's marriage celebration,"
3,where everyone was dressed to impress.,where all were attired in their finest.
4,"And the reason it happened,","The cause of this incident,"
5,"she spotted a bee hovering near my face,","she noticed a bee fluttering close to my cheek,"
6,- this was at a fancy hotel garden -,- this took place in an upscale hotel's garden -
7,and she tried to save me from being stung.,and her intention was to prevent a bee sting.
8,"And my aunt had just handed me a glass of champagne,","Right after my aunt had passed me a flute of champagne,"
9,and I warned her to be careful.,I cautioned her to handle it with care.
10,"'Course friends, y'know, they don't always think things through.","But you see, pals sometimes act without full consideration."
11,"So that's when she gave me a little shove,","That's the moment she delivered a gentle push,"
12,and I tumbled into the water.,causing me to fall into the liquid below.
13,"When I resurfaced, gasping for air,","Emerging from the pool, I was panting for breath,"
14,"she just started laughing,","she burst into giggles,"
15,and she apologized profusely.,offering her apologies over and over.
16,"And... my beautiful dress was ruined,","And... my exquisite gown was completely spoiled,"
17,"and naturally, the first thing to do was to get out and dry off,","so of course, the immediate step was to climb out and seek dryness,"
18,"and my cousin just says, ""Just about a few inches more,"" she says, ""and you'd have landed on the cake.""","and my cousin remarked, ""A mere few inches further,"" she noted, ""and you would've crashed into the dessert."""
