,summary,rephrased_summary,total,len,rate,keypoints_id
20,My best friend pushed me into the lake.|I laughed uncontrollably after she handed me a frog.|I promised to get revenge on her.,My closest companion shoved me into the water. I couldn't stop laughing when she gave me a frog. I vowed to retaliate against her.,63.15,126,0.5,3_3
19,I got pushed into the lake by my friend during a camping trip.|I laughed uncontrollably when my friend handed me the frog.|I promised to get revenge on my friend for pushing me.,"During our camping excursion, my buddy shoved me into the lake. I couldn't help but burst into laughter when they gave me a frog. I vowed to retaliate against my pal for the push.",67.37,177,0.38,3_2
18,I was pushed into the lake by my best friend during our camping trip.|I laughed uncontrollably after seeing the frog on the shore.|I promised revenge saying my friend would get hers soon enough.,"During our outdoor excursion, my closest companion shoved me into the water. The sight of a frog by the water's edge sent me into fits of laughter. I vowed to get even, playfully warning her that payback was on its way.",57.07,194,0.29,3_1
23,My best friend pushed me into the lake.|She dared me to catch a frog by the water's edge.|I emerged from the water and laughed uncontrollably after she caught the frog.|I told her she would get her revenge soon enough.,"My closest companion nudged me into the body of water. She challenged me to snatch a frog near the shoreline. Bursting out of the lake, I couldn't help but laugh hysterically once she had the frog in her grasp. I assured her that retribution was just around the corner.",76.2,218,0.35,4_3
24,My best friend pushed me into the lake.|We were on our annual summer camping trip.|She dared me to catch a frog while I was eating.|She nudged me into the water because I refused.|I laughed and planned my revenge when I got out.,"During our yearly summer camp, my closest companion nudged me into the lake. While I was in the middle of a meal, she challenged me to grab a frog. When I declined, she playfully shoved me into the lake. As I emerged from the water, I couldn't help but chuckle and scheme a playful retaliation.",77.28,228,0.34,5_1
25,My best friend pushed me into the lake.|This happened during our annual summer camping trip.|She dared me to catch a frog by the lake.|I was pushed into the water while eating my sandwich.|I laughed and promised to get my friend back.,"During our yearly camping trip in the summer, my closest companion nudged me into the lake. She had challenged me to snatch a frog near the water's edge. As I munched on my sandwich, I found myself suddenly submerged. I let out a chuckle and vowed to retaliate against my pal.",88.93,234,0.38,5_2
21,"My best friend pushed me into the lake.|We were on our annual summer camping trip enjoying a peaceful afternoon.|She dared me to catch a frog, but I refused.|I laughed uncontrollably and promised revenge after emerging from the water.","During our yearly summer camp, my closest companion nudged me into the water while we were relishing a serene afternoon. She challenged me to snatch a frog, which I declined. Bursting with laughter, I emerged from the lake and vowed to get even.",76.04,234,0.32,4_1
29,My best friend pushed me into the lake.|This happened during our annual summer camping trip.|She dared me to catch a frog.|I refused because I was eating my sandwich.|She nudged me into the water instead.|I laughed and planned to get revenge.,"During our yearly camping trip in the summer, my closest companion nudged me into the lake. She had challenged me to snatch a frog, but I declined as I was in the middle of enjoying my sandwich. In response, she playfully shoved me into the lake. Finding it funny, I began to concoct a plan for playful retaliation.",72.86,242,0.3,6_3
26,My best friend pushed me into the lake.|We were on our summer camping trip enjoying the afternoon.|She spotted a frog and dared me to catch it.|I wasn't interested but she nudged me into the water.|I laughed uncontrollably and planned my revenge.,"During our summer camping excursion, my closest companion nudged me into the lake while we were savoring the day. Upon noticing a frog, she challenged me to snatch it. Despite my lack of interest, she playfully shoved me into the aquatic depths. Overcome with laughter, I began to scheme a playful retaliation.",68.96,246,0.28,5_3
22,My best friend pushed me into the lake during our camping trip.|She dared me to catch a frog near the water's edge.|I found it funny when she handed me the frog and we laughed.|I promised to get revenge by telling her she would get hers soon enough.,"During our outdoor excursion, my closest companion nudged me into the lake. She challenged me to snatch a frog by the shore. It was amusing when she passed the frog to me and we both chuckled. I vowed to retaliate, assuring her that payback was imminent.",92.2,249,0.37,4_2
28,My best friend pushed me into the lake.|We were on our annual summer camping trip.|She dared me to catch a frog near the water.|I refused because I was eating a sandwich.|She nudged me into the water unexpectedly.|I laughed and threatened playful revenge.,"During our yearly summer campout, my closest companion nudged me into the lake. She had challenged me to snatch a frog by the water's edge, but I declined as I was in the middle of enjoying a sandwich. To my surprise, she gave me a little shove that sent me splashing into the lake. I responded with laughter and vowed to get her back in jest.",84.23,255,0.33,6_2
