segment_id,pcaught,prec,mbits,segment_text
1,0.8775510204081632,0.9183673469387755,20.02,My best friend pushed me into the lake.
2,0.8163265306122449,0.7040816326530612,3.34,This happened during our annual summer camping trip
3,0.3979591836734694,0.25510204081632654,1.57,and we were enjoying a peaceful afternoon.
4,0.12244897959183673,0.08163265306122448,3.85,"The reason it all began,"
5,0.6836734693877551,0.7346938775510204,7.91,she spotted a frog near the water's edge or
6,0.3979591836734694,0.2857142857142857,1.86,- this was at our favorite spot in the woods -
7,0.8163265306122449,0.6224489795918368,0.2,and she dared me to catch it.
8,0.6326530612244898,0.5714285714285714,2.47,I had just sat down to eat my sandwich
9,0.5510204081632653,0.5714285714285714,-0.19,and I told her I wasn't interested.
10,0.3979591836734694,0.30612244897959184,1.13,"'Course friends, y'know, they don't always take no for an answer."
11,0.9387755102040817,0.32653061224489793,-0.37,So that's when she snuck up behind me
12,0.9489795918367347,0.7653061224489796,-0.06,and gave me a little nudge.
13,0.826530612244898,0.5,5.56,"When I emerged from the water, there was a frog on the shore,"
14,0.7346938775510204,0.47959183673469385,1.56,she just scooped it up
15,0.5204081632653061,0.45918367346938777,-0.1,and handed it to me.
16,0.6224489795918368,0.5816326530612245,0.95,And . . .; I couldn't help but laugh – uncontrollably.
17,0.673469387755102,0.3163265306122449,0.63,"And naturally, the first thing to do was to get revenge,"
18,0.7755102040816326,0.673469387755102,5.76,"and I said, ""Just you wait,"" I said, ""you'll get yours soon enough."""
