recall_id,#clauses,n,segment_ids,text
579768e3dcff7d0001c7c462,14,14,"[1, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",I was by a lake in the woods with my friend. I was just about to have my lunch when she suggested we catch a frog in the lake. I said no because I was just starting lunch. However not taking no for an answer she pushed me in. When I managed to get out she handed me a frog she had scooped up from the lake shore. We both laughed thinking it was funny. I told her I would get revenge saying something like 'you will get yours!'.
59ef45d37f3d71000171e3a7,14,14,"[1, 2, 3, 5, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18]","My friend pushed me in the lake. We were at summer camp enjoying a peaceful afternoon. She saw a frog on the bank. I was just about to eat my sandwich when she nudged me and I fell in. As I emerged from the lake, the frog was sitting on the bank. My friend picked it up and handed it to me and we started laughing uncontrollably. Friends don't always do what they are supposed to and I told her ""just you wait"" as I will get revenge."
5cf3168f70036500017cdf89,6,14,"[1, 2, 3, 6, 7, 8, 10, 11, 12, 13, 14, 15, 17, 18]",She was on a camping trip with her friend during summer. They were having a picnic by the water. They were at the edge of the forest. Her friend saw a frog and tried to make her chase it. She was then in the water and her friend threw the frog at her as a joke. She then promised to get her revenge on her friend.
5f67ae1b22c41c0e44275dc2,14,14,"[1, 2, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 17, 18]","I was camping with my friend and fell in a lake. Well, more to say she pushed me. We were camping by a lake - our favorite place- when she saw a frog on the shoreline. She joked she was going to push me in but I said Np. 'Course friends don't always take no for an answer. She pushed me into the lake, and as I came up she scooped up the frog and handed it to me. I said ""just you wait"" ""just you wait and see. I'll get you back"""
60355f4612906156ad917438,8,14,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]","A girl and her best friend went to a lake. She was sat by the water’s edge when the friend wanted to see if they could catch a frog, but the girl didn’t want to. The friend nudged her and she fell into the water. When she got out of the water the frog was on the shore."
60911d6a50cf579aaaf9fe36,11,14,"[1, 2, 5, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18]",My best friend pushed me into a lake. This happened on our annual summer camping trip. She saw a frog and asked me to grab it. I had just sat down to eat lunch so said no. But friends don't listen and she pushed me. I couldn't help but to laugh uncontrollably. I want revenge and said you'll get yours soon enough.
63062f7d8fb591eee9806333,6,14,"[1, 2, 3, 5, 6, 7, 8, 11, 12, 13, 14, 16, 17, 18]",My best friend pushed me into the lake. They said they saw a frog. We were on a camping trip. I was sitting down to eat a sandwich. We both laughed about it. I said I would get my revenge on them.
63861a54c47e7f59fdb5a4c8,6,14,"[2, 3, 5, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18]","A person was on their annual summer camping trip with their friend. While enjoying their sandwich by the lake, their friend asked them to catch a frog they had seen near the waters edge. Though the story teller didn't want to do this, their friend gave them a gentle push and they fell into the water. When they emerged, their friend simply scooped up the frog in their hands. They both ended up laughing uncontrollably, but the story teller vowed he would get his revenge on his friend over time."
63ed3a6f78ef6e5956362003,7,14,"[1, 2, 5, 6, 7, 8, 10, 11, 12, 13, 14, 16, 17, 18]",My friend pushed me into a lake. It was at our usual summer hangout and she offered me a sandwich ‘Course friends don’t always take no for an answer She picked up a frog I started uncontrollably laughing ‘You’ll get yours soon enough’
64518e0e1d8bff225cd5e491,13,14,"[1, 2, 3, 5, 7, 10, 11, 12, 13, 14, 15, 16, 17, 18]","I was with a friend down by the lake when she pushed me in. We were on holiday and down by the lake when I saw a frog and was trying to catch it. My friend was annoyed and so she pushed me in the lake. When I emerged she handed me the frog and said there you are. I said you wait, I will get you back sometime."
