recall_id,chars,average,text
60670075662d19e13a79d7e9,63,0.75,"Friends in a camp, something with a frog, laugh uncontrollably."
5d27b8fee5af0b00157f41a6,74,0.6607,"My best friend found a frog on the lake, it was her favorite camping spot."
59a66a62cf8b8d0001771fcd,85,0.7592,a lady was eating a sandwich by the edge of some water when her friend pushed her in.
613b0345b71875844ee7fbe3,91,0.8304,2 friends went away on a camping trip 1 fell in the water this was due to her seeing a frog
5fb3a3c38a7d5903b43c1949,125,0.7517,Went to a summer camp with my best friend and she dared me to scoop a frog out of the water whilst I was eating my sandwiches
617221eb8868cd4fc83eb616,130,0.787,My best friend pushed me into the lake. The frog jumped out. She catches it. She put it into my hands. Soon I will get my revenge.
5e9fd839311b8018f88c99eb,132,0.7772,my friend pushed me into the lake because she thought she spotted a frog. so she challenged to jump into the lake to catch the frog!
5fc48f75214f5d8dbc69f27e,152,0.6939,We were camping at a lake. My friend spotted a frog and was dared to catch it. They caught it. They did something to me. They'll get theirs soon enough.
641c2b936dc70fab01d77dc6,165,0.662,"I and my friend went out, and then we saw a frog, then she gave me a nudge, you know friends cannot get no for an answer, I said to myself I will give her a payback."
5fb2808bf1937b872c6ad534,165,0.7551,Two friends were sitting by the lakeside and one dared the other to catch a frog. The other friend refused to touch the frog that's when he was pushed into the lake.
614fcba0d71b7a527a512011,175,0.7765,A friend pushed me into the lake because I wouldn’t catch a frog. I laughed and when I came out of the lake there was a frog on the shore. I vowed to get revenge on my friend.
60fedccd65da849fc08a6498,177,0.7596,"A girl was pushed into the water on a summers afternoon she nudged her into the water and when she got out she found a frog and gave it to her, she said she would get hers soon."
60a91a7fbccaa6f7ea138a1c,183,0.7188,Friends were on their annual trip when one of the friends decided to surprise one with the frog. The other friend was not happy with the incident and decided she would revenge on her.
5e852dd84fc423121601a0f8,187,0.764,my best friend pushed me at the lake while at summer trip camping. we were at our favorite spot and as i sat down eating my sandwich. she said i should catch a frog thats all i can recall
63062f7d8fb591eee9806333,196,0.7245,My best friend pushed me into the lake. They said they saw a frog. We were on a camping trip. I was sitting down to eat a sandwich. We both laughed about it. I said I would get my revenge on them.
5f2ad10f2a2fc93c43768f1a,199,0.7709,"My friend pushed me into the lake on our annual visit to lake, there was a frog, she wanted me to see it, I wasn't interested she pushed me in, then tried to hand me frog. I said I would get revenge."
5fa1db108aaea037919570d4,201,0.7406,My friend pushed me into a lake at our favourite spot when I said I wouldn’t catch a frog. Then she saw a frog and handed it to me when I emerged from the lake and I said just you wait you’ll get yours
5ad2254db438910001ac9c31,204,0.8367,"It was on a camping trip, when my friend pushed me in the lake. She crept up behind me and gave me a nudge. As I got out of the water there was a frog. I told my friend that I would get her back for this."
602b7ef25103a629e2004d70,206,0.8051,my best friend pushed me into a lake. it happened over our summer vacation. near the lake my friend spotted a frog. she was eating a sandwich. I wanted one too. and she told me i would get mine soon enough.
60460afa467ff102d3c5b9f6,213,0.7381,"a friend pushed the other friend in to the water, trying to catch a frog. The friend was sitting down eating a sandwich but the other friend could not take a no for an answer. The other friend promised to revenge."
6447a1d0a79b93156810e05f,217,0.7133,"i was enjoying a peaceful afternoon with my friend. she noticed a frog and gave me a gentle nudge, i fell into the water and after i laughed uncontrollably. friend being friends you know... i said i will get you back."
5ea313378e994c25658eae92,221,0.844,My friend pushed me into a lake. This was during our summer picnic. She said she saw a frog in the water and asked me to jump in. She gave me a nudge and I fell in. When I got out there was a frog at the side of the lake.
5cc92c45a7f12900180c5d53,227,0.7393,"I was with my best friend on the shore and she pushed me in the lake. It was a summers evening and there was a frog, my friend got the frog and then put it onto my hand I laughed uncontrollably and said you will get your karma."
63ed3a6f78ef6e5956362003,234,0.7245,My friend pushed me into a lake. It was at our usual summer hangout and she offered me a sandwich ‘Course friends don’t always take no for an answer She picked up a frog I started uncontrollably laughing ‘You’ll get yours soon enough’
63de9eece971e379ea3abbf1,237,0.6884,"the participant was eating a sandwich by the lake. it was summer and her best friend pushed her in. There was something about a frog and being scared of it, stand at the edge. then she got revenge by pushing her friend into the lake too."
5ccb7255d6dd220015fd965c,243,0.7745,My friend pushed me into a lake. It was on our summer camping trip. I was sat by the water and she came up behind me and gave me a nudge. When I emerged there was a frog on the beach and she handed it to me. I said I would get my revenge soon.
60a7ac27f10784b94cec23df,246,0.8176,A story of how her best friend pushed her into the rivers. They saw a frog and she dared her to catch it but then nudged her into the river and she fell in and there was the frog in front of her. She said that she will definitely get her revenge.
6439e2d30873a9ffa6853281,249,0.6831,"My best friend played a trick on me. We were camping, it was summer. We were by the lake. I was eating a sandwich. There was a frog. She dared me to catch the frog. I said no but she pushed me into the water. We laughed. I said I would get her back."
5683b9722c7f11000b3d08ba,251,0.7832,It was a summers evening. It all started when there was a little frog near the lake. I'd just sat down to eat my sandwich when my friend suggested I get the frog out but I told her I wasn't interested. She then gave me a nudge and fell into the water.
647ab0ae3a04a26f3243da7e,252,0.7405,"My best friends pushed me into the lake. It started during summer camp. She dared me to catch a frog, but I wasn't interested. But friends, y'know, don't take no for an answer. Then she gave me a little nudge. ""Just you wait, your turn next"", she said."
5e7d21d4373d5e3a2a98d1fd,252,0.7378,"My friend pushed me into a lake on our camping trip. I had just began to eat my sandwich in the woods when she spotted a frog. She nudged me into the lake and as I got out she handed me the frog and we laughed. I said ""just you wait I will get revenge"""
6306776595b8bee0efa958a0,253,0.7745,"Her friend pushed her in the water on their annual camping trip on the summer, she’d sat down at the side of the water to eat her sandwiches her friend nudged her in, when she got out her friend passed her a frog and the girl said she’d get her revenge."
5f9ed109e20fb249e3c484d4,256,0.6968,"The friends were camping in the woods at the lake. It was the afternoon and one was eating a sandwich, the other wanted to catch a frog, so pushed the first one into the lake. When she emerged she had a frog on her head. She declared she would get revenge."
59e721e0ac0af70001b36a13,257,0.7441,Was with my friends on a summer trip and fell in to the lake is was peaceful was asked to catch a frog and I was eating a sandwich i said no she gave me a nudge and i fell in she saw a frog on the on the lakeside and scooped it up i said i would get revenge
60fea505c8796961a71b67d9,260,0.7616,It was a peaceful summers afternoon on our annual camping trip. My friend dared me to catch a frog. She nudged me and I fell into the water. The frog was at the waters edge. It made me laugh. I felt like getting revenge and said to my friend 'you'll get yours'
5a84125d17ef350001708120,268,0.7526,"She was on a camping trip with her mate that they do this every year and she was pushed in by her mate, as she spotted a frog. The other friend was eating so she didn't want get the frog so her mate pushed her in, the friend will get revenge , just gotta wait and see!"
5fae30cda7efa227b8d84b72,269,0.7492,My friend and I were at our annual summer lake when she decided to push me in the lake while I was about to eat my sandwich to catch a frog and when I emerged she had already scooped it and handed to me. I laughed uncontrollably and I told her I would get her for that.
60355f4612906156ad917438,269,0.6531,"A girl and her best friend went to a lake. She was sat by the water’s edge when the friend wanted to see if they could catch a frog, but the girl didn’t want to. The friend nudged her and she fell into the water. When she got out of the water the frog was on the shore."
5d39c859babfbf00185c09ac,271,0.7653,My friend pushed me in the lake on our annual holiday. There was a frog. She sneaked up on me and pushed me in. I told her I would get my revenge. When I came out of the lake a frog was on the bank. She scooped it up and put it in my hand. We both laughed uncontrollably.
60be23c5a5d59757b99d0014,278,0.7704,"We were at the lake on a summer camp, There was a front on the edge lake and my friend dared me to catch it, I said no so he sneaked up behind me and gave me a snug I fell into the lake and I couldn't stop laughing uncontrollably and swore that I would get her back soon enough."
5d10a559017b2a000179ecb6,286,0.8176,"The two girls were at a camping trip which was part of their annual holiday. They were looking at a frog near to the water`s edge. One girl pushed the other girl in the water and when she emerged, she saw the frog there. She promised the other girl revenge for pushing her in the water."
5f4e826dade9a507a7c6c2d3,287,0.6735,"My friend pushed me into the lake at our favourite spot in the woods. The reason was a frog that she saw, she wanted me to catch it. I disagreed, because I just started eating sandwich at this moment. She came behind me and pushed me into the water. I told her that I'm going to revange."
56c5c6489b720300057af888,288,0.7588,My friend pushed me in to a lake. This happened at our annual picnic. I was just sitting down and she saw a frog sitting on the edge of the lake. She asked me to help it. I said No. Then she pushed me into the lake. As I got out she showed me a frog sitting on the side and gave it to me.
60a256fa83da9572702726f0,289,0.754,Two friends went on a annual camping trip. One friend asked the other to catch a frog that was on the bank of the river. He declined because he sat down to have a sandwich. That's when the friend snuck up behind and pushed him in the water. They laughed. And he said she will get her turn.
614a43667262f5c9b6f3d394,290,0.752,my friend pushed me into the lake it was our annual camping trip she saw a frog at the edge of the lake i said i wasnt interested so she snuck up behind me and shoved me as i emerged from the lake i saw a frog on the edge and she scooped it up and handed it to me ii couldnt help but laugh.
6034e8e3628ecdf282096ccf,294,0.7625,"I went on a camping trip and my friend pushed me in the water this summer. I was sitting eating my sandwich and she nudged me to kiss a frog and I fell into the water, as I came up I remember wanting revenge as friends never really take no for an answer I yelled you will get yours soon enough."
64518e0e1d8bff225cd5e491,310,0.7165,"I was with a friend down by the lake when she pushed me in. We were on holiday and down by the lake when I saw a frog and was trying to catch it. My friend was annoyed and so she pushed me in the lake. When I emerged she handed me the frog and said there you are. I said you wait, I will get you back sometime."
5cf3168f70036500017cdf89,313,0.6968,She was on a camping trip with her friend during summer. They were having a picnic by the water. They were at the edge of the forest. Her friend saw a frog and tried to make her chase it. She was then in the water and her friend threw the frog at her as a joke. She then promised to get her revenge on her friend.
60bbac6c8f57c38f1b834e80,314,0.7789,My best friend pushed me into the lake. This happened at our annual summer camp. She saw a frog and wanted it and I had just sat down to eat my sandwich. When I submerged from the water I saw her scooping the frog and I couldn't help but laugh and get my revenge. I said to her just wait you will get yours coming.
60911d6a50cf579aaaf9fe36,314,0.7354,My best friend pushed me into a lake. This happened on our annual summer camping trip. She saw a frog and asked me to grab it. I had just sat down to eat lunch so said no. But friends don't listen and she pushed me. I couldn't help but to laugh uncontrollably. I want revenge and said you'll get yours soon enough.
64622d2f98e7fa08557b536c,316,0.6284,"My best friend and I were by the lake, she saw a frog by the edge of the water and I told her to leave it. Because friends sometimes don't take no for an answer, she snuck up behind me and pushed me in. When I got out of the water she was laughing uncontrollably and I laughed too and told her ""Just wait your turn""."
60a3cb60b3e2bdb82a865197,317,0.7398,She was sitting at their favourite spot in the woods at their annual summer camp. After she had just sat down to eat her sandwich her best friend asked her to catch the frog. Upon her refusal her friend then gave her a little nudge into the pond. When she emerged she laughed and promised to get even with her friend.
5c14b996ce422b0001d71ac8,329,0.7398,My best friend pushed me into the lake. It was during our annual summer holiday. It was peaceful. It started with her daring me to get a frog. I said no. So she snuck up behind me. She pushed me in. I was in shock. When I got out. I saw a frog on the shore. She scooped it up. She handed it to me. I said ‘I will get my revenge’.
5d225f02bf7f840001701aa3,337,0.6862,My best friend pushed me into a lake. We were on a camping trip. It was a relaxed afternoon. We were at our favourite spot. She asked me to catch a frog. I said no. She didn't take no for an answer and pushed me in. The frog jumped onto land and she picked it up and handed it to me. I laughed uncontrollably and swore to get my revenge.
63d27e2391b927710684988a,341,0.5931,"my best friend pushed me into the lake. This was on our annual summer picnic. It started as it was to do with a frog. We were at the waters edge - this is at our favourite spot in the woods - and my friend asked me to come and take a look. I said no as I was reading my cook. Course, friends, they don't always take no for an answer do they."
55780ee6fdf99b4cbc0aef95,342,0.6837,My best friend pushed me into a lake on our annual camping trip to our favourite place. What happened was she dared me to push a frog but I was eating my sandwich so told her no. She gave me a little nudge and I fell in. I got out of the lake and she picked the frog and handed it to me. I laughed uncontrollably and said I would get revenge.
60bc8694c10f8519a26ec749,349,0.7542,"The girl's bestfriend pushed her in the lake. When the girl sat down to eat her sandwich, the friend asked her to pick up the frog that was on the edge. After refusing to do so, the bestfriend gave her a little nudge and she fell in. When the girl came up the friend handed her the frog and the girl said that she will get her revenge on the friend."
60bff932463d5ad0d1ca15cc,350,0.7072,"My friend pushed me in the water. We were sitting by the river, she wanted me to catch a frog. I was not interested, I was having my sandwich while we were sitting by the river bank. You know friends, they don't take no for an answer. When I was not looking, I felt a nudge of her pushing me into the water, when I got out, I saw a frog on the shore."
613129fdf8f6b04c9a7a2429,357,0.7211,"I was on summer holiday with my friend and we were beside the lake, she saw a frog and dared me to catch it. I was eating a sandwich and said I wasn't interested, but she gave me a nudge and I fell into the water, when I emerged the frog was on the shore, she picked it up and handed it to me. We both laughed, but I told her I'd get her back at some point."
5fa507fa0776431b370bc0c7,374,0.7663,"My friend pushed into the lake. It was during our summer camping. She dared me to jump in the lake because there was a frog that I needed to catch. As I was sitting and enjoying my sandwich, I told her I was not interested. So she sneaked behind me and before I knew it, she had pushed me into the water. I naturally laughed and told her she would get what's coming her way."
63b88f0a0092804c1fabe3f9,374,0.7663,"My friend pushed me into the lake. This happened during our summer camping trip because my friend dared me to catch a frog. I had just sat down to eat my sandwich and I told her I wasn't interested. She then snuck up behind me and gave me a little nudge into the lake. When I emerged from the water, there was a frog on the shore. She just scooped it up and handed it to me."
5c52016a3146f80001d47b26,375,0.6932,"His friend pushed him into the lake. They were on the annual camping trip. They were at their favorite spot on the shore and his friend told him to get a frog. He said no because he had just sat down to eat his sandwich. She didn't take no for an answer and pushed him in. When he emerged, she had scooped up the frog. He laughed uncontrollably. He said he would get revenge."
63b84157bb3eb77c442413e8,377,0.7082,A friend and myself were out in the woods for the day and she challenged me to catch a frog. After a bit of laughing she pushed me into the lake to which we had cycled to in the woods. As I dragged myself out she spotted the frog and grabbed him to hand to me. This resulted in much laughter as the absurdity of the situation hit us. It was a good day spent with a good friend.
5b95f22749835d0001dc0608,380,0.7355,"My friend pushed me into the water on our annual trip to the water. I was about to eat my sandwich when my friend spotted a frog. She wanted me to pick it up but I said no. She didn’t take no for an answer and nudged me into the water. When I came out from the water I saw a frog on the water’s edge and we laughed uncontrollably. I then told her just to wait, I’d get my revenge."
61a74f67a9217c6f76a4d0f2,386,0.7064,"By the lake during a peaceful afternoon. The writer's friend saw a frog and told them to go get it from the lake but they said no. Their friend not taking no for an answer as ""friends do"", snuck up behind them and nudged them into the water. Then the friend scooped up the frog from and then started laughing uncontrollably. Then the writer told their friend that they'll get them back."
609252692568228b9e5399b0,390,0.6956,"My friend pushed me into the lake. There was a frog on the side of the lake and this was our favourite game in the world. I had just sat down to eat my sandwich when she came up behind me and pushed me into the lake. When I got out of the lake, I found her by the shore waiting holding the frog in her hands. I told her that I was going to get my revenge and I just laughing uncontrollably."
60ba2bab477f5f776919e5ab,398,0.7527,"My friend pushed into a lake, were at a summer camp and there was a frog at the edge of the lake, she asked me if I want to go see the frog I refused but, she pushed me in to the lake when I emerged I could help but laugh uncontrollably , I saw her with the frog in her hand and she asked me if I wanted to hold it, I said 'No'. the first thing on my mind was revenge. I told her I'll get her back."
5e9746fb1eed951eed404015,400,0.715,"Two friends went to their favorite spot to have lunch by a lake in the forest. One friend pushed the other when she refused to catch a frog and instead wanted to sit down and eat lunch. When the girl who was pushed into the lake emerged, a frog was present. The dry friend scooped the frog up as the girl who was pushed laughed and then warned her friend that she'll get back at her for the incident."
60fd36bd3daa2d81249f11b2,401,0.6771,My friend pushed me into a lake. It was at a summer camp. We were all enjoying a peaceful afternoon. She had asked me to catch a frog. I had just sat down to eat my lunch. So I said no. Course friends don't always take no for an answer. So she crept up behind me. And pushed me into the lake. I saw on the shore a frog. Which she picked up. And handed to me. I couldn't help but laugh. Uncontrollably.
5b70ae85bd1fa100017ab163,403,0.7151,"My friend pushed me into the lake during a peaceful afternoon of our annual summer break. We were in a clearing in the woods by the lake shore and I'd been about to eat my sandwich and she saw a frog at the side of the lake and wanted me to get it and when I moved towards the lake she pushed me in. I couldn't help but laugh uncontrollably and swore to get revenge on her ""Just wait, you'll get yours!"""
