recall_id,recall_text,len_original,recall rate,rephrased_text,len_rephrased,rate
60a91a7fbccaa6f7ea138a1c,Friends were on their annual trip when one of the friends decided to surprise one with the frog. The other friend was not happy with the incident and decided she would revenge on her.,183,0.04,Companions embarked on their yearly excursion during which a member of the group chose to startle another with a frog. The surprised friend was displeased with the event and resolved to retaliate against her.,208,0.0181546394098076
613b0345b71875844ee7fbe3,2 friends went away on a camping trip 1 fell in the water this was due to her seeing a frog,91,0.13,Two companions departed for an outdoor camping adventure One of them tumbled into the water which occurred because she spotted a frog,133,0.0971257634850374
60670075662d19e13a79d7e9,"Friends in a camp, something with a frog, laugh uncontrollably.",63,0.26,"Companions at a campsite, an incident involving a frog, burst into hysterical laughter.",87,0.12952381467885044
5fb2808bf1937b872c6ad534,Two friends were sitting by the lakeside and one dared the other to catch a frog. The other friend refused to touch the frog that's when he was pushed into the lake.,165,0.11,A pair of companions were perched beside the lake when one challenged the other to capture a frog. The second companion declined to handle the amphibian which led to him being shoved into the water.,198,0.07343194002272717
5fc48f75214f5d8dbc69f27e,We were camping at a lake. My friend spotted a frog and was dared to catch it. They caught it. They did something to me. They'll get theirs soon enough.,152,0.13,Our campsite was by a lake. A frog caught my friend's attention and they were challenged to capture it. They succeeded in capturing it. They played a prank on me. Retribution will come their way shortly.,203,0.07188523580399009
5fb3a3c38a7d5903b43c1949,Went to a summer camp with my best friend and she dared me to scoop a frog out of the water whilst I was eating my sandwiches,125,0.15,Attended a summer camp alongside my closest companion where she challenged me to retrieve a frog from the pond as I was consuming my sandwich,141,0.17898506820957436
5e9fd839311b8018f88c99eb,my friend pushed me into the lake because she thought she spotted a frog. so she challenged to jump into the lake to catch the frog!,132,0.17,my companion shoved me into the water as she believed she saw a frog. thus she dared to leap into the waterbody to capture the amphibian!,137,0.05020883648372253
5d10a559017b2a000179ecb6,"The two girls were at a camping trip which was part of their annual holiday. They were looking at a frog near to the water`s edge. One girl pushed the other girl in the water and when she emerged, she saw the frog there. She promised the other girl revenge for pushing her in the water.",286,0.08,"Both girls were on a camping excursion as a segment of their yearly vacation. They observed a frog close to the brink of the water. One of the girls nudged her companion into the water and as she resurfaced, the frog was in her sight. She vowed retaliation against her friend for the playful shove into the water.",313,0.06538864601057504
63b84157bb3eb77c442413e8,A friend and myself were out in the woods for the day and she challenged me to catch a frog. After a bit of laughing she pushed me into the lake to which we had cycled to in the woods. As I dragged myself out she spotted the frog and grabbed him to hand to me. This resulted in much laughter as the absurdity of the situation hit us. It was a good day spent with a good friend.,377,0.06,My companion and I spent the day in the forest where she dared me to capture a frog. We shared a few chuckles before she nudged me into the water which we had reached by biking through the trees. Climbing out of the water she noticed the frog and swiftly picked it up to pass to me. This caused a burst of giggles as we realized how ridiculous the moment was. It was an enjoyable day with a cherished companion.,411,0.03586683953080288
641c2b936dc70fab01d77dc6,"I and my friend went out, and then we saw a frog, then she gave me a nudge, you know friends cannot get no for an answer, I said to myself I will give her a payback.",165,0.15,"My companion and I headed outside, where we encountered a frog, at which point she nudged me, as you're aware, friends seldom accept a refusal, I thought internally I'll ensure she receives her comeuppance.",206,0.0988198623523786
