recall_id,clause_id,clause_text,rephrased_text
55780ee6fdf99b4cbc0aef95,1,My best friend pushed me into a lake,My closest companion nudged me into a body of water
55780ee6fdf99b4cbc0aef95,2,on our annual camping trip,during our yearly wilderness excursion
55780ee6fdf99b4cbc0aef95,3,to our favourite place.,to the spot we cherish most.
55780ee6fdf99b4cbc0aef95,4,What happened was,The situation unfolded as
55780ee6fdf99b4cbc0aef95,5,she dared me to push a frog,she challenged me to nudge an amphibian
55780ee6fdf99b4cbc0aef95,6,but I was eating my sandwich,while I was enjoying my snack
55780ee6fdf99b4cbc0aef95,7,so told her no.,thus I declined.
55780ee6fdf99b4cbc0aef95,8,She gave me a little nudge,She prodded me gently
55780ee6fdf99b4cbc0aef95,9,and I fell in.,causing me to tumble in.
55780ee6fdf99b4cbc0aef95,10,I got out of the lake,I emerged from the water
55780ee6fdf99b4cbc0aef95,11,and she picked the frog,and she retrieved the amphibian
55780ee6fdf99b4cbc0aef95,12,and handed it to me.,then presented it to me.
55780ee6fdf99b4cbc0aef95,13,I laughed uncontrollably,I burst into hysterical laughter
55780ee6fdf99b4cbc0aef95,14,and said I would get revenge.,declaring my intent for playful retaliation.
5683b9722c7f11000b3d08ba,1,It was a summers evening.,The evening was warm with summer's touch.
5683b9722c7f11000b3d08ba,2,It all started when there was a little frog near the lake.,Everything began with a small frog beside the lake.
5683b9722c7f11000b3d08ba,3,I'd just sat down to eat my sandwich,I had only just settled to consume my sandwich
5683b9722c7f11000b3d08ba,4,when my friend suggested I get the frog out,as my companion proposed that I remove the frog
5683b9722c7f11000b3d08ba,5,but I told her I wasn't interested.,yet I expressed my lack of interest.
5683b9722c7f11000b3d08ba,6,She then gave me a nudge,She proceeded to give me a gentle push
5683b9722c7f11000b3d08ba,7,and fell into the water.,which resulted in her tumbling into the water.
56c5c6489b720300057af888,1,My friend pushed me in to a lake.,My companion nudged me into a body of water.
56c5c6489b720300057af888,2,This happened at our annual picnic.,It occurred during our yearly outdoor gathering.
56c5c6489b720300057af888,3,I was just sitting down,I had just taken a seat
56c5c6489b720300057af888,4,and she saw a frog sitting on the edge of the lake.,when she noticed an amphibian perched by the water's brink.
56c5c6489b720300057af888,5,She asked me to help it.,She requested my assistance with it.
56c5c6489b720300057af888,6,I said No.,I declined.
56c5c6489b720300057af888,7,Then she pushed me into the lake.,"Subsequently, she propelled me into the water."
56c5c6489b720300057af888,8,As I got out,While I was emerging
56c5c6489b720300057af888,9,she showed me a frog sitting on the side,she presented me with an amphibian on the shore
56c5c6489b720300057af888,10,and gave it to me.,and handed it over to me.
579768e3dcff7d0001c7c462,1,I was by a lake in the woods with my friend.,My friend and I were beside a woodland lake.
579768e3dcff7d0001c7c462,2,I was just about to have my lunch,I was on the verge of starting my meal
579768e3dcff7d0001c7c462,3,when she suggested we catch a frog in the lake.,when she proposed that we try to capture a frog from the lake.
579768e3dcff7d0001c7c462,4,I said no,I declined
579768e3dcff7d0001c7c462,5,because I was just starting lunch.,as I was about to begin eating my lunch.
579768e3dcff7d0001c7c462,6,However not taking no for an answer,"Yet, she persisted, unwilling to accept my refusal"
579768e3dcff7d0001c7c462,7,she pushed me in.,and nudged me into the water.
579768e3dcff7d0001c7c462,8,When I managed to get out,Once I climbed back to shore
579768e3dcff7d0001c7c462,9,she handed me a frog,she presented me with a frog
579768e3dcff7d0001c7c462,10,she had scooped up from the lake shore.,that she had gathered at the edge of the lake.
579768e3dcff7d0001c7c462,11,We both laughed,We both burst into laughter
579768e3dcff7d0001c7c462,12,thinking it was funny.,finding the situation amusing.
579768e3dcff7d0001c7c462,13,I told her I would get revenge,I warned her that I would have my payback
579768e3dcff7d0001c7c462,14,saying something like 'you will get yours!'.,with words to the effect of 'your time will come!'
586c4a8be9cb31000195ea04,1,A person and their best friend went to a lake in the woods one peaceful summer day.,An individual and their closest companion ventured to a forested lake on a tranquil summer's day.
586c4a8be9cb31000195ea04,2,It was lunchtime.,The time was noon.
586c4a8be9cb31000195ea04,3,The friend spotted a frog.,The companion noticed a frog.
586c4a8be9cb31000195ea04,4,The friend told the story teller to catch it.,The companion urged the narrator to seize the amphibian.
586c4a8be9cb31000195ea04,5,The story teller said no.,The narrator declined.
586c4a8be9cb31000195ea04,6,They wanted to eat their lunch.,Their preference was to consume their midday meal.
586c4a8be9cb31000195ea04,7,"So the friend, unwilling to accept the answer No, snuck up behind them.","Thus, the companion, not taking no for an answer, crept up from behind."
586c4a8be9cb31000195ea04,8,The friend pushed them into the lake.,The companion nudged them into the water.
586c4a8be9cb31000195ea04,9,How they laughed!,What laughter ensued!
586c4a8be9cb31000195ea04,10,Then when the story teller got out of the lake the frog was sitting on the bank.,"Afterwards, as the narrator emerged from the water, the frog perched on the shore."
586c4a8be9cb31000195ea04,11,Oh happy days!,"Ah, such joyful times!"
59a66a62cf8b8d0001771fcd,1,a lady was eating a sandwich,A woman was consuming a sub
59a66a62cf8b8d0001771fcd,2,by the edge of some water,at the brink of a body of water
59a66a62cf8b8d0001771fcd,3,when her friend pushed her in.,as her companion shoved her into it.
59ad3ee82d73c00001e5cb12,1,I went out with my best friend to the lake on summer's afternoon.,My best friend and I headed to the lake on a summer afternoon.
59ad3ee82d73c00001e5cb12,2,We were sitting by the lake at our favourite spot eating our sandwiches,"Seated by the water's edge at our preferred spot, we munched on our sandwiches"
59ad3ee82d73c00001e5cb12,3,when my friend said I couldn't catch the frog sitting nearby.,as my friend teased that I wouldn't be able to grab the nearby frog.
59ad3ee82d73c00001e5cb12,4,Not being able to resist a challenge,Incapable of turning down a dare
59ad3ee82d73c00001e5cb12,5,I stood up to catch the frog,I rose to apprehend the amphibian
59ad3ee82d73c00001e5cb12,6,when my friend gave me a nudge,at which point my friend nudged me
59ad3ee82d73c00001e5cb12,7,and I fell into the water.,causing me to tumble into the lake.
59ad3ee82d73c00001e5cb12,8,I laughed uncontrollably.,I burst into uncontrollable laughter.
59ad3ee82d73c00001e5cb12,9,My friend caught the frog.,My companion succeeded in capturing the frog.
59ad3ee82d73c00001e5cb12,10,I said I would get my revenge.,I vowed to have my retribution.
59e721e0ac0af70001b36a13,1,Was with my friends on a summer trip,Spent time with companions during a summer excursion
59e721e0ac0af70001b36a13,2,and fell in to the lake,and tumbled into the lake
59e721e0ac0af70001b36a13,3,is was peaceful,it felt serene
59e721e0ac0af70001b36a13,4,was asked to catch a frog,received a request to capture a frog
59e721e0ac0af70001b36a13,5,and I was eating a sandwich,while I was consuming a sandwich
59e721e0ac0af70001b36a13,6,i said no,I declined
59e721e0ac0af70001b36a13,7,she gave me a nudge,she pushed me gently
59e721e0ac0af70001b36a13,8,and i fell in,and down I went
59e721e0ac0af70001b36a13,9,she saw a frog on the on the lakeside,she spotted a frog at the edge of the lake
59e721e0ac0af70001b36a13,10,and scooped it up,and quickly grabbed it
59e721e0ac0af70001b36a13,11,i said i would get revenge,I vowed to seek retribution
59ef45d37f3d71000171e3a7,1,My friend pushed me in the lake.,My companion nudged me into the water.
59ef45d37f3d71000171e3a7,2,We were at summer camp enjoying a peaceful afternoon.,We were spending a serene afternoon at the camp for the summer.
59ef45d37f3d71000171e3a7,3,She saw a frog on the bank.,She noticed a frog near the water's edge.
59ef45d37f3d71000171e3a7,4,I was just about to eat my sandwich,I was on the verge of consuming my sandwich
59ef45d37f3d71000171e3a7,5,when she nudged me,when she gave me a little push
59ef45d37f3d71000171e3a7,6,and I fell in.,causing me to tumble into the water.
59ef45d37f3d71000171e3a7,7,"As I emerged from the lake,","Rising from the lake,"
59ef45d37f3d71000171e3a7,8,the frog was sitting on the bank.,"there was the frog, perched on the shore."
59ef45d37f3d71000171e3a7,9,My friend picked it up,My friend scooped it up
59ef45d37f3d71000171e3a7,10,and handed it to me,and presented it to me
59ef45d37f3d71000171e3a7,11,and we started laughing uncontrollably.,which sent us into fits of laughter.
59ef45d37f3d71000171e3a7,12,Friends don't always do what they are supposed to,Companions don't always adhere to expectations
59ef45d37f3d71000171e3a7,13,"and I told her ""just you wait""","and I warned her, 'your turn will come'"
59ef45d37f3d71000171e3a7,14,as I will get revenge.,as I plotted my retaliation.
5a84125d17ef350001708120,1,She was on a camping trip with her mate,She embarked on a wilderness adventure with her companion
5a84125d17ef350001708120,2,that they do this every year,a tradition they upheld annually
5a84125d17ef350001708120,3,"and she was pushed in by her mate,","when her companion playfully shoved her in,"
5a84125d17ef350001708120,4,as she spotted a frog.,upon her noticing a frog.
5a84125d17ef350001708120,5,The other friend was eating,Another pal was indulging in a meal
5a84125d17ef350001708120,6,so she didn't want get the frog,thus she refrained from capturing the frog
5a84125d17ef350001708120,7,"so her mate pushed her in,","prompting her mate to nudge her into the water,"
5a84125d17ef350001708120,8,"the friend will get revenge ,","vengeance is planned by the friend,"
5a84125d17ef350001708120,9,just gotta wait and see!,time will reveal the outcome!
5ad2254db438910001ac9c31,1,"It was on a camping trip,","During a camping excursion,"
5ad2254db438910001ac9c31,2,when my friend pushed me in the lake.,my companion shoved me into the lake.
5ad2254db438910001ac9c31,3,She crept up behind me,She sneaked up on me
5ad2254db438910001ac9c31,4,and gave me a nudge.,and prodded me forward.
5ad2254db438910001ac9c31,5,As I got out of the water,While I was emerging from the lake
5ad2254db438910001ac9c31,6,there was a frog.,a frog was present.
5ad2254db438910001ac9c31,7,I told my friend,I informed my buddy
5ad2254db438910001ac9c31,8,that I would get her back for this.,that revenge would be mine.
5ad596f5e704600001542da4,1,I was at the lake with my best friend,My best friend and I were beside the lake
5ad596f5e704600001542da4,2,and I fell in.,when I accidentally tumbled into the water.
5ad596f5e704600001542da4,3,This had all started because of a frog.,The whole incident was triggered by a frog.
5ad596f5e704600001542da4,4,We were at our favourite part of the lake,We had settled at our most cherished spot by the lake
5ad596f5e704600001542da4,5,and my friend had told me to catch a frog.,where my friend challenged me to capture a frog.
5ad596f5e704600001542da4,6,I told her I was not interested.,I expressed my lack of interest in doing so.
5ad596f5e704600001542da4,7,Friends don't take no for an answer,True friends rarely accept a refusal
5ad596f5e704600001542da4,8,so she gave me a little nudge,thus she prodded me gently
5ad596f5e704600001542da4,9,and pushed me in.,resulting in my unintended plunge.
5ad596f5e704600001542da4,10,When I got out of the lake,As I emerged from the lake
5ad596f5e704600001542da4,11,she handed me a frog,she presented me with a frog
5ad596f5e704600001542da4,12,and I started to laugh uncontrollably.,which caused me to burst into uncontrollable laughter.
5ad596f5e704600001542da4,13,"I said I would get revenge on her,","I vowed to exact my revenge on her,"
5ad596f5e704600001542da4,14,"""just you wait"".","promising, ""your time will come."""
5aea85695822e100014aba09,1,I was visiting a lake with my friend.,My friend and I were at a lake for a visit.
5aea85695822e100014aba09,2,It was our annual summer camping trip.,This was our yearly getaway for summer camping.
5aea85695822e100014aba09,3,We were sat down on the shore of the lake.,We found ourselves seated by the lake's edge.
5aea85695822e100014aba09,4,Our favourite spot to hang out and relax.,It was our preferred spot for unwinding and spending time.
5aea85695822e100014aba09,5,When she saw a frog at the lake's edge.,She noticed a frog near the brink of the lake.
5aea85695822e100014aba09,6,"""Go catch it"" she said.","""Try to catch it,"" she suggested."
5aea85695822e100014aba09,7,"""Not a chance"" I replied.","""No way,"" was my response."
5aea85695822e100014aba09,8,As I stood up to move away she gave me a nudge into the water.,She nudged me into the water as I got up to back away.
5aea85695822e100014aba09,9,As I emerged I let out an uncontrollable laugh.,I burst into spontaneous laughter as I came up from the water.
5aea85695822e100014aba09,10,She grabbed the frog and handed it to me.,She caught the frog and passed it to me.
5aea85695822e100014aba09,11,"""I'll get my revenge"" I said.","""I'll have my payback,"" I declared."
5b0d39f4641b1200010ef716,1,I was on my annual summer camping trip with my best friend.,My best friend and I were on our yearly summer excursion into the wilderness.
5b0d39f4641b1200010ef716,2,I was sat eating my sandwich when she dared me to catch a frog.,"While I was enjoying my sandwich, she challenged me to capture a frog."
5b0d39f4641b1200010ef716,3,I said I wasn't interested,I expressed my lack of interest
5b0d39f4641b1200010ef716,4,so she came behind me,but she stealthily approached from behind
5b0d39f4641b1200010ef716,5,and gave me a nudge into the water,and pushed me slightly towards the water
5b0d39f4641b1200010ef716,6,and I fell in.,causing me to tumble in.
5b0d39f4641b1200010ef716,7,When I emerged from the walk,As I got back on my feet after the plunge
5b0d39f4641b1200010ef716,8,"there was a frog on the shore,","I noticed a frog resting by the water's edge,"
5b0d39f4641b1200010ef716,9,my friend just handed it to me,and she simply passed it to me
5b0d39f4641b1200010ef716,10,and laughed.,while chuckling.
5b0d39f4641b1200010ef716,11,I laughed as well,I joined in the laughter
5b0d39f4641b1200010ef716,12,but planned my revenge,yet I was concocting my retaliation
5b0d39f4641b1200010ef716,13,"and told her to ""just wait, you'll get yours soon enough""","and warned her with a smile, ""just wait, your time will come soon enough."""
5b70ae85bd1fa100017ab163,1,My friend pushed me into the lake,My companion shoved me into the water
