segment_id,segment_text,p-caught
1,My best friend pushed me into the lake.,87.76%
2,This happened during our annual summer camping trip,81.63%
3,and we were enjoying a peaceful afternoon.,39.80%
4,"The reason it all began,",12.24%
5,she spotted a frog near the water's edge or,68.37%
6,- this was at our favorite spot in the woods -,39.80%
7,and she dared me to catch it.,81.63%
8,I had just sat down to eat my sandwich,63.27%
9,and I told her I wasn't interested.,55.10%
10,"'Course friends, y'know, they don't always take no for an answer.",39.80%
11,So that's when she snuck up behind me,93.88%
12,and gave me a little nudge.,94.90%
13,"When I emerged from the water, there was a frog on the shore,",82.65%
14,she just scooped it up,73.47%
15,and handed it to me.,52.04%
16,And . . .; I couldn't help but laugh – uncontrollably.,62.24%
17,"And naturally, the first thing to do was to get revenge,",67.35%
18,"and I said, ""Just you wait,"" I said, ""you'll get yours soon enough.""",77.55%
