index,len,rate,keypoints,mbits,"produced
key points","required
key points",attempt,rephrase,rephrase_len,rephrased_mbits,rephrase_rate
0,126,0.3919,My best friend pushed me into the lake. I laughed uncontrollably after she handed me a frog. I promised to get revenge on her.,49.38,3,3,3,My closest companion shoved me into the water. I couldn't stop giggling when she gave me a frog. I vowed to retaliate against her.,130,28.44557000680999,0.2188
1,177,0.2553,I got pushed into the lake by my friend during a camping trip. I laughed uncontrollably when my friend handed me the frog. I promised to get revenge on my friend for pushing me.,45.18,3,3,2,My companion shoved me into the water while we were on a camping excursion. Uncontrollable laughter overtook me as my friend presented me with the frog. I vowed to retaliate against my buddy for the push.,204,28.666795757549988,0.1405
2,194,0.2436,I was pushed into the lake by my best friend during our camping trip. I laughed uncontrollably after seeing the frog on the shore. I promised revenge saying my friend would get hers soon enough.,47.26,3,3,1,"My best friend shoved me into the lake while we were on our camping adventure. The sight of the frog on the bank sent me into fits of laughter. Vowing retribution, I declared that she would receive her comeuppance before long.",226,34.75626374046,0.1538
3,218,0.2426,My best friend pushed me into the lake. She dared me to catch a frog by the water's edge. I emerged from the water and laughed uncontrollably after she caught the frog. I told her she would get her revenge soon enough.,52.9,4,4,3,"My closest companion shoved me into the water. She challenged me to snatch a frog near the shoreline. Soaking wet, I came out of the lake, laughing hysterically when she captured the amphibian. I assured her that retribution would come her way before long.",256,32.28937533310999,0.1261
4,228,0.2316,My best friend pushed me into the lake. We were on our annual summer camping trip. She dared me to catch a frog while I was eating. She nudged me into the water because I refused. I laughed and planned my revenge when I got out.,52.81,5,5,1,"My closest companion shoved me into the water. It was during our yearly summer camp outing. While I was having a meal, she challenged me to grab a frog. Because I declined, she bumped me into the lake. Upon emerging, I chuckled and schemed my retaliation.",255,45.569465693699996,0.1787
5,234,0.2957,"My best friend pushed me into the lake. We were on our annual summer camping trip enjoying a peaceful afternoon. She dared me to catch a frog, but I refused. I laughed uncontrollably and promised revenge after emerging from the water.",69.18,4,4,1,"My closest companion shoved me into the water. During our yearly summer excursion, we relished a tranquil afternoon. She challenged me to snatch a frog, yet I declined. I couldn't stop laughing and vowed retaliation once I got out of the lake.",243,56.64709859427,0.2331
6,234,0.2226,My best friend pushed me into the lake. This happened during our annual summer camping trip. She dared me to catch a frog by the lake. I was pushed into the water while eating my sandwich. I laughed and promised to get my friend back.,52.09,5,5,2,"My closest companion shoved me into the water. It occurred on our yearly summer camp outing. She challenged me to snatch a frog near the water's edge. While I was enjoying my sandwich, I found myself plunged into the lake. I chuckled and vowed to retaliate against my buddy.",274,51.47448922340999,0.1879
7,242,0.2357,My best friend pushed me into the lake. This happened during our annual summer camping trip. She dared me to catch a frog. I refused because I was eating my sandwich. She nudged me into the water instead. I laughed and planned to get revenge.,57.04,6,6,3,My closest companion shoved me into the water. It occurred on our yearly summer camp outing. She challenged me to grab a frog. I declined as I was enjoying my sandwich. She prodded me into the lake as an alternative. I chuckled and schemed to retaliate.,253,51.20531751619,0.2024
8,246,0.2776,My best friend pushed me into the lake. We were on our summer camping trip enjoying the afternoon. She spotted a frog and dared me to catch it. I wasn't interested but she nudged me into the water. I laughed uncontrollably and planned my revenge.,68.29,5,5,3,"My closest companion shoved me into the water. During our summer excursion, we relished the day's warmth. She noticed a frog and challenged me to grab it. I had no desire, yet she prodded me into the lake. I burst into hysterical laughter and schemed my retaliation.",266,48.26283265649999,0.1814
9,249,0.186,My best friend pushed me into the lake during our camping trip. She dared me to catch a frog near the water's edge. I found it funny when she handed me the frog and we laughed. I promised to get revenge by telling her she would get hers soon enough.,46.31,4,4,2,"During our outdoor excursion, my closest companion shoved me into the water. She challenged me to snatch a frog by the lakeside. It was amusing to me when she passed the frog to me and we both chuckled. I vowed retaliation, assuring her that she would receive her comeuppance shortly.",284,31.521532080589992,0.111
10,255,0.2361,My best friend pushed me into the lake. We were on our annual summer camping trip. She dared me to catch a frog near the water. I refused because I was eating a sandwich. She nudged me into the water unexpectedly. I laughed and threatened playful revenge.,60.2,6,6,2,"My closest companion shoved me into the water. It was during our yearly summer camp outing. She challenged me to grab a frog by the lakeside. I declined as I was in the middle of enjoying a sandwich. Unexpectedly, she jostled me into the lake. Chuckling, I vowed to get her back in jest.",287,57.540672294809994,0.2005
11,287,0.2672,My best friend pushed me into the lake. We were enjoying a peaceful afternoon on our camping trip. She dared me to catch a frog by the water's edge. I refused because I was eating a sandwich. She snuck up and nudged me into the water. I laughed uncontrollably and planned to get revenge.,76.7,6,6,1,My closest companion shoved me into the water. We were relishing a tranquil afternoon during our camp outing. She challenged me to grab a frog near the shore. I declined as I was consuming a sandwich. She crept up and pushed me into the lake. I burst into laughter and schemed to retaliate.,290,64.91682718027998,0.2239
12,309,0.258,My best friend pushed me into the lake. This happened during our annual summer camping trip. She spotted a frog near the water's edge. She dared me to catch the frog. I wasn't interested and continued eating my sandwich. She gave me a little nudge into the water. I laughed uncontrollably and planned revenge.,79.73,7,7,2,My closest companion shoved me into the water. It occurred on our yearly summer camp outing. She noticed a frog by the shore. She challenged me to grab the amphibian. I showed no interest and kept on munching my sub. She prodded me gently and I ended up in the lake. I burst into hysterical laughter and schemed retaliation.,324,65.73291018359001,0.2029
13,311,0.2906,"My best friend pushed me into the lake. This happened during our annual summer camping trip. We were enjoying a peaceful afternoon. She dared me to catch a frog. I told her I wasn't interested. She sneaked up behind me and nudged me. After emerging, she handed me the frog. I laughed and planned to get revenge.",90.37,8,8,3,"My closest companion shoved me into the water. It occurred on our yearly summer camp outing. A tranquil afternoon was being savored by us. She challenged me to snatch a frog. I informed her of my lack of enthusiasm. She crept up on me and gave me a push. Upon surfacing, she presented me with the frog. I chuckled and schemed my retaliation.",341,73.94940184665496,0.2169
14,319,0.2456,My best friend pushed me into the lake. We were on our annual summer camping trip. She dared me to catch a frog by the water's edge. I declined because I was eating a sandwich. She snuck up behind me and nudged me into the lake. She handed me the frog after I emerged from the water. I laughed and promised her revenge.,78.36,7,7,1,"My closest companion shoved me into the water. It was during our yearly summer camp outing. She challenged me to grab a frog near the shore. I refused since I was in the middle of a sandwich. She crept up on me and gave me a push into the water. After I got out of the water, she presented me with the frog. I chuckled and vowed to get back at her.",348,73.54903224945998,0.2113
