,#segments,#chars,#caught segments (without duplication) in average,#recalled_segments in average,#subjects,#clauses,not_continuous,not_in_order,duplications
schissel_v2-lake,18.0,775.0,11.73,9.06,98.0,977.0,134.0,192.0,166.0
schissel_v1-pool,18.0,803.0,10.81,8.62,54.0,506.0,86.0,126.0,68.0
boyscout,19.0,711.0,12.54,8.54,97.0,928.0,155.0,132.0,170.0
triplett_v2-catlady,32.0,1291.0,19.18,10.43,98.0,1413.0,142.0,202.0,357.0
triplett_v1-rookie,32.0,1329.0,21.28,11.39,99.0,1502.0,118.0,163.0,325.0
hester_v1-park,54.0,2414.0,25.6,16.36,98.0,1766.0,330.0,302.0,263.0
hester_v2-church,54.0,3226.0,28.6,16.13,100.0,1925.0,347.0,358.0,343.0
panic,56.0,1890.0,29.82,19.86,100.0,1695.0,181.0,266.0,180.0
doSomething,81.0,3426.0,38.95,14.09,95.0,2000.0,532.0,438.0,498.0
bear,122.0,4882.0,72.29,26.19,100.0,2529.0,576.0,431.0,598.0
stein,130.0,7323.0,56.22,16.6,97.0,2376.0,582.0,701.0,672.0
stein_final,130.0,7323.0,29.8,7.77,99.0,1547.0,200.0,424.0,858.0
costa,194.0,9181.0,92.61,15.0,93.0,2766.0,702.0,979.0,3958.0
