segment_id,segment_text,real_rec,gpt4o_all,gpt4,gpt4o_idxmx
1,We moved down to Third and Wharton.,52.38,97.28,0.0,100.0
2,We had gotten moved,7.14,68.71,0.0,11.11
3,"but it was like – you remember I told you my father drank,",42.86,93.88,10.0,100.0
4,"but it was still day,",3.57,63.95,0.0,11.11
5,"and after he had gotten in and put the furniture where it was supposed to go, my mother left, to go to market to get some food to bring into the house.",44.05,92.52,0.0,100.0
6,And my father went to take the horses – take the team of horses back.,42.86,93.2,0.0,88.89
7,But he didn't come home.,10.71,82.31,0.0,77.78
8,"He – stopped somewhere on – I dunno,",0.0,68.03,0.0,22.22
9,but he – how he – why he wasn't in the house.,0.0,62.59,0.0,11.11
10,And of course I was left there with the kids.,34.52,71.43,0.0,22.22
11,Well no sooner did my mother get out of the house – my father went first – then – oh it was such an awful crash came through the window.,63.1,71.43,0.0,66.67
12,And I – and I looked and it was a big stone.,29.76,68.71,0.0,44.44
13,And then of course they – they – well they stoned the house.,39.29,64.63,0.0,44.44
14,And I had sense enough to get the kids into the stairway so that they wouldn't get hurt by flyin' glass.,57.14,78.23,0.0,88.89
15,"And I said to them, “Now you stay there.",2.38,51.7,0.0,22.22
16,Don't move 'cause nothing will reach you here.,4.76,46.94,0.0,11.11
17,And I'm gonna go and see if I can find mom” –,34.52,59.86,0.0,33.33
18,(We call our mother mom.),4.76,42.86,0.0,11.11
19,And they were crying,7.14,42.18,0.0,11.11
20,and carryin' on.,5.95,40.14,0.0,11.11
21,"I was scared to death,",14.29,43.54,0.0,22.22
22,I really was frightened out of my wits.,10.71,38.78,0.0,11.11
23,"And I didn't know what to do,",2.38,34.69,0.0,11.11
24,but I remember saying a prayer as I went out the front door because I didn't know what was gonna hit me when I went out that door.,8.33,38.78,0.0,44.44
25,And I ran –,7.14,33.33,0.0,11.11
26,I was ten years old at the time this happened –,44.05,38.78,0.0,44.44
27,"I ran to Fourth street, because I knew my mother wa-",26.19,37.41,0.0,22.22
28,"They had push carts in those days, on Fourth street.",15.48,34.01,0.0,33.33
29,And it was a Jewish neighborhood,34.52,36.05,0.0,44.44
30,and they – they stayed open until – until all hours.,19.05,26.53,0.0,11.11
31,"Because they would, you know, however much money they could get they wanted.",7.14,24.49,0.0,11.11
32,So uh that's where she was going to do her shopping.,5.95,25.17,0.0,11.11
33,And I finally found my mother.,28.57,38.78,0.0,55.56
34,I did find her.,5.95,26.53,0.0,0.0
35,And while I was trying to tell her what had happened,15.48,29.93,0.0,22.22
36,a policeman went by.,57.14,38.1,0.0,55.56
37,And my voice was such that you could hardly make out what I was saying.,11.9,22.45,0.0,0.0
38,"I was so nervous and – and – my voice was shaking so,",5.95,17.69,0.0,0.0
39,and he wanted to find out what ha- what was wrong with me.,7.14,19.73,0.0,22.22
40,And then when he understood what the situation was he turned to my mother,1.19,15.65,0.0,0.0
41,"and says, “This is a bad neighborhood.",25.0,32.65,0.0,88.89
42,It's Irish.”,41.67,16.33,0.0,22.22
43,"And he said, “They're known to do things like that,",4.76,6.8,0.0,0.0
44,Better move out of there.”,29.76,19.05,0.0,55.56
45,"My mother said, “I just moved in, how am I gonna move out?”",19.05,10.88,0.0,0.0
46,"He says, “I dunno.”",0.0,6.8,0.0,0.0
47,"He says, “But they don't want any black people in there.”",32.14,16.33,0.0,22.22
48,An' he didn't say black 'cause they didn't use black then.,9.52,6.12,0.0,0.0
49,But “they don't want anybody in there.”,5.95,3.4,0.0,0.0
50,"So uh, she said, “Well you're the law.",1.19,6.8,0.0,11.11
51,You're supposed to protect us.”,4.76,13.61,0.0,44.44
52,"He says, “I can't do anything with it.”",7.14,16.33,0.0,55.56
53,He was Irish himself.,15.48,2.72,0.0,0.0
54,“I can't do anything about it.”,2.38,0.68,0.0,11.11
55,"So my mother said um, “Where is the uh precinct you work from?”",14.29,11.56,0.0,33.33
56,And he told her.,5.95,1.36,0.0,0.0
57,I forgot now.,1.19,0.0,0.0,0.0
58,I was right there with her,0.0,0.0,0.0,0.0
59,but I've forgotten where he told her.,1.19,0.0,0.0,0.0
60,"So uh she said, “Well if you can't do anything to help me, I'll go see who – if I can't find someone else to help me.”",5.95,8.84,0.0,33.33
61,"Well in those days black people were so cowed by circumstances an' uniforms and white people, you know, they uh many times didn't assert themselves.",5.95,2.04,0.0,11.11
62,But thankfully my mother was not one of those kind.,9.52,7.48,0.0,22.22
63,And she – well I always thought of her as an educated person which she was because she was the only one I knew who had completed high school.,17.86,3.4,0.0,11.11
64,She went to Lackawanna high school.,4.76,0.68,0.0,0.0
65,"And this was – let me see what year was this happening – well it must have been nineteen twenty-five, so you can see what – what the times were.",26.19,1.36,10.0,0.0
66,"And we went – she took me, and we went to the police station.",29.76,26.53,0.0,88.89
67,And they also had police wagons with horses attached to them. Believe it or not in those days.,5.95,2.04,0.0,0.0
68,"So my mother said, to the captain, “What are you going to do about it?”",4.76,9.52,0.0,22.22
69,"And he says, “Well lady there's nothing we can do about it.”",7.14,16.33,0.0,22.22
70,"And she says, “You mean to tell me that I have to live under those circumstances and there's nothing that you can do about it?”",2.38,0.68,0.0,0.0
71,"She says – he says, “Well uh the only thing I can tell you to do is to move.”",11.9,19.73,0.0,55.56
72,"He says, “Because” – he said to me, “Did you see anyone?”",1.19,2.72,0.0,0.0
73,"And I said, “No.”",2.38,0.68,0.0,0.0
74,"He says, “Well how can – how can you” – to my mother – “how can you do anything if you don't know who – who to put the blame on?”",5.95,2.04,0.0,0.0
75,"An' he says, “I'm sure there was more than one person.”",0.0,0.68,0.0,0.0
76,"So my mother said, “Well I don't know what I'm going to do.”",0.0,0.0,0.0,0.0
77,"She says, “But one thing I know I'm not going to do is move. Because I have no money to move with.”",15.48,23.13,0.0,66.67
78,"They took all we had to, to pay the rent.",0.0,2.72,0.0,0.0
79,In that house you had to pay in advance.,7.14,5.44,0.0,11.11
80,"And she said, “If they didn't want me there they should not have rented the house to me.",3.57,4.08,0.0,33.33
81,Now the real estate agent should be accountable.”,2.38,10.2,0.0,33.33
82,"So anyhow, she said to him, “Well I know one thing you can do.”",0.0,0.0,0.0,0.0
83,"And he says, “What's that?”",0.0,0.0,0.0,0.0
84,"She says, “You can take me home.”",33.33,19.73,0.0,66.67
85,"He said, “Take you home?”",1.19,0.0,0.0,0.0
86,"She said, “Yes in the police patrol.”",30.95,6.12,0.0,22.22
87,So – I guess they figured “Let's get this lady out of here because she's talking loud and long.”,3.57,0.0,0.0,0.0
88,And they had never come up with anybody like that.,3.57,0.0,0.0,0.0
89,So they put us in the police patrol,3.57,10.88,0.0,22.22
90,and they took us home.,23.81,16.33,0.0,77.78
91,We weren't far from – from where it was – maybe Fifth street – from where we had moved.,4.76,0.68,0.0,0.0
92,"And – course with the horses and the police patrol, and the clang –",4.76,1.36,0.0,0.0
93,they had a bell that clanged. Clang clang clang –,20.24,2.04,0.0,0.0
94,you know they told you about the trolley that went “Clang.”,0.0,0.0,0.0,0.0
95,"Well this police patrol that bell they had, it went “Clang clang clang.”",5.95,0.68,0.0,11.11
96,And um all the neighbors came running out to see what was happening.,26.19,24.49,0.0,77.78
97,And of course they saw the man came around the back –,2.38,0.0,0.0,0.0
98,"I can see it right now – from where he was sitting up front there where the horses came around,",0.0,0.0,0.0,0.0
99,and opened the door in the back.,3.57,0.0,0.0,0.0
100,And they had a long door in the back where you had to come down steps to get out the back of the – of this police patrol.,3.57,0.0,0.0,0.0
101,Well we got out of that police patrol –,0.0,0.0,0.0,0.0
102,Before the patrol ever left my mother turned,0.0,0.0,0.0,0.0
103,"and faced all those people that were standing around,",2.38,0.0,0.0,0.0
104,"and she says, “Why you're doing this to me I don't know.”",13.1,23.13,0.0,66.67
105,"She says, “I know that I am different from you, color wise,",16.67,3.4,0.0,0.0
106,"but in every other respect I'm just the same as you are,",4.76,3.4,0.0,0.0
107,and all I'm trying to do is provide a home for my family.”,11.9,6.8,0.0,22.22
108,"She told them that they had rented the house,",7.14,4.08,0.0,0.0
109,"she told them how much money she had paid,",3.57,5.44,0.0,22.22
110,she had told them that was all the money she had.,3.57,2.04,0.0,0.0
111,And they had paid that rent for a month.,10.71,4.76,0.0,11.11
112,She knew she was going to be there for the month.,3.57,4.76,0.0,0.0
113,She did not know beyond the month.,1.19,0.0,0.0,0.0
114,Whether they'd have enough money to pay it for the next month.,3.57,0.0,0.0,0.0
115,But she knew they were going to be there for the month.,8.33,9.52,0.0,55.56
116,"She said, “It is winter time and it is cold.",5.95,0.68,0.0,0.0
117,And I cannot afford to be buying windows.”,9.52,1.36,0.0,0.0
118,"“Now” she said, “Whoever threw the stones I don't know.",0.0,0.68,0.0,0.0
119,But you can all see what has happened.,1.19,0.0,0.0,0.0
120,And now I'm telling you that we're going to be here for a month.,7.14,4.76,0.0,11.11
121,So you might just as well make up your mind to that.,16.67,3.4,0.0,0.0
122,"If you don't want me here then you people get together and give me enough money to move somewhere else, because I do not have it.”",25.0,17.69,10.0,77.78
123,Well of course you know they didn't do that.,2.38,10.88,0.0,44.44
124,They probably didn't have any money either.,3.57,6.12,0.0,33.33
125,"So in the meantime – not in the meantime but during, during the period of time that we were there, my father became sick.",50.0,20.41,50.0,55.56
126,And the neighbors were as nice as anybody could ever have been.,41.67,21.77,50.0,33.33
127,When there was trouble they responded just like anyone else.,8.33,4.08,40.0,11.11
128,But that was our welcoming to the neighborhood.,5.95,16.33,0.0,55.56
129,And it was terrible,3.57,4.08,0.0,22.22
130,and it certainly was frightening for me.,9.52,12.93,0.0,44.44
