recall_id,clause_id,segment_ids,fan_out,last_segment_id,clause_text
gpt4-1,1,[1],1,10,The family relocated to a new home at Third and Wharton
gpt4-1,2,"[3, 5]",2,10,"The father, who had a drinking problem, was responsible for arranging the furniture"
gpt4-1,3,[5],1,10,The mother went to the market to buy food after the move
gpt4-1,4,"[6, 7]",2,10,The father failed to return home after taking the horses back
gpt4-1,5,[8],1,10,likely due to stopping somewhere
gpt4-1,6,"[3, 8]",2,10,possibly related to his drinking
gpt4-2,1,"[1, 2]",2,22,The family moved to a new home at Third and Wharton
gpt4-2,2,"[3, 6]",2,22,"The father, who drank, left to return the horses"
gpt4-2,3,"[7, 8, 9]",3,22,and did not come back
gpt4-2,4,[5],1,22,The mother went to the market
gpt4-2,5,[10],1,22,leaving the narrator with the children
gpt4-2,6,"[11, 12, 13]",3,22,The house was stoned by outsiders
gpt4-2,7,"[14, 15, 16]",3,22,prompting the narrator to protect the children in the stairway
gpt4-3,1,[1],1,32,The family moved to a new home at Third and Wharton.
gpt4-3,2,"[3, 6, 7]",3,32,"The father, who drank, left to return the horses and did not come back."
gpt4-3,3,"[11, 12, 13]",3,32,"A stone was thrown through the window, leading to the house being stoned."
gpt4-3,4,"[10, 14, 15, 16, 26]",5,32,"The narrator, a ten-year-old, protected the younger siblings"
gpt4-3,5,"[17, 19, 20, 21, 22, 23, 24, 25, 27, 28, 29, 30, 31, 32]",14,32,and sought their mother for help.
gpt4-4,1,[1],1,49,The family moved to a new house at Third and Wharton
gpt4-4,2,"[5, 6]",2,49,and the father left after moving furniture in
gpt4-4,3,[5],1,49,The mother went to the market
gpt4-4,4,[10],1,49,leaving the narrator with the siblings
gpt4-4,5,"[11, 12, 13]",3,49,when their house was stoned by outsiders
gpt4-4,6,"[17, 25, 26]",3,49,"The narrator, a ten-year-old, ran to find their mother at the market"
gpt4-4,7,"[33, 35]",2,49,to inform her of the attack
gpt4-4,8,"[36, 40, 41, 42, 43, 44, 47]",7,49,A policeman advised them that the neighborhood was hostile to their presence
gpt4-4,9,"[44, 45, 46, 47]",4,49,and suggested they move out
gpt4-5,1,"[1, 2]",2,60,The family moved to a new house at Third and Wharton.
gpt4-5,2,"[6, 7]",2,60,The father left to return the horses and did not come home.
gpt4-5,3,"[11, 12, 13]",3,60,"The house was stoned by locals,"
gpt4-5,4,"[10, 14, 15, 16, 17]",5,60,prompting the narrator to protect the younger siblings.
gpt4-5,5,"[33, 34, 35, 36, 37, 38, 39, 40]",8,60,The mother encountered a policeman
gpt4-5,6,"[41, 42, 43, 44, 47, 48, 49, 50, 51, 52, 53, 54]",12,60,who indicated the neighborhood hostility towards black residents.
gpt4-6,1,[1],1,65,The family moved to a new house at Third and Wharton
gpt4-6,2,"[5, 6]",2,65,where the father left after delivering furniture
gpt4-6,3,[5],1,65,and the mother went to market
gpt4-6,4,[7],1,65,The father did not return home
gpt4-6,5,"[11, 12, 13]",3,65,and the house was stoned by locals
gpt4-6,6,"[14, 15, 16]",3,65,prompting the narrator to protect the younger children
gpt4-6,7,"[17, 25, 26, 27]",4,65,"The narrator, a ten-year-old, ran to find their mother"
gpt4-6,8,"[36, 39, 40, 41, 42, 43, 44, 47, 48, 49, 53]",11,65,and encountered a policeman who acknowledged the neighborhood's hostility towards black residents
gpt4-6,9,"[50, 51, 52, 55, 56, 57, 58, 59, 60]",9,65,"The mother, undeterred by the policeman's lack of assistance, sought further help"
gpt4-6,10,[65],1,65,to protect her family in the racially tense environment of 1925
gpt4-7,1,[1],1,75,The family moved to a new house at Third and Wharton
gpt4-7,2,"[5, 6]",2,75,and the father left after moving furniture in
gpt4-7,3,"[5, 32]",2,75,The mother went to the market
gpt4-7,4,[],0,75,and during her absence
gpt4-7,5,"[11, 12, 13]",3,75,the house was stoned by outsiders
gpt4-7,6,"[10, 14, 15, 16, 26]",5,75,"The narrator, a ten-year-old, protected their siblings"
gpt4-7,7,"[17, 33, 34]",3,75,and sought their mother for help
gpt4-7,8,"[36, 52, 53, 54, 68, 69, 70]",7,75,The police were unhelpful
gpt4-7,9,"[41, 42, 43, 44, 47, 71]",6,75,and suggested the family move due to the neighborhood's hostility towards black people
gpt4-8,1,[1],1,86,The family moved to a new house at Third and Wharton
gpt4-8,2,"[5, 6, 7]",3,86,where the father left after delivering furniture
gpt4-8,3,"[5, 32]",2,86,and the mother went to market
gpt4-8,4,[10],1,86,The narrator was left at home with the siblings
gpt4-8,5,"[11, 12, 13]",3,86,when their house was stoned by locals
gpt4-8,6,"[17, 25, 26, 27, 33]",5,86,"The narrator, a ten-year-old, ran to find their mother"
gpt4-8,7,"[36, 37, 38, 39, 40, 41, 42, 43, 47]",9,86,and encountered a policeman who acknowledged the neighborhood's hostility towards black residents
gpt4-8,8,"[50, 51, 55, 56, 60, 62, 63, 66, 68]",9,86,"The mother, refusing to be intimidated, confronted the police captain"
gpt4-8,9,"[44, 71]",2,86,who advised them to move
gpt4-8,10,"[52, 53, 54, 69, 70, 74, 75]",7,86,but ultimately offered no assistance
gpt4-9,1,"[1, 2]",2,95,The family moved to a new house
gpt4-9,2,[5],1,95,and after settling in
gpt4-9,3,[6],1,95,the father left
gpt4-9,4,"[7, 8, 9]",3,95,and did not return
gpt4-9,5,[10],1,95,leaving the narrator with the siblings
gpt4-9,6,[5],1,95,The narrator's mother went to the market
gpt4-9,7,[11],1,95,and during her absence
gpt4-9,8,"[12, 13]",2,95,the house was stoned by locals
gpt4-9,9,"[14, 15, 16]",3,95,prompting the narrator to protect the younger siblings
gpt4-9,10,"[33, 34]",2,95,The narrator found their mother
gpt4-9,11,[36],1,95,and a policeman
gpt4-9,12,"[41, 42, 43, 47, 48, 49]",6,95,who informed them that the neighborhood was hostile to black people
gpt4-9,13,"[44, 71]",2,95,and suggested they move
gpt4-9,14,"[45, 77, 78, 80]",4,95,The mother refused to move due to financial constraints
gpt4-9,15,"[50, 51, 60, 82, 84, 86]",6,95,and demanded police assistance
gpt4-9,16,"[89, 90, 91, 92, 93, 94, 95]",7,95,eventually being escorted home by police
gpt4-10,1,[1],1,100,The family moved to a new house at Third and Wharton
gpt4-10,2,[6],1,100,and the father left to return the horses
gpt4-10,3,[7],1,100,but did not come home
gpt4-10,4,[5],1,100,After the mother left to go shopping
gpt4-10,5,"[11, 13]",2,100,the house was stoned by locals
gpt4-10,6,"[14, 15, 16]",3,100,prompting the narrator to protect the younger siblings
gpt4-10,7,"[17, 33]",2,100,and seek their mother for help
gpt4-10,8,"[33, 36]",2,100,The mother and narrator encountered a policeman
gpt4-10,9,"[41, 43, 47]",3,100,who acknowledged the neighborhood's hostility towards black residents
gpt4-10,10,"[52, 54]",2,100,but admitted he could not help
gpt4-10,11,[66],1,100,The mother confronted the police captain at the station
gpt4-10,12,"[77, 80]",2,100,refused to move out despite the captain's advice
gpt4-10,13,"[84, 86, 89]",3,100,and demanded to be escorted home by police
gpt4-10,14,"[96, 99]",2,100,where she addressed the hostile crowd
gpt4-11,1,[1],1,115,The family moved to a new house at Third and Wharton
gpt4-11,2,"[5, 6]",2,115,and the father left after moving furniture in
gpt4-11,3,"[5, 32]",2,115,The mother went to the market
gpt4-11,4,[10],1,115,leaving the narrator with the siblings
