segment_ids,text,keypoint
"(1, 5)","We moved down to Third and Wharton. We had gotten moved but it was like – you remember I told you my father drank, but it was still day, and after he had gotten in and put the furniture where it was supposed to go, my mother left, to go to market to get some food to bring into the house.",Family moves in; parents leave on separate errands
"(6, 10)","And my father went to take the horses – take the team of horses back. But he didn't come home. He – stopped somewhere on – I dunno, but he – how he – why he wasn't in the house. And of course I was left there with the kids.","Father never returns, narrator left watching younger kids"
"(11, 14)",Well no sooner did my mother get out of the house – my father went first – then – oh it was such an awful crash came through the window. And I – and I looked and it was a big stone. And then of course they – they – well they stoned the house. And I had sense enough to get the kids into the stairway so that they wouldn't get hurt by flyin' glass.,Stones crash through windows; children hustled to safety
"(15, 18)","And I said to them, “Now you stay there. Don't move 'cause nothing will reach you here. And I'm gonna go and see if I can find mom” – (We call our mother mom.)",Narrator reassures kids and sets out to find mother
"(19, 22)","And they were crying and carryin' on. I was scared to death, I really was frightened out of my wits.",Children sob; narrator panics yet stays protective
"(23, 24)","And I didn't know what to do, but I remember saying a prayer as I went out the front door because I didn't know what was gonna hit me when I went out that door.",She prays for courage before stepping outside
"(25, 27)","And I ran – I was ten years old at the time this happened – I ran to Fourth street, because I knew my mother wa-",Ten-year-old runs toward Fourth Street market
"(28, 30)","They had push carts in those days, on Fourth street. And it was a Jewish neighborhood and they – they stayed open until – until all hours.",Describes pushcart-lined Jewish shopping street
"(31, 32)","Because they would, you know, however much money they could get they wanted. So uh that's where she was going to do her shopping.",Explains why mother shops there late
"(33, 34)",And I finally found my mother. I did find her.,Narrator finally locates her mother
"(35, 38)","And while I was trying to tell her what had happened a policeman went by. And my voice was such that you could hardly make out what I was saying. I was so nervous and – and – my voice was shaking so,","Tries to explain, voice trembling with fear"
"(39, 42)","and he wanted to find out what ha- what was wrong with me. And then when he understood what the situation was he turned to my mother and says, “This is a bad neighborhood. It's Irish.”","Policeman calls area bad, mainly Irish"
"(43, 46)","And he said, “They're known to do things like that, Better move out of there.” My mother said, “I just moved in, how am I gonna move out?” He says, “I dunno.”",Officer advises moving; mother challenges his duty
"(47, 50)","He says, “But they don't want any black people in there.” An' he didn't say black 'cause they didn't use black then. But “they don't want anybody in there.” So uh, she said, “Well you're the law.",Bias revealed; mother insists on police protection
"(51, 54)","You're supposed to protect us.” He says, “I can't do anything with it.” He was Irish himself. “I can't do anything about it.”",Irish officer refuses help despite responsibility
"(55, 58)","So my mother said um, “Where is the uh precinct you work from?” And he told her. I forgot now. I was right there with her",Mother asks precinct details; narrator observes
