segment_id,pcaught,prec,mbits,segment_text
1,76,44,14.61,We moved down to Third and Wharton.
2,29,6,2.17,We had gotten moved
3,41,36,-1.21,"but it was like – you remember I told you my father drank,"
4,6,3,4.28,"but it was still day,"
5,66,37,4.77,"and after he had gotten in and put the furniture where it was supposed to go, my mother left, to go to market to get some food to bring into the house."
6,54,36,-0.34,And my father went to take the horses – take the team of horses back.
7,25,9,0.17,But he didn't come home.
8,17,0,-0.87,"He – stopped somewhere on – I dunno,"
9,15,0,2.7,but he – how he – why he wasn't in the house.
10,54,29,3.44,And of course I was left there with the kids.
11,94,53,7.12,Well no sooner did my mother get out of the house – my father went first – then – oh it was such an awful crash came through the window.
12,78,25,0.66,And I – and I looked and it was a big stone.
13,88,33,0.72,And then of course they – they – well they stoned the house.
14,71,48,5.43,And I had sense enough to get the kids into the stairway so that they wouldn't get hurt by flyin' glass.
15,51,2,0.14,"And I said to them, “Now you stay there."
16,47,4,0.23,Don't move 'cause nothing will reach you here.
17,65,29,0.84,And I'm gonna go and see if I can find mom” –
18,6,4,2.34,(We call our mother mom.)
19,20,6,-0.25,And they were crying
20,13,5,0.32,and carryin' on.
21,44,12,-0.46,"I was scared to death,"
22,40,9,1.66,I really was frightened out of my wits.
23,16,2,-0.02,"And I didn't know what to do,"
24,46,7,-3.32,but I remember saying a prayer as I went out the front door because I didn't know what was gonna hit me when I went out that door.
25,52,6,1.23,And I ran –
26,46,37,3.09,I was ten years old at the time this happened –
27,57,22,0.21,"I ran to Fourth street, because I knew my mother wa-"
28,19,13,-0.66,"They had push carts in those days, on Fourth street."
29,44,29,0.7,And it was a Jewish neighborhood
30,24,16,1.67,and they – they stayed open until – until all hours.
31,16,6,0.59,"Because they would, you know, however much money they could get they wanted."
32,28,5,1.13,So uh that's where she was going to do her shopping.
33,77,24,0.94,And I finally found my mother.
34,42,5,-0.27,I did find her.
35,49,13,2.24,And while I was trying to tell her what had happened
36,72,48,4.6,a policeman went by.
37,35,10,1.29,And my voice was such that you could hardly make out what I was saying.
38,37,5,-0.07,"I was so nervous and – and – my voice was shaking so,"
39,55,6,-0.26,and he wanted to find out what ha- what was wrong with me.
40,52,1,1.51,And then when he understood what the situation was he turned to my mother
41,78,21,1.38,"and says, “This is a bad neighborhood."
42,71,35,1.71,It's Irish.”
43,55,4,-0.38,"And he said, “They're known to do things like that,"
44,56,25,-0.26,Better move out of there.”
45,36,16,-1.21,"My mother said, “I just moved in, how am I gonna move out?”"
46,15,0,0.92,"He says, “I dunno.”"
47,81,27,2.43,"He says, “But they don't want any black people in there.”"
48,39,8,-0.94,An' he didn't say black 'cause they didn't use black then.
49,26,5,0.69,But “they don't want anybody in there.”
50,33,1,1.33,"So uh, she said, “Well you're the law."
51,22,4,-0.11,You're supposed to protect us.”
52,72,6,1.37,"He says, “I can't do anything with it.”"
53,58,13,0.87,He was Irish himself.
54,44,2,-0.35,“I can't do anything about it.”
55,41,12,1.55,"So my mother said um, “Where is the uh precinct you work from?”"
56,14,5,-1.26,And he told her.
57,10,1,-0.41,I forgot now.
58,11,0,1.45,I was right there with her
59,11,1,-0.22,but I've forgotten where he told her.
60,45,5,-1.7,"So uh she said, “Well if you can't do anything to help me, I'll go see who – if I can't find someone else to help me.”"
61,22,5,-3.17,"Well in those days black people were so cowed by circumstances an' uniforms and white people, you know, they uh many times didn't assert themselves."
62,25,8,-0.22,But thankfully my mother was not one of those kind.
63,34,15,2.38,And she – well I always thought of her as an educated person which she was because she was the only one I knew who had completed high school.
64,17,4,0.46,She went to Lackawanna high school.
65,36,22,2.66,"And this was – let me see what year was this happening – well it must have been nineteen twenty-five, so you can see what – what the times were."
66,79,25,-0.64,"And we went – she took me, and we went to the police station."
67,24,5,1.61,And they also had police wagons with horses attached to them. Believe it or not in those days.
68,43,4,-0.02,"So my mother said, to the captain, “What are you going to do about it?”"
69,65,6,0.55,"And he says, “Well lady there's nothing we can do about it.”"
70,43,2,-0.77,"And she says, “You mean to tell me that I have to live under those circumstances and there's nothing that you can do about it?”"
71,65,10,1.31,"She says – he says, “Well uh the only thing I can tell you to do is to move.”"
72,30,1,-1.28,"He says, “Because” – he said to me, “Did you see anyone?”"
73,28,2,0.17,"And I said, “No.”"
74,40,5,1.18,"He says, “Well how can – how can you” – to my mother – “how can you do anything if you don't know who – who to put the blame on?”"
75,31,0,-0.11,"An' he says, “I'm sure there was more than one person.”"
76,17,0,-0.07,"So my mother said, “Well I don't know what I'm going to do.”"
77,78,13,2.34,"She says, “But one thing I know I'm not going to do is move. Because I have no money to move with.”"
78,67,0,0.35,"They took all we had to, to pay the rent."
79,35,6,-0.59,In that house you had to pay in advance.
80,46,3,0.69,"And she said, “If they didn't want me there they should not have rented the house to me."
81,30,2,1.55,Now the real estate agent should be accountable.”
82,23,0,-1.35,"So anyhow, she said to him, “Well I know one thing you can do.”"
83,13,0,-0.91,"And he says, “What's that?”"
84,60,28,2.9,"She says, “You can take me home.”"
85,20,1,-0.77,"He said, “Take you home?”"
86,51,26,0.42,"She said, “Yes in the police patrol.”"
87,26,3,-0.96,So – I guess they figured “Let's get this lady out of here because she's talking loud and long.”
88,18,3,-2.51,And they had never come up with anybody like that.
89,71,3,-0.13,So they put us in the police patrol
90,69,20,-0.23,and they took us home.
91,30,4,0.21,We weren't far from – from where it was – maybe Fifth street – from where we had moved.
92,36,4,0.65,"And – course with the horses and the police patrol, and the clang –"
93,42,17,-0.34,they had a bell that clanged. Clang clang clang –
94,26,0,1.88,you know they told you about the trolley that went “Clang.”
95,22,5,-0.38,"Well this police patrol that bell they had, it went “Clang clang clang.”"
96,51,22,0.11,And um all the neighbors came running out to see what was happening.
97,19,2,-0.62,And of course they saw the man came around the back –
98,20,0,0.16,"I can see it right now – from where he was sitting up front there where the horses came around,"
99,27,3,-0.92,and opened the door in the back.
