segment_id,segment_text,segment_text_rephrased
1,We moved down to Third and Wharton., We relocated to the corner of Third and Wharton.
2,We had gotten moved, Our move had just been completed
3,"but it was like – you remember I told you my father drank,"," but it felt familiar – remember how I mentioned my father's drinking habits,"
4,"but it was still day,"," yet it was still daylight,"
5,"and after he had gotten in and put the furniture where it was supposed to go, my mother left, to go to market to get some food to bring into the house."," and once he had arranged the furniture as needed, my mother departed to the market to buy some groceries for our new home."
6,And my father went to take the horses – take the team of horses back.," Meanwhile, my father took the responsibility of returning the horses."
7,But he didn't come home.," However, he didn't return home."
8,"He – stopped somewhere on – I dunno,"," He – paused somewhere – I'm not sure where,"
9,but he – how he – why he wasn't in the house., but he – how he – why he didn't come back inside.
10,And of course I was left there with the kids.," And there I was, left alone with the younger children."
11,Well no sooner did my mother get out of the house – my father went first – then – oh it was such an awful crash came through the window.," Just after my mother stepped out – and my father had already left – suddenly, a terrible crash shattered the window."
12,And I – and I looked and it was a big stone., I looked and saw it was a large rock.
13,And then of course they – they – well they stoned the house.," Following that, they – they began pelting our house with stones."
14,And I had sense enough to get the kids into the stairway so that they wouldn't get hurt by flyin' glass., I quickly ushered the children into the stairwell to protect them from the shards of flying glass.
15,"And I said to them, “Now you stay there."," I instructed them, “Stay right here."
16,Don't move 'cause nothing will reach you here., Don't move; you're safe from anything in this spot.
17,And I'm gonna go and see if I can find mom” –, I need to go and look for mom” –
18,(We call our mother mom.), (That's what we call our mother.)
19,And they were crying, They were sobbing
20,and carryin' on., and making a fuss.
21,"I was scared to death,"," I was absolutely terrified,"
22,I really was frightened out of my wits., truly petrified.
23,"And I didn't know what to do,"," I felt helpless,"
24,but I remember saying a prayer as I went out the front door because I didn't know what was gonna hit me when I went out that door.," but as I stepped out the front door, I whispered a prayer, unsure of what might confront me."
25,And I ran –, Then I dashed out –
26,I was ten years old at the time this happened –, I was just ten years old when all this occurred –
27,"I ran to Fourth street, because I knew my mother wa-", and made my way to Fourth Street because I thought I might find my mother there-
28,"They had push carts in those days, on Fourth street."," Back then, Fourth Street was lined with push carts."
29,And it was a Jewish neighborhood, It was predominantly a Jewish area
30,and they – they stayed open until – until all hours., and the vendors there stayed open very late.
31,"Because they would, you know, however much money they could get they wanted.", They were always after as much money as they could possibly collect.
32,So uh that's where she was going to do her shopping., That was her destination for shopping.
33,And I finally found my mother.," Eventually, I located my mother."
34,I did find her.," Yes, I did manage to find her."
35,And while I was trying to tell her what had happened," As I attempted to explain the events that had unfolded,"
36,a policeman went by., a policeman passed by us.
37,And my voice was such that you could hardly make out what I was saying.," My voice was barely audible,"
38,"I was so nervous and – and – my voice was shaking so,"," trembling with nerves and fear,"
39,and he wanted to find out what ha- what was wrong with me., and he stopped to inquire about my distressed state.
40,And then when he understood what the situation was he turned to my mother," Once he grasped the gravity of our situation, he addressed my mother,"
41,"and says, “This is a bad neighborhood."," commenting, “This area isn’t safe."
42,It's Irish.”, It’s predominantly Irish.”
43,"And he said, “They're known to do things like that,"," He explained, “They’re known for this kind of behavior,"
44,Better move out of there.”, You’d be better off relocating.”
45,"My mother said, “I just moved in, how am I gonna move out?”"," My mother responded, “We’ve just settled in, how can we just leave?”"
46,"He says, “I dunno.”"," He replied, “I’m not sure.”"
47,"He says, “But they don't want any black people in there.”"," He added, “They’re not welcoming to black folks here.”"
48,An' he didn't say black 'cause they didn't use black then., He didn’t use the term 'black' as it wasn’t common then.
49,But “they don't want anybody in there.”, But he meant “they don’t want anyone like us here.”
50,"So uh, she said, “Well you're the law."," So, she challenged him, “You represent the law."
51,You're supposed to protect us.”, Aren’t you supposed to offer us protection?”
52,"He says, “I can't do anything with it.”"," He answered, “There’s nothing I can do.”"
53,He was Irish himself., It turned out he was Irish too.
54,“I can't do anything about it.”, “There’s really nothing I can do.”
55,"So my mother said um, “Where is the uh precinct you work from?”"," My mother then asked, “Which precinct are you from?”"
56,And he told her., He gave her the information.
57,I forgot now., I’ve since forgotten.
58,I was right there with her," I was standing right there beside her,"
59,but I've forgotten where he told her., yet I can’t recall where he said.
60,"So uh she said, “Well if you can't do anything to help me, I'll go see who – if I can't find someone else to help me.”"," So, she concluded, “If you’re unable to assist, I’ll have to seek help elsewhere.”"
61,"Well in those days black people were so cowed by circumstances an' uniforms and white people, you know, they uh many times didn't assert themselves."," Back then, black individuals were often intimidated by authority figures and white society, rarely standing up for themselves."
62,But thankfully my mother was not one of those kind.," Fortunately, my mother was not among those who were easily intimidated."
63,And she – well I always thought of her as an educated person which she was because she was the only one I knew who had completed high school.," I always regarded her as well-educated, which she was, having been the only person I knew who had finished high school."
64,She went to Lackawanna high school., She was a graduate of Lackawanna High School.
65,"And this was – let me see what year was this happening – well it must have been nineteen twenty-five, so you can see what – what the times were."," This incident occurred around 1925, which gives you a sense of the era."
66,"And we went – she took me, and we went to the police station.", My mother and I made our way to the police station.
67,And they also had police wagons with horses attached to them. Believe it or not in those days.," They even had police wagons drawn by horses back then, if you can imagine."
68,"So my mother said, to the captain, “What are you going to do about it?”"," At the station, my mother confronted the captain, asking, ""What are you going to do about this?"""
69,"And he says, “Well lady there's nothing we can do about it.”"," He responded, ""There's nothing we can do, ma'am."""
70,"And she says, “You mean to tell me that I have to live under those circumstances and there's nothing that you can do about it?”"," My mother pressed, ""Are you saying I must tolerate these conditions and you can do nothing?"""
71,"She says – he says, “Well uh the only thing I can tell you to do is to move.”"," He replied, ""The best advice I can give is to move."""
72,"He says, “Because” – he said to me, “Did you see anyone?”"," He questioned me, ""Did you see who it was?"""
73,"And I said, “No.”"," I answered, ""No."""
74,"He says, “Well how can – how can you” – to my mother – “how can you do anything if you don't know who – who to put the blame on?”"," He then told my mother, ""How can we act if you don't know who to accuse?"""
75,"An' he says, “I'm sure there was more than one person.”"," He added, ""I'm certain it wasn't just one individual involved."""
76,"So my mother said, “Well I don't know what I'm going to do.”", My mother expressed her uncertainty about what to do next.
77,"She says, “But one thing I know I'm not going to do is move. Because I have no money to move with.”"," But she firmly stated, ""One thing I'm sure of is that I won't move. I don't have the money for it."""
78,"They took all we had to, to pay the rent.", All our money had gone into paying the rent.
