recall_id,recall_text,len_original,recall rate,rephrased_text,len_rephrased,rate
60c283d8d82adfb1f4930352,There is a family who moved out .,33,-1.13,A family exists that relocated.,31,-0.9899017018396783
5fc423afc5dad58229f0c1c0,"Honestly, that felt like pure nonsense and it's difficult to recall. I remember there were race issues. They were staying for a month. She didn't have any money to pay rent. She went to the police to complain. She was being kicked out of her place, and she just wanted a place for her family. Her son was telling the story. There was a lot of stuttering and repetition.",369,-0.09,"Frankly, it seemed like utter gibberish and it's hard to remember. I recall there were issues related to race. They planned to stay for a month. She lacked funds to cover the rent. She approached the authorities to file a complaint. She faced eviction from her residence, and all she desired was a shelter for her family. Her son was the one narrating the incident. There was considerable hesitancy and frequent repetition.",423,-0.09067008782836895
604a8a4926724aaed69b940b,"From what I recall from the story, there was some racism for black people in an Irish neighborhood. The mother and the child both had to deal with tough times. The mother/child received word that they could not provide for the child properly, at least that was what the child was complaining about. I know that the mother went to a high school in 1925. I remember something about Younge street. The story was taking place in Canada I believe. That is all I recall words were moving fast. Thanks.",495,-0.06,"As I remember the tale, it depicted some prejudice against African Americans within an Irish district. Both the mother and her offspring faced challenging periods. The duo was informed that they were unable to adequately care for the young one, or so the offspring lamented. It's clear to me that the mother attended a secondary school in the year 1925. Something about Younge Street sticks out in my memory. I'm under the impression that the narrative unfolded in Canada. That's the extent of what I can retrieve; the words were fleeting. Appreciate it.",554,-0.053429418086407963
64e603dd69223a81a990ae76,"The story starts off with the main character moving to a new neighbourhood. The main plot about one day when her father was drinking, someone threw a rock through the window. The main character was very scared. They reported the situation to the police. They live largely in a Jewish neighbourhood and the police immediately attributed the crime to racism. They blamed Irish and black people. This became a big issue in the neighborhood and people felt unsafe. Due to this, the main character moves to a new neighborhood which is more friendly and less racist.",560,-0.04,"Our tale begins with the protagonist relocating to a fresh community. The central narrative revolves around an incident involving her father's consumption of alcohol, during which a stone was hurled through their window. The protagonist experienced considerable fear. They informed the authorities of the incident. Their residence was predominantly in an area inhabited by Jewish people and the officers quickly concluded that the act was motivated by racial hatred. They pointed fingers at individuals of Irish and African American descent. This issue escalated significantly within the local area causing residents to feel a lack of security. As a result, the protagonist decided to relocate to another neighborhood that was known for being more welcoming and exhibiting less prejudice.",788,-0.02647694498323608
6466249c27b5e4161f763c32,The story was about a woman who was trying to live in an apartment. When she was trying to pay the rent the owner didn't like her cause she was black. There was some type of altercation and the police were involved.,215,-0.09,This tale centered on a female endeavoring to reside in a flat. As she attempted to settle the lease the proprietor took a disliking to her on account of her being African American. An incident of some sort occurred resulting in law enforcement getting involved.,262,-0.07355327573820618
5ee7b0a316b7d10662171450,There was a family which was Irish and lived in a place where they were racist towards Black people however nobody was educated there apart from the mother so she had sense. Someone did something and they went to the police station and the neighbours all were scared.,267,-0.05,"A family existed of Irish descent residing in a location where prejudice against Black individuals was prevalent yet the populace lacked education save for the matriarch thus, she possessed wisdom. An individual took action prompting a visit to the police precinct and all the neighboring residents felt fear.",309,-0.04788119803948224
5cb3d74a0225590017acda81,the window got smashed they were very scared and voice was shaking they ran to get his mum and the police told the mum they should move because it's full of Irish people,169,-0.07,The window was shattered They felt extremely frightened With a trembling voice They hurried to fetch his mother Whereupon the officers informed the mother That relocation was advisable Owing to the area being densely populated by Irish individuals,247,-0.04499604010360321
5bad47432b86390001ccda32,"Something about a black woman who was being attacked in her own home with a brick through the window, she went to the police and they told her there was nothing they could do. He told her to move, she said i can't afford to move as i have no money. I dont remember anymore of the story sorry.",292,-0.04,"Regarding an African American female, who suffered an assault within her residence, involving a brick hurled through her window, she approached law enforcement for help, where they informed her that they were unable to assist. He suggested she relocate, to which she responded, relocation is beyond my financial means, since I lack the necessary funds. I can't recall the rest of the narrative, apologies.",405,-0.07589054371562969
5ffd80c185e28327669b51f5,it a story about a family with one kid who was 10 years old at the time a mother and father and they moved in to place where black people were not treated ok and one day an incident happened to them and they went to report this issue but they did not get the help they thought they would get they were basically told to move from that place but they couldn't because they had no money,384,-0.01,"This is a tale of a family with a single child who was ten years of age at that point consisting of a mother and father and they relocated to a new area where African Americans faced discrimination and one day, they experienced an unfortunate event which led them to file a complaint however, the assistance they anticipated was not provided essentially, they were advised to leave the area yet they were unable to do so owing to their lack of financial resources",463,-0.046483318422440724
60bab50bcdd5d7ad3ee97479,"The story was based in a Jewish neighbourhood, in which a policeman recalls to be a dangerous neighbourhood. Apparently black people aren't allowed to live there. Their mother went out to the market while they hid under the stairs to avoid the flying glass. They were all scared, but the narrator went to find their mother. Along the way she spoke to a policeman, who said everything about the neighbourhood. Later on, the father had to go until hospital. Overall, it was quite a frighening story as reflected upon towards the end by the narrator.",547,-0.01,"The narrative was set in a Jewish district, where a police officer remembers it being a perilous area. It seems that African Americans were prohibited from residing there. Their mother departed for the marketplace as they concealed themselves beneath the staircase to dodge the shattering glass. Fear pervaded among them, yet the storyteller ventured out in search of their mother. She conversed with a law enforcement officer en route, who disclosed everything concerning the district. Subsequently, the father needed to visit the hospital. In essence, the tale was rather terrifying as the narrator reflected at the conclusion.",629,-0.010754314202353007
