recall_id,clause_id,clause_text,rephrased_text
55881a68fdf99b1c9154fe4a,1,The dad was a drunk,The father struggled with alcoholism
55881a68fdf99b1c9154fe4a,2,and was at home,and remained at the residence
55881a68fdf99b1c9154fe4a,3,and had to put the furniture in the right place.,where he had to arrange the furniture properly.
55881a68fdf99b1c9154fe4a,4,Then the dad left,"Subsequently, the father departed"
55881a68fdf99b1c9154fe4a,5,and the mum left to go to the shops,while the mother went out to the stores
55881a68fdf99b1c9154fe4a,6,and they were left with the kids.,leaving the children behind.
55881a68fdf99b1c9154fe4a,7,Then someone through stones thorough the window.,"Then, someone hurled stones through the window."
55881a68fdf99b1c9154fe4a,8,So they moved the kids to hide,"Consequently, they shifted the children to a safer spot"
55881a68fdf99b1c9154fe4a,9,so they would not get hurt.,to prevent them from being injured.
55881a68fdf99b1c9154fe4a,10,They went through the door,They exited through the doorway
55881a68fdf99b1c9154fe4a,11,but was scared as they did not know what would be thrown.,feeling frightened due to uncertainty of what might be thrown next.
55881a68fdf99b1c9154fe4a,12,They went to look for they mom who was at fourth street.,They searched for their mother on fourth street.
55881a68fdf99b1c9154fe4a,13,The shops shut late as they wanted to make as much money as possible.,The stores remained open late aiming to maximize profits.
55881a68fdf99b1c9154fe4a,14,They found there mom,They located their mother
55881a68fdf99b1c9154fe4a,15,and told them what happened,and recounted the incident to her
55881a68fdf99b1c9154fe4a,16,it took a while to make her understand.,spending some time to make her comprehend.
55881a68fdf99b1c9154fe4a,17,A policeman was passing,A patrol officer was nearby
55881a68fdf99b1c9154fe4a,18,and the sound of their voice stopped the policeman.,and was drawn by the sound of their voices.
55881a68fdf99b1c9154fe4a,19,They told the policeman what happened,They explained the situation to the officer
55881a68fdf99b1c9154fe4a,20,and he said that it was a bad area,who commented on the neighborhood's poor reputation
55881a68fdf99b1c9154fe4a,21,the people were Irish,noting the residents were of Irish descent
55881a68fdf99b1c9154fe4a,22,and they did not like black people.,and harbored animosity towards African Americans.
55881a68fdf99b1c9154fe4a,23,They should move.,He suggested they relocate.
55881a68fdf99b1c9154fe4a,24,The mum said they had just moved there,The mother mentioned they had recently settled there
55881a68fdf99b1c9154fe4a,25,and could not afford to move.,and lacked the financial means to relocate again.
55881a68fdf99b1c9154fe4a,26,"the Policeman said there was nothing he could do,","The officer expressed his inability to assist further,"
55881a68fdf99b1c9154fe4a,27,and the mum said where was the precinct,prompting the mother to inquire about the location of the police station
55881a68fdf99b1c9154fe4a,28,so she could find someone who could help her.,in hopes of finding someone who could offer assistance.
55881a68fdf99b1c9154fe4a,29,"At the precinct she spoke to the captain,","At the station, she conversed with the chief,"
55881a68fdf99b1c9154fe4a,30,he said there was nothing he could do,who also stated his inability to intervene
55881a68fdf99b1c9154fe4a,31,and she should move.,and advised her to consider moving.
55881a68fdf99b1c9154fe4a,32,the mum asked for a lift home,The mother requested transportation back home
55881a68fdf99b1c9154fe4a,33,and they were taken home by horse and cart,and they were conveyed back by a horse-drawn vehicle
55881a68fdf99b1c9154fe4a,34,and there was a clang noise from the cart.,accompanied by a clanging sound from the cart.
