index,len,rate,keypoints,mbits,"produced
key points","required
key points",attempt,rephrase,rephrase_len,rephrased_mbits,rephrase_rate
0,202,-0.029,We moved to a new neighborhood and were attacked with stones. I found my mother and we sought help from the police. My mother bravely confronted the neighbors and refused to move despite the challenges.,-5.85,3,3,3,We relocated to a different area and were pelted with rocks. I located my mother and we pursued assistance from law enforcement. My mother courageously faced the neighbors and declined to relocate in spite of the difficulties.,226,-24.60397549787003,-0.1089
1,218,-0.0407,"I took care of my siblings after my parents left. Rocks crashed through our window when I was home alone. I ran to find my mother and told her about the attack. The police were unhelpful, and my mother stood up for us.",-8.87,4,4,3,"After my parents departed, I was responsible for looking after my younger brothers and sisters. Stones shattered our window while I was the only one at home. I hurried to locate my mother and informed her of the incident. The authorities provided little assistance, and it was my mother who defended our family.",311,-12.671424980500017,-0.0407
2,233,0.0263,We moved to a new neighborhood and faced hostility. Our house was stoned shortly after my parents left. My mother and I sought help from the police but were advised to move. My mother confronted the neighbors and insisted on staying.,6.12,4,4,2,"Relocating to a different community, we encountered animosity. Not long after my parents departed, our residence was pelted with rocks. Seeking assistance from law enforcement, my mother and I were recommended to relocate. Confronting the local residents, my mother stood her ground and resolved to remain.",306,-21.714174397330012,-0.071
3,244,-0.0033,"I was alone with the kids when someone stoned our new house. I found my mother and we sought help from the police, but they suggested moving. My mother stood up to the community and told them we were staying for the month despite the hostility.",-0.81,3,3,1,"I found myself solitary with the children when our recently acquired home was pelted with rocks. I located my mother and we pursued assistance from law enforcement, yet they recommended relocation. My mother confronted the local residents, declaring our intention to remain for the month in spite of the antagonism.",315,-6.371382031560037,-0.0202
4,258,0.0265,"I was left alone with the kids when my father and mother went out. Our house was stoned, and I hid the kids to protect them. I found my mom at the market and told her about the incident. My mom confronted the neighbors and demanded respect and understanding.",6.84,4,4,1,"My parents left me in charge of the children when they departed. Our residence was pelted with rocks, prompting me to conceal the children for their safety. I encountered my mother at the marketplace and informed her of what had occurred. She approached the people next door, insisting on civility and empathy.",310,-11.434572405309996,-0.0369
5,274,0.0476,We moved to a new neighborhood. My father went out and didn't come back promptly. A stone crashed through our window. I found my mother at the market. The police advised us to move due to neighborhood tensions. My mother confronted the neighbors and demanded fair treatment.,13.03,6,6,1,"Our family relocated to a different area. My dad left the house and returned later than expected. A rock shattered our windowpane. I encountered my mother in the marketplace. Law enforcement recommended that we relocate because of local strife. My mom faced the neighbors, insisting on equitable treatment.",306,-24.727647952530027,-0.0808
6,294,0.1172,We moved to a new house on Third and Wharton. A big stone crashed through the window after my parents left. I found my mother at the market and told her about the attack. The police advised us to move because of racial tensions. My mother stood her ground and refused to leave the neighborhood.,34.47,5,5,2,"Our family relocated to a residence at the corner of Third and Wharton. Following my parents' departure, a large rock shattered the window. I located my mother at the marketplace and informed her of the incident. Law enforcement recommended that we relocate due to ethnic discord. My mother remained resolute and declined to abandon our community.",347,7.099090000219971,0.0205
7,300,0.2459,We moved to Third and Wharton. My father left to take the horses back. A stone crashed through our window. I took the kids to safety and went to find mom. A policeman warned us about the neighborhood. My mother demanded help from the police captain. My mother confronted the neighbors about our stay.,73.76,7,7,3,We relocated to the corner of Third and Wharton. My dad departed to return the horses. A rock shattered our windowpane. I escorted the children to a secure place and set out to locate my mother. An officer cautioned us regarding the area. My mom insisted on assistance from the chief of police. My mother challenged the local residents about our presence.,355,36.52298620850402,0.1029
8,316,-0.0295,"I was left with my siblings after my parents left the house. The house was stoned, and I moved the kids to safety. I ran to find my mother at the market and told her what happened. A policeman advised us to move because it was an unsafe neighborhood. My mother boldly addressed the community and insisted on staying.",-9.33,5,5,3,"My siblings remained in my care once our parents departed from the home. Our home was pelted with stones, prompting me to usher the children to a secure location. I hurried to locate my mother at the marketplace to inform her of the incident. An officer recommended that we relocate due to the neighborhood's lack of safety. With courage, my mother confronted the local residents, asserting our decision to remain.",414,-22.985540487309958,-0.0555
9,321,0.1397,"I moved with my family to a new neighborhood and my mother went shopping while my father took the horses back. A stone crashed through our window and I protected my siblings by moving them to the stairway. My mother confronted the police and the neighborhood, asserting her family's right to stay despite racial tensions.",44.84,3,3,2,"My family and I relocated to a different area, during which time my mom went to buy groceries as my dad returned the horses. A rock shattered our windowpane, prompting me to safeguard my brothers and sisters by ushering them towards the staircase. Facing the authorities and local residents, my mother stood firm, defending our family's entitlement to remain amidst ethnic strife.",380,2.048339637149959,0.0054
