segment_id,segment_text,p-caught
1,We moved down to Third and Wharton.,99.00%
2,We had gotten moved,50.00%
3,"but it was like – you remember I told you my father drank,",80.00%
4,"but it was still day,",9.00%
5,"and after he had gotten in and put the furniture where it was supposed to go, my mother left, to go to market to get some food to bring into the house.",100.00%
6,And my father went to take the horses – take the team of horses back.,85.00%
7,But he didn't come home.,39.00%
8,"He – stopped somewhere on – I dunno,",20.00%
9,but he – how he – why he wasn't in the house.,20.00%
10,And of course I was left there with the kids.,59.00%
11,Well no sooner did my mother get out of the house – my father went first – then – oh it was such an awful crash came through the window.,99.00%
12,And I – and I looked and it was a big stone.,83.00%
13,And then of course they – they – well they stoned the house.,97.00%
14,And I had sense enough to get the kids into the stairway so that they wouldn't get hurt by flyin' glass.,100.00%
15,"And I said to them, “Now you stay there.",73.00%
16,Don't move 'cause nothing will reach you here.,73.00%
17,And I'm gonna go and see if I can find mom” –,86.00%
18,(We call our mother mom.),7.00%
19,And they were crying,7.00%
20,and carryin' on.,4.00%
21,"I was scared to death,",66.00%
22,I really was frightened out of my wits.,66.00%
23,"And I didn't know what to do,",10.00%
24,but I remember saying a prayer as I went out the front door because I didn't know what was gonna hit me when I went out that door.,34.00%
25,And I ran –,64.00%
26,I was ten years old at the time this happened –,36.00%
27,"I ran to Fourth street, because I knew my mother wa-",93.00%
28,"They had push carts in those days, on Fourth street.",18.00%
29,And it was a Jewish neighborhood,8.00%
30,and they – they stayed open until – until all hours.,2.00%
31,"Because they would, you know, however much money they could get they wanted.",3.00%
32,So uh that's where she was going to do her shopping.,25.00%
33,And I finally found my mother.,87.00%
34,I did find her.,63.00%
35,And while I was trying to tell her what had happened,16.00%
36,a policeman went by.,78.00%
37,And my voice was such that you could hardly make out what I was saying.,23.00%
38,"I was so nervous and – and – my voice was shaking so,",31.00%
39,and he wanted to find out what ha- what was wrong with me.,40.00%
40,And then when he understood what the situation was he turned to my mother,44.00%
41,"and says, “This is a bad neighborhood.",84.00%
42,It's Irish.”,62.00%
43,"And he said, “They're known to do things like that,",63.00%
44,Better move out of there.”,69.00%
45,"My mother said, “I just moved in, how am I gonna move out?”",46.00%
46,"He says, “I dunno.”",9.00%
47,"He says, “But they don't want any black people in there.”",49.00%
48,An' he didn't say black 'cause they didn't use black then.,11.00%
49,But “they don't want anybody in there.”,24.00%
50,"So uh, she said, “Well you're the law.",25.00%
51,You're supposed to protect us.”,13.00%
52,"He says, “I can't do anything with it.”",39.00%
53,He was Irish himself.,39.00%
54,“I can't do anything about it.”,18.00%
