recall_id,clause_id,clause_text
0,1,The police returned the mother and boy home
0,2,in the police cart
0,3,with horses and a bell
0,4,"that went clang, clang, clang."
0,5,All the neighbours came out
0,6,to watch them coming home.
0,7,The mum spoke to them
0,8,and told them she had no money to move anywhere
0,9,so they would be there for the month
0,10,and maybe longer.
0,11,And that she couldn't afford to keep replacing windows
0,12,so they should stop breaking them
0,13,and accept they were there.
0,14,The neighbours were very nice to them
0,15,and when their dad got sick
0,16,were helpful.
1,1,They dropped them off in a police patrol
1,2,which was a horse and cart
1,3,and had steps.
1,4,The mother came down
1,5,and told the people
1,6,"why were they doing this to them,"
1,7,they were different colorwise
1,8,but same otherwise.
1,9,She was just providing for her family
1,10,and she was going to be here for a month.
1,11,The money had been spent on the rent
1,12,which was due in advance.
1,13,They were dropped off at fourth street.
1,14,The dad had been ill.
2,1,The police wagon was driven by horses
2,2,and made a loud clanging sound.
2,3,On arriving home
2,4,the neighbours heard all the clanging
2,5,and came outside to see what was happening.
2,6,The mother and the boy descended the steps at the back of the police wagon.
2,7,The mother confronted the neighbours
2,8,and said that they could not afford new windows.
2,9,Look at what they had done
2,10,and they had paid rent for a month
2,11,and would be staying here for at least a month.
2,12,The mother told the neighbours
2,13,that if they were not welcome here
2,14,and wanted them to move
2,15,then they should collect the money between them
2,16,to raise the rent
2,17,for them to move to a new house.
2,18,The mother and boy entered the house.
2,19,In the near future the father fell ill
2,20,and neighbours were very supportive
2,21,and kind to the family.
3,1,The police returned the mother and the boy home
3,2,in their police patrol car.
3,3,When they arrived
3,4,there were horses and wagons and people still there.
3,5,The mother stated that she wanted to find out who threw the stone through the window
3,6,as it was winter and cold
3,7,"and she could not afford a window,"
3,8,nor her rent.
3,9,She said the person who threw the stone should own up
3,10,or pay for her and her family to move out
3,11,so that they were not there anymore.
3,12,There was a discussion with the policeman regarding colour of skin and race.
3,13,The father came back
3,14,and he was sick.
4,1,A crowd was gathered
4,2,and the mother explained
4,3,that she had paid a month's rent
4,4,and only that.
4,5,She said it was cold
4,6,and she didn't have enough money to pay for the windows
4,7,and indeed may not have enough money for the next month's rent.
4,8,She said if the crowd wanted to pay the rent
4,9,she would move out
4,10,but nobody offered.
4,11,During the month
4,12,the father got sick
4,13,but the neighbours treated him well.
5,1,The mother and boy got out of the police cart.
5,2,the neighbours were all out
5,3,watching.
5,4,Mother said
5,5,"look what your all doing,"
5,6,I won't be leaving
5,7,in the next month
5,8,as can't afford it
5,9,if you want me gone
5,10,you give me the money.
5,11,I'm different in colour
5,12,but nothing else.
5,13,They stayed the month.
5,14,The father got ill
5,15,and the neighbours were helpful.
6,1,The mother described
6,2,"how much she paid in rent for the month,"
6,3,"her desire to simply provide a home for her family,"
6,4,and her lack of certainty
6,5,as to whether she would have the money
6,6,to pay for rent beyond the first month.
6,7,She also described
6,8,that their home lacked a window.
7,1,They returned the mother and boy home.
