recall_id,clause_id,segment_ids,fan_out,last_segment_id,clause_text
gpt4-1,1,"[1, 4]",2,4,The Chief was a veteran with a young daughter.
gpt4-1,2,"[2, 3]",2,4,He had caught a notorious criminal or had been awarded for bravery.
gpt4-2,1,"[1, 4]",2,11,The Chief was a veteran with a young daughter.
gpt4-2,2,"[2, 3]",2,11,He had caught a notorious criminal or had been awarded for bravery.
gpt4-2,3,[5],1,11,The narrator was a fitness enthusiast.
gpt4-2,4,[6],1,11,The Chief's daughter tried to impress the narrator.
gpt4-2,5,"[7, 8]",2,11,The narrator was not very fond of the Chief's daughter.
gpt4-2,6,"[9, 10, 11]",3,11,The Chief's daughter was talkative.
gpt4-3,1,"[1, 4]",2,12,The Chief was a veteran with a young daughter.
gpt4-3,2,"[2, 3]",2,12,He had caught a notorious criminal or had been awarded for bravery.
gpt4-3,3,[5],1,12,The narrator was a fitness enthusiast.
gpt4-3,4,[6],1,12,The Chief's daughter tried to impress the narrator.
gpt4-3,5,"[7, 8]",2,12,The narrator was not very fond of the Chief's daughter.
gpt4-3,6,"[9, 10, 11]",3,12,The Chief's daughter was talkative.
gpt4-3,7,[12],1,12,She left a message about running away due to her father's scolding about the narrator.
gpt4-4,1,"[1, 4]",2,19,The Chief was a veteran with a young daughter.
gpt4-4,2,"[2, 3]",2,19,He had caught a notorious criminal or had been awarded for bravery.
gpt4-4,3,[5],1,19,The narrator was a fitness enthusiast.
gpt4-4,4,"[6, 9, 10, 11]",4,19,The Chief's daughter tried to impress the narrator and was talkative.
gpt4-4,5,[12],1,19,She left a message about running away due to her father's scolding about the narrator.
gpt4-4,6,"[13, 14]",2,19,"The Chief, looking intimidating, arrived at the narrator's apartment."
gpt4-4,7,"[15, 16, 17, 19]",4,19,The narrator calmed the Chief and they agreed to search for his daughter.
gpt4-5,1,"[1, 4]",2,22,The Chief was a veteran with a young daughter.
gpt4-5,2,"[2, 3]",2,22,He had caught a notorious criminal or had been awarded for bravery.
gpt4-5,3,[5],1,22,The narrator was a fitness enthusiast.
gpt4-5,4,"[6, 9, 10, 11]",4,22,The Chief's daughter tried to impress the narrator and was talkative.
gpt4-5,5,[12],1,22,She left a message about running away due to her father's scolding about the narrator.
gpt4-5,6,"[16, 20]",2,22,"The Chief and the narrator searched for her, finding her scarf near a park."
gpt4-5,7,[22],1,22,"Despite finding the scarf, they couldn't locate the Chief's daughter."
gpt4-6,1,"[1, 4]",2,27,The Chief was a veteran with a young daughter.
gpt4-6,2,"[2, 3]",2,27,He had caught a notorious criminal or had been awarded for bravery.
gpt4-6,3,[5],1,27,The narrator was a fitness enthusiast.
gpt4-6,4,"[6, 9, 10, 11]",4,27,The Chief's daughter tried to impress the narrator and was talkative.
gpt4-6,5,[12],1,27,She left a message about running away due to her father's scolding about the narrator.
gpt4-6,6,"[24, 25, 26]",3,27,"The Chief and the narrator found the daughter at the police station, not having run away."
gpt4-6,7,[27],1,27,Finding the daughter at the station resolved the issue for that day.
gpt4-7,1,"[1, 4]",2,28,The Chief was a veteran with a young daughter.
gpt4-7,2,"[2, 3]",2,28,He had caught a notorious criminal or had been awarded for bravery.
gpt4-7,3,"[6, 9, 10, 11]",4,28,The Chief's daughter tried to impress the narrator and was talkative.
gpt4-7,4,[12],1,28,She left a message about running away due to her father's scolding about the narrator.
gpt4-7,5,"[24, 25, 26]",3,28,"The Chief and the narrator found the daughter at the police station, not having run away."
gpt4-7,6,[27],1,28,Finding the daughter at the station resolved the issue for that day.
gpt4-7,7,[28],1,28,Deputy Frank Mitchell warned the narrator to transfer because the Chief never forgets.
gpt4-8,1,"[1, 4]",2,32,The Chief was a veteran with a young daughter.
gpt4-8,2,"[2, 3]",2,32,He had caught a notorious criminal or had been awarded for bravery.
gpt4-8,3,"[6, 9, 10, 11]",4,32,The Chief's daughter tried to impress the narrator and was talkative.
gpt4-8,4,[12],1,32,She left a message about running away due to her father's scolding about the narrator.
gpt4-8,5,"[24, 25, 26]",3,32,"The Chief and the narrator found the daughter at the police station, not having run away."
gpt4-8,6,[28],1,32,Deputy Frank Mitchell warned the narrator to transfer because the Chief never forgets.
gpt4-8,7,"[29, 30, 31, 32]",4,32,The narrator transferred and left at the end of his rookie year.
