segment_ids,text,keypoint
"(1, 1)","Back in the days when I was a rookie in the police force, the Chief was a veteran.",I recall the Chief as a seasoned veteran
"(2, 3)",He had caught a notorious criminal – or had been awarded for bravery.,He was celebrated for catching a criminal
"(4, 4)",But he had – a young daughter.,The Chief had a young daughter
"(5, 6)",And in those days I was a fitness enthusiast. And it seemed she was trying to impress me.,"As a fitness enthusiast, she tried to impress me"
"(7, 11)","I never observed it. Truth is I wasn't very fond of her because she was – She was a charming girl until she opened her mouth. She was a chatterbox. Goodness, she could talk.",I was indifferent to her chatty nature
"(12, 12)",Then she left a message one day saying she was going to run away because he was always scolding her about me.,She threatened to run away over scoldings
"(13, 15)",He arrived at my apartment. Big intimidating look on his face. I managed to calm him down.,The Chief confronted me with a stern look
"(16, 17)",and proposed “Well we'll search for her and if we can't locate her well you can – do whatever you think is right.”,I suggested searching for her together
"(18, 19)",I was strategizing. So he accepted my offer.,He agreed to my plan of action
"(20, 22)",And we went to where they found her scarf – near a park. and we traced down a little more and we couldn't locate her.,We searched for her but couldn't find her
"(23, 27)",And returned – it was a police station – she was sitting on a chair with a book in her hands. She hadn't run away. But – nevertheless – that resolved the issue for that day.,"She was at the station, not really runaway"
"(28, 31)","But that evening the deputy, Frank Mitchell, said “You better transfer and leave because that old man never forgets anything once he gets it into his mind.” And I did. I transferred. and left.","Advised to transfer, I left the department"
"(32, 32)",That was the end of my rookie year.,That marked the end of my rookie year
