recall_id,chars,average,text
summary_gpt4o_4_5.json,157,0.7361,I was a rookie in the police force. The Chief and I searched for his daughter. We found out she hadn't run away. I transferred and left after my rookie year.
summary_gpt4o_4_3.json,164,0.7093,I was a rookie in the police force. The Chief's daughter seemed to like me. The Chief thought she ran away because of me. I transferred and left after the incident.
summary_gpt4o_3_1.json,194,0.7469,"I was a rookie and the Chief had a young daughter. The Chief's daughter planned to run away, and I helped search for her. I transferred and left after Frank advised me to, ending my rookie year."
summary_gpt4o_3_2.json,196,0.8253,"I was a rookie police officer interested in fitness. The Chief's daughter left a message about running away due to his disapproval. We found her safe at the police station, leading to my transfer."
summary_gpt4o_3_3.json,208,0.8169,I was a rookie in the police force back in the day. The Chief's daughter left a message saying she was going to run away. I transferred and left because the Chief never forgets anything once it's in his mind.
summary_gpt4o_4_2.json,220,0.7135,I was a rookie in the police force. I learned that the Chief's daughter was a chatterbox. The Chief and I searched for his daughter when she threatened to run away. I transferred to another department after the incident.
summary_gpt4o_5_6.json,221,0.7402,I was a rookie in the police force. The Chief's daughter tried to impress me. She left a message saying she would run away. We searched for her but found her at the police station. I transferred and left the police force.
summary_gpt4o_4_6.json,222,0.7922,I managed to calm the Chief down when his daughter went missing. We searched for the Chief's daughter near a park. We found her sitting at the police station with a book. I decided to transfer and leave after the incident.
summary_gpt4o_5_1.json,235,0.7152,I was a rookie in the police force. The Chief's daughter was trying to impress me. She left a message saying she was going to run away. The Chief and I searched for her but couldn't find her. I transferred and left after that incident.
summary_gpt4o_6_2.json,241,0.75,I was a rookie in the police force. The Chief had a young daughter. I didn't like her because she talked too much. She left a message saying she would run away. The Chief and I searched for her. I transferred and left at the end of the year.
summary_gpt4o_7_2.json,252,0.7082,I was a rookie in the police force. The Chief had a young daughter. I was a fitness enthusiast. The daughter tried to impress me. She left a message about running away. The Chief arrived and we searched for her. I transferred and left the police force.
summary_gpt4o_4_4.json,266,0.7489,"I was a rookie in the police force while the Chief was a veteran. The Chief's daughter tried to impress me, but she was a chatterbox. We searched for the daughter thinking she ran away, but she hadn't. I decided to transfer and leave after a warning from the deputy."
summary_gpt4o_5_3.json,269,0.7672,I was a rookie in the police force. The Chief's daughter tried to impress me. The Chief's daughter left a message about running away. We searched for the Chief's daughter but found her at the police station. I transferred and left the police force after my rookie year.
summary_gpt4o_6_6.json,286,0.7821,I was a rookie in the police force. The Chief had a young daughter who was a chatterbox. She left a message saying she would run away. The Chief and I searched but couldn't find her. We returned to find her at the police station. I decided to transfer and leave after advice from Frank.
summary_gpt4o_7_1.json,289,0.782,"I was a rookie in the police force. The Chief had a young daughter. I didn't like her because she talked too much. She left a message about running away. The Chief came to my apartment, and I calmed him down. We found her at the police station. I transferred and left because of the Chief."
summary_gpt4o_6_3.json,292,0.7059,I was a rookie in the police force. The Chief's daughter tried to impress me. She threatened to run away due to her father's scolding. The Chief and I searched for her but couldn't find her. We returned to find her safe at the police station. I decided to transfer and leave the police force.
summary_gpt4o_7_4.json,295,0.7802,I was a rookie in the police force. The Chief had a young daughter. She seemed to try to impress me. I wasn't fond of her because she was a chatterbox. She left a message saying she would run away. We searched for her and found her at the police station. I transferred and left the police force.
summary_gpt4o_3_5.json,295,0.6958,"The Chief's daughter was trying to impress me, but I wasn't fond of her because she talked too much. The Chief confronted me about his daughter's intention to run away, and I proposed we search for her. We found her at the police station, and afterward, I decided to transfer and leave the area."
summary_gpt4o_4_1.json,301,0.7735,"I noticed the Chief had a young daughter who was trying to impress me. She left a message saying she would run away because the Chief scolded her about me. The Chief and I looked for her, but she was found at the police station. I transferred and left the department after being advised by the deputy."
summary_gpt4o_3_6.json,303,0.7613,"I was a fitness enthusiast and didn't like the Chief's daughter because she talked too much. The Chief and I couldn't find his daughter after she said she would run away, but she was at the police station. I transferred and left after being advised that the Chief never forgets once he thinks something."
summary_gpt4o_9_1.json,313,0.7849,I was a rookie in the police force. The Chief was a veteran. The Chief's daughter tried to impress me. I wasn't fond of her chatter. She left a message about running away. The Chief came to my apartment. We searched for her but found nothing. She was found at the police station. I transferred and left the force.
summary_gpt4o_7_6.json,314,0.7624,I was a rookie in the police force. The Chief had a young daughter. I wasn't fond of her because she talked too much. She left a message saying she would run away. The Chief visited my apartment looking intimidating. We searched for her but couldn't locate her. I transferred and left at the end of my rookie year.
summary_gpt4o_3_4.json,315,0.7691,"I was a rookie in the police force, and the Chief's daughter tried to impress me. One day, the Chief's daughter left a message saying she was going to run away because of our situation. I calmed the Chief down, proposed a search, we couldn't find her, but she was at the police station, and I transferred afterward."
summary_gpt4o_6_1.json,318,0.7323,I was a rookie in the police force. The Chief's daughter seemed to try to impress me. I was not fond of her because she was a chatterbox. The Chief's daughter left a message about running away. The Chief and I searched for her and found her at the police station. I transferred and left the force after my rookie year.
summary_gpt4o_8_3.json,319,0.7566,I was a rookie in the police force. The Chief had a young daughter. I was a fitness enthusiast. The Chief's daughter tried to impress me. She left a message saying she would run away. The Chief came to my apartment upset. We found the daughter sitting in the police station. I transferred and left after my rookie year.
summary_gpt4o_6_4.json,321,0.7725,I was a rookie in the police force. The Chief had a young daughter who was a chatterbox. She planned to run away because her father scolded her about me. The Chief came to my apartment looking for her. We searched for her and found her at the police station. I transferred and left the department by the end of that year.
summary_gpt4o_5_5.json,327,0.7461,"I was a rookie in the police force and the Chief was a veteran. The Chief's daughter was trying to impress me but I found her annoying. The daughter left a message saying she was going to run away. The Chief and I searched for her but she was found sitting at the police station. Deputy Frank advised me to transfer, and I did."
summary_gpt4o_7_3.json,336,0.7451,"I was a rookie in the police force. The Chief had a young daughter. She tried to impress me, but I wasn't fond of her. One day, she left a message saying she'd run away. The Chief arrived at my apartment, looking intimidating. We searched for her but found her at the police station. I transferred and left at the end of my rookie year."
summary_gpt4o_5_2.json,343,0.733,"I was a rookie in the police force with a veteran Chief. The Chief's daughter tried to impress me, but I didn't like her chattiness. The daughter left a message saying she would run away. The Chief and I searched for her but found her safe at the police station. I transferred and left the police force because the Chief never forgot anything."
summary_gpt4o_8_4.json,346,0.739,I was a rookie in the police force. The Chief had a young daughter. I never observed her trying to impress me. She was a chatterbox and always talked a lot. She left a message saying she would run away. The Chief and I went searching for her. We found her at the police station reading a book. I transferred and left at the end of my rookie year.
summary_gpt4o_7_5.json,370,0.7672,I was a rookie in the police force. The Chief's daughter tried to impress me. I wasn't fond of her because she was a chatterbox. She threatened to run away because of her father's scolding about me. The Chief and I searched for her but couldn't locate her. We found her at the police station reading a book. I transferred and left the force at the end of my rookie year.
summary_gpt4o_8_6.json,374,0.7658,"I was a rookie in the police force. The Chief was a veteran with a young daughter. I was not fond of her because she talked too much. She left a message saying she was running away. The Chief came to my apartment, and I calmed him down. We searched for her but couldn't locate her. She was found at the police station with a book. The deputy suggested I transfer, and I did."
summary_gpt4o_5_4.json,376,0.7229,"I started as a rookie in the police force with a veteran Chief. The Chief's daughter seemed interested in me but I didn't like her talkative nature. She left a message threatening to run away because of her father's scolding. We searched for her and found her safe in the police station reading a book. After a warning from a deputy, I decided to transfer and leave the force."
summary_gpt4o_8_5.json,377,0.773,I was a rookie in the police force. The Chief had a young daughter trying to impress me. I wasn't fond of her because she talked too much. She left a message saying she would run away. The Chief came to my apartment looking intimidating. We searched for her but couldn't find her. She was found at the police station reading a book. I transferred and left after my rookie year.
summary_gpt4o_6_5.json,379,0.7802,"I was a rookie police officer and worked with a veteran Chief. The Chief had a young daughter who seemed interested in me. I didn't like her much because she talked too much. She left a message saying she would run away because of her father's scolding. We searched for her and found her safe at the police station. The deputy advised me to transfer, so I did and left the force."
summary_gpt4o_9_5.json,380,0.7681,I was a rookie in the police force. The Chief had a young daughter. I was a fitness enthusiast. The Chief's daughter tried to impress me. I didn't like her because she talked too much. She left a message saying she would run away. The Chief came to my apartment to talk. We searched for her and found her at the police station. I decided to transfer and leave after that incident.
summary_gpt4o_14_3.json,385,0.7748,I was a rookie in the police force. The Chief was a veteran. The Chief had a young daughter. I was a fitness enthusiast. She tried to impress me. She was a chatterbox. She threatened to run away. The Chief came to my apartment. I calmed him down. We searched for her. We couldn't locate her. She was at the police station. Frank Mitchell advised me to transfer. I transferred and left.
summary_gpt4o_11_2.json,396,0.7754,I was a rookie in the police force. The Chief was a veteran. The Chief had a young daughter. I was a fitness enthusiast. The daughter tried to impress me. I wasn't fond of her because she talked a lot. The daughter left a message about running away. The Chief came to my apartment. I proposed a search for the daughter. We couldn't locate her at the park. I transferred and left the police force.
summary_gpt4o_11_4.json,403,0.7409,I was a rookie in the police force. The Chief was a veteran. The Chief had a young daughter. I was a fitness enthusiast. She seemed to try to impress me. I didn't like her much because she talked a lot. She left a message saying she would run away. The Chief came to my apartment upset. I calmed him down and proposed a search. We searched but couldn't find her. I transferred and left the police force.
summary_gpt4o_9_6.json,404,0.7773,I was a rookie in the police force. The Chief was a veteran with a young daughter. I was a fitness enthusiast. The Chief's daughter was a chatterbox. She left a message about running away. The Chief came to my apartment looking intimidating. We searched for her near a park but couldn't find her. She was actually at the police station reading a book. I transferred and left at the end of my rookie year.
summary_gpt4o_11_3.json,405,0.766,I was a rookie in the police force. The Chief was a veteran officer. The Chief had a young daughter. I was a fitness enthusiast. She seemed to try to impress me. I wasn't very fond of the Chief's daughter. She left a message about running away. The Chief visited my apartment angrily. I proposed to help search for his daughter. We found her at the police station. I transferred and left the police force.
summary_gpt4o_9_3.json,406,0.7662,"I was a rookie in the police force. The Chief was a veteran and had a young daughter. I was a fitness enthusiast. She seemed to be trying to impress me. I wasn't fond of her because she was a chatterbox. She left a message saying she would run away. The Chief came to my apartment looking intimidating. We couldn't locate her, but she was at the police station. I transferred and left after my rookie year."
summary_gpt4o_12_6.json,411,0.7895,I was a rookie in the police force. The Chief was a veteran. The Chief had a young daughter. I was a fitness enthusiast. The daughter was trying to impress me. I wasn't very fond of her. She was a chatterbox. She left a message saying she would run away. The Chief arrived at my apartment. We searched for her near a park. We found her at the police station. I transferred and left after advice from the deputy.
summary_gpt4o_14_1.json,414,0.7805,I was a rookie in the police force. The Chief was a veteran. The Chief had a young daughter. I was a fitness enthusiast. She was trying to impress me. I wasn't very fond of her. She was a chatterbox. She left a message saying she'd run away. The Chief came to my apartment. I calmed him down. We searched for her near a park. We found her at the police station. The deputy said to transfer. I transferred and left.
summary_gpt4o_10_4.json,414,0.7285,I was a rookie in the police force. The Chief had a young daughter. I was a fitness enthusiast. I wasn't fond of the Chief's daughter. The Chief's daughter was a chatterbox. She left a message saying she would run away. The Chief came to my apartment to confront me. We looked for her but couldn't find her initially. We returned to the station and found her there. Frank Mitchell advised me to transfer and leave.
summary_gpt4o_8_2.json,419,0.761,I was a rookie in the police force. The Chief had a young daughter who tried to impress me. I wasn't very fond of her because she talked too much. She left a message saying she would run away because of her father's scolding. The Chief came to my apartment to confront me. I proposed we search for her together. We found her at the police station reading a book. I transferred and left because the deputy advised me to.
summary_gpt4o_9_2.json,425,0.7601,I was a rookie in the police force. The Chief was a veteran with a young daughter. I was a fitness enthusiast back then. The Chief's daughter tried to impress me. I wasn't fond of her because she was a chatterbox. She left a message saying she would run away. The Chief came to my apartment looking intimidating. We searched for her but found her at the police station. I transferred and left because of the Chief's attitude.
summary_gpt4o_10_2.json,440,0.7185,I was a rookie in the police force. The Chief was a veteran with a young daughter. I was a fitness enthusiast. The Chief's daughter tried to impress me. I was not fond of her because she was a chatterbox. She left a message saying she might run away. The Chief came to my apartment looking intimidating. I calmed him down and proposed a search. We searched and found her scarf but not her. She was at the police station and hadn't run away.
