recall_id,recall_text,recall_len,max_clause_id,mbits_original_narrative,mbits_rephrased_narrative
5422cca4fdf99b328c91b21b,"I was a rookie at the police station, and my chief inspector there was a powerful man. He had a daughter who was always trying to get my attention and to tell the truth, I was not interested. However she sent me a message, and then seemed to run away, so her dad came to me to find out where she was. I said we should go and look for her and if we cannot find her then she should do whatever he feels is necessary. We went to where her scarf was and she wasn't there, but after looking a while we found her at the police station reading a book - she hadn't run away. I was warned afterwards by a police officer that I should redeploy as the chief never forgets, so that's what I did. And that was the end of my rookie year.",723,21,143.26,129.81
571a82d06a1c6300094c6a19,"When I started as a rookie policeman I was introduced to my boss who happened to be a war veteran. He had the reputation of being really good at catching criminals. I at the time was one of these kind of people who liked going to the gym I liked to keep myself fit. At the time this police chief had a daughter who was sweet on me. I never liked her because she was a chatterbox and never encouraged her to be over friendly with me. One particular the chief asked me for help to look for his daughter who had run away after complaining that she was getting chastised for always talking about me. We got the whole force out looking for her and found a scarf on a bench. Eventually we carried on searching and found her reading a book under a tree. Everyone was very relieved but the deputy warned me that I better ask for a transfer because the ""old man never forgets anything"" so i put in for a transfer and that was the end of my rookie career.",945,24,147.77,127.62
57a7337e913c710001977341,Rookie policeman got close to the chief’s daughter. She looked nice but was a chatterbox. One day she said she was going to run away but didn’t and ended up at a police station after the rookie and her dad went looking for her. They were relieved as they only found her scarf in the park. After she was found the rookie felt all was well but another more experienced policeman said he should leave as it seems the chief blamed him and never forgot anyone who upset his daughter so the rookie transferred.,504,15,107.83,92.8
598d55aa8380cc00012a3a53,"A young girl who is infatuated with a fit young police officer has apparently run away. Her father, who is the young officer’s superior, goes to challenge him. They search for her together, but she is found waiting at the police station. Fearful of further trouble, the rookie officer transfers out.",299,10,75.72,66.47
59d54322c732930001d88b0f,"A police veteran had a daughter, she was trying to impress a man with fitness but he wasn’t interested. She went missing and they worked together to find her, they found her scarf and she was at the police station reading a book.",229,7,71.79,47.86
59e52174e75b450001a69189,"It was in my rookie year in the police force. The police chief had a young daughter, I didn't like her very much. She was very charming until she opened her mouth. She ran away. The police chief came to me. We went to search for her, strategising, and went to the place where we found her scarf. She was at the police station, she hadn't run away. The deputy police chief (Frank Mitchell) warned me to transfer because when the police chief has got an idea in his head it doesn't go away. So I transferred, that was the end of my police rookie year.",549,15,176.48,154.79
5a27eee353fc4b0001414fe8,"The narrator is a rookie police officer with a Chief. The chief has a daughter but rookie is not keen on her as she talks too much. She told the chief she was running away. They go and look for her and find her scarf but not her. On returning she is at the police station. Another officer tells the rookie that the Chief will be out to get him now and he should leave, so he does.",380,12,96.39,91.91
5a5e03dd8e62590001762542,"Back in the day I was a rookie and my chief was a veteran he had a daughter who liked me. She was nice until she opened her mouth she was a chatterbox. One day she ran away because her father kept scolding her about me he was angry with me, so I suggested we look for her. We found her scarf in a park but not her. She hadn't run away she was back at the police station reading a book. The deputy suggested I should transfer as the old man had a long memory. I did and that was the end of my rookie year.",504,18,174.38,162.53
5b3f93fc1388aa0001a80aaf,"When I was a rookie police officer the chief was a veteran. He had caught an important criminal and won an award. Back then I was a fitness enthusiast. He had a daughter who showed an interest in me but I hadn't noticed. She was a charming girl until she opened her mouth. She was a chatterbox. Goodness she could talk. One day she had left a note saying she was going to run away because he was always scolding her. He came to my apartment big intimidating look on his face. I said I would help to look for her but then he could do what he feels is right. I was strategizing. We looked where we thought she would go, by the park and found her scarf. But then we couldn't find a trace. We turned and she was in the police station reading a book. She hadn't run away. Another officer told me you had better transfer because he never forgets anything once he has it in his mind, When I was a rookie police officer the chief was a veteran. He had caught an important criminal",972,30,285.79,236.44
5b52fb6cb3c9400001f23bb5,A rookie in the police This is a story about his first year in the force. He had a boss who was a veteran. His boss had a young daughter Who it seems had a thing for the rookie As he was a fitness enthusiast. When the boss's daughter went missing The boss thought that the rookie had something to do with it And went to the rookie's apartment looking for the boss's daughter. She wasn't there So the rookie helped the boss look for his daughter. They found her scarf near a park And eventually located her at the police station reading a book. The rookie's manager Frank Mitchell advised the rookie to transfer As the boss never forgot anything And the rookie would always have trouble if he stayed. The rookie took the advice and transferred.,743,17,155.8,121.13
5bc127e62c0e6700013f2a08,"The author recalls their rookie year, in which they fell in love with the chief's daughter. She said she would run away, causing the chief to confront the author so they could find her together. Turns out, she hadn't run away at all. Nevertheless, the author transferred.",271,7,71.07,72.24
5c3f18cf105d550001417ef0,There was a rookie in the police and also a senior veteran. The daughter of the veteran liked the rookie but he thought she was a chatterbox and was not interested. She told him her father always scolded her about him so she was going to run away. The rookie and veteran went looking and found her shaft but not her. They returned to the police station and she was there reading a book. The deputy said I should move the boss doesn't forget things so that was the end of the rookie's time there.,495,15,130.42,111.93
