,summary,rephrased_summary,total,len,rate,suffix
0,"I was a rookie in the police force.|The Chief was a veteran with a young daughter.|I was a fitness enthusiast at that time.|The daughter tried to impress me, but I wasn't fond of her.|She was a chatterbox, and I found her annoying.|She threatened to run away because her father scolded her about me.|The Chief came to my apartment looking worried.|I suggested searching for her, and he agreed.|We found her safely at the police station later.|I decided to transfer and leave the police force that year.","As a newcomer to the law enforcement team, I worked under a seasoned Chief who had a little girl. During that period, I was heavily into physical fitness. The Chief's daughter made several attempts to catch my attention, but I didn't take a liking to her. Her incessant talking grated on my nerves. After her dad reprimanded her concerning her behavior towards me, she made a dramatic declaration about leaving home. One day, the Chief showed up at my place, visibly distressed. I proposed we initiate a search, to which he consented. Fortunately, we located her unharmed at the precinct. That incident prompted me to request a transfer and ultimately resign from the department that same year.",150.14,502,0.3,10_1.json
1,I was a rookie in the police force.|The Chief was a veteran with a young daughter.|I was a fitness enthusiast.|The Chief's daughter tried to impress me.|I was not fond of her because she was a chatterbox.|She left a message saying she might run away.|The Chief came to my apartment looking intimidating.|I calmed him down and proposed a search.|We searched and found her scarf but not her.|She was at the police station and hadn't run away.,"As a newcomer to the police department, I worked under a seasoned Chief who had a little girl. My passion for physical fitness was well-known. The Chief's young daughter attempted to catch my attention, but her incessant talking deterred me. One day, she left a note hinting at a possible elopement. Her father, appearing quite daunting, showed up at my residence. I managed to soothe his nerves and suggested we look for her. During our search, we stumbled upon her scarf but not her. It turned out she was safe at the precinct, having never actually left.",139.09,440,0.32,10_2.json
2,"I was a rookie in the police force.|The Chief was a veteran with a notorious criminal capture.|The Chief's daughter was trying to impress me.|I didn't like her because she was a chatterbox.|She left a message saying she would run away.|The Chief confronted me at my apartment.|I calmed him and suggested we search for her together.|We searched and found her scarf near a park.|We returned to find her safely at the police station.|The deputy advised me to transfer and leave, so I did.","As a newcomer to the police department, I worked under a Chief renowned for his impressive record of apprehending criminals. His daughter seemed intent on winning my favor, but her incessant talking turned me off. One day, she left a note threatening to elope. The Chief, in a state of alarm, showed up at my residence. I managed to soothe his nerves and proposed a joint effort to locate her. Our search led us to discover her scarf by a park, but upon returning, we were relieved to find her back at the station unharmed. Following the incident, the deputy suggested it would be wise for me to request a transfer, which I ultimately decided to do.",158.62,485,0.33,10_3.json
3,I was a rookie in the police force.|The Chief was a veteran with a notorious criminal capture.|The Chief had a young daughter.|I was a fitness enthusiast.|I wasn't fond of the Chief's daughter.|The Chief's daughter was a chatterbox.|She left a message about running away.|The Chief arrived at my apartment looking intimidating.|I calmed him and suggested searching for her.|She was found reading a book at the police station.|I transferred after being advised by the deputy.,"As a newcomer to the police department, I worked under a Chief renowned for his impressive record of apprehending criminals. He was the father of a little girl known for her incessant talking, whom I admittedly did not take a liking to. One day, she left a note indicating her intention to run away. When the Chief showed up at my residence, his presence was quite formidable. However, I managed to soothe his nerves and proposed that we look for her. Eventually, she was discovered at the police station, engrossed in a book. Following a recommendation from the deputy, I decided to request a transfer.",154.83,474,0.33,11_1.json
4,I was a rookie in the police force.|The Chief was a veteran.|The Chief had a young daughter.|I was a fitness enthusiast.|The daughter tried to impress me.|I wasn't fond of her because she talked a lot.|The daughter left a message about running away.|The Chief came to my apartment.|I proposed a search for the daughter.|We couldn't locate her at the park.|I transferred and left the police force.,"As a newcomer to the law enforcement team, I worked under an experienced Chief. He had a daughter who was still in her youth. My interest in physical health was well-known. His daughter made attempts to catch my attention, but her excessive chatter made her less appealing to me. One day, she left a note indicating her intention to elope. Subsequently, the Chief paid a visit to my residence. I suggested we initiate a quest to find his daughter. Despite our efforts, we were unsuccessful in finding her at the local recreational area. Eventually, I made the decision to move on and resigned from my position with the police department.",123.84,396,0.31,11_2.json
5,I was a rookie in the police force.|The Chief was a veteran officer.|The Chief had a young daughter.|I was a fitness enthusiast.|She seemed to try to impress me.|I wasn't very fond of the Chief's daughter.|She left a message about running away.|The Chief visited my apartment angrily.|I proposed to help search for his daughter.|We found her at the police station.|I transferred and left the police force.,"As a newcomer to the law enforcement team, I worked under the command of an experienced officer. This officer, the Chief, was the father of a youthful girl. My own passion for physical exercise was evident. It appeared as though his daughter was making efforts to catch my attention. However, I didn't particularly take to the Chief's offspring. One day, she left a note indicating her intention to elope. In a state of fury, the Chief confronted me at my residence. I offered my assistance to locate his missing child. Surprisingly, we discovered her at the precinct. Subsequently, I made the decision to transfer and bid farewell to my position in the force.",139.2,405,0.34,11_3.json
6,"I was a rookie in the police force.|The Chief was a veteran with a young daughter.|I was a fitness enthusiast in those days.|The Chief's daughter tried to impress me.|I found her talkative and didn't like her much.|She left a message about running away.|The Chief came to my apartment looking intimidating.|I calmed him down and proposed a search plan.|We went where they found her scarf near a park.|We couldn't locate her and returned to the station.|She was at the station with a book, not missing.|I transferred and left on advice from Frank Mitchell.","As a newcomer to the police department, I worked under a seasoned officer who had a young daughter. Back then, I was quite devoted to maintaining my physical fitness. The Chief's daughter seemed to take a liking to me and was quite chatty, though I wasn't particularly fond of her. One day, she left a note suggesting she might run away. Her father, appearing rather formidable, showed up at my place. I managed to soothe his nerves and suggested we organize a search. Our search led us to a park where her scarf was discovered, but she was nowhere to be found. We headed back to the precinct empty-handed, only to find her there, engrossed in a book, safe and sound. Following the guidance of Frank Mitchell, I decided it was time for a change and requested a transfer.",169.69,555,0.31,12_1.json
7,I was a rookie in the police force.|The Chief was a veteran with a notorious catch.|The Chief had a young daughter.|I was a fitness enthusiast.|The daughter seemed to try impressing me.|I found her a charming chatterbox.|She left a message about running away.|The Chief came to my apartment upset.|I proposed we search for her.|We found her scarf near a park.|She was at the police station with a book.|I transferred and left after my rookie year.,"As a newcomer to the law enforcement team, I worked under a Chief renowned for his impressive arrests. His daughter, still in her youth, appeared to take a liking to me, perhaps due to my keen interest in physical fitness. She was quite the conversationalist, and I couldn't help but be enchanted by her lively banter. One day, she left a note indicating her intention to elope. Distraught, the Chief showed up at my residence. I suggested we immediately commence a search. Our efforts led us to discover her scarf by a park, but as it turned out, she was safe at the police station, engrossed in a book. After completing my first year as a novice officer, I decided to transfer and move on.",165.52,447,0.37,12_2.json
8,"I was a rookie in the police force.|The Chief was a veteran with a young daughter.|I was a fitness enthusiast back then.|The Chief's daughter tried to impress me.|I wasn't fond of her because she talked a lot.|She left a message about running away.|The Chief came to my apartment, looking intimidating.|I calmed him down and suggested a search plan.|We searched near the park where her scarf was found.|We didn't locate her and returned to the station.|She was at the station reading a book, not runaway.|I transferred after Deputy Frank Mitchell advised me.","As a newcomer to the police department, I worked under a seasoned officer who had a young daughter. At that time, I was quite passionate about staying in shape. His daughter made several attempts to catch my attention, but her excessive chatter made her less appealing to me. One day, she left a note indicating she might elope. Her father, appearing quite formidable, showed up at my residence. I managed to soothe his nerves and proposed a strategy to find her. Our search led us to a park where we discovered her scarf, but she was nowhere to be found. We headed back to the precinct empty-handed, only to find her there engrossed in a book, having not actually fled. Following a recommendation from Deputy Frank Mitchell, I decided to request a transfer.",193.58,558,0.35,12_3.json
9,I was a rookie in the police force.|The Chief was a veteran with a young daughter.|I was a fitness enthusiast.|The Chief's daughter tried to impress me.|I wasn't very fond of her.|She was a chatterbox.|The daughter left a message about running away.|The Chief came to my apartment.|I calmed the Chief down.|We searched for her at the park.|We couldn't locate her initially.|We found her at the police station.|I transferred and left the force.,"As a newcomer to the law enforcement team, I worked under a seasoned Chief who had a little girl. My passion for physical exercise was well-known. The Chief's young girl made attempts to win my admiration, although I didn't take much of a liking to her due to her incessant talking. One day, she left a note indicating her intention to elope. In response, the Chief showed up at my residence in distress. I managed to soothe his nerves, and together we set out to the local park in search of her, but she was nowhere to be found at first. Eventually, we discovered her back at the precinct. After that incident, I decided to move on and resigned from the department.",137.68,443,0.31,13_1.json
