index,keypoints,keypoints_len_in_chars,original_mbits,rephrased_mbits,"produced
key points","required
key points",attempt
0,"I was a rookie and the Chief had a young daughter. The Chief's daughter planned to run away, and I helped search for her. I transferred and left after Frank advised me to, ending my rookie year.",194,86.41,80.55,3,3,1
1,"I was a rookie police officer interested in fitness. The Chief's daughter left a message about running away due to his disapproval. We found her safe at the police station, leading to my transfer.",196,68.94,77.28,3,3,2
2,I was a rookie in the police force back in the day. The Chief's daughter left a message saying she was going to run away. I transferred and left because the Chief never forgets anything once it's in his mind.,208,91.07,71.72,3,3,3
3,"I noticed the Chief had a young daughter who was trying to impress me. She left a message saying she would run away because the Chief scolded her about me. The Chief and I looked for her, but she was found at the police station. I transferred and left the department after being advised by the deputy.",301,99.02,96.64,4,4,1
4,I was a rookie in the police force. I learned that the Chief's daughter was a chatterbox. The Chief and I searched for his daughter when she threatened to run away. I transferred to another department after the incident.,220,69.26,68.81,4,4,2
5,I was a rookie in the police force. The Chief's daughter seemed to like me. The Chief thought she ran away because of me. I transferred and left after the incident.,164,69.75,61.26,4,4,3
6,I was a rookie in the police force. The Chief's daughter was trying to impress me. She left a message saying she was going to run away. The Chief and I searched for her but couldn't find her. I transferred and left after that incident.,235,88.82,70.41,5,5,1
7,"I was a rookie in the police force with a veteran Chief. The Chief's daughter tried to impress me, but I didn't like her chattiness. The daughter left a message saying she would run away. The Chief and I searched for her but found her safe at the police station. I transferred and left the police force because the Chief never forgot anything.",343,105.47,95.56,5,5,2
8,I was a rookie in the police force. The Chief's daughter tried to impress me. The Chief's daughter left a message about running away. We searched for the Chief's daughter but found her at the police station. I transferred and left the police force after my rookie year.,269,82.78,70.77,5,5,3
9,I was a rookie in the police force. The Chief's daughter seemed to try to impress me. I was not fond of her because she was a chatterbox. The Chief's daughter left a message about running away. The Chief and I searched for her and found her at the police station. I transferred and left the force after my rookie year.,318,103.01,91.49,6,6,1
10,I was a rookie in the police force. The Chief had a young daughter. I didn't like her because she talked too much. She left a message saying she would run away. The Chief and I searched for her. I transferred and left at the end of the year.,241,96.27,83.25,6,6,2
11,I was a rookie in the police force. The Chief's daughter tried to impress me. She threatened to run away due to her father's scolding. The Chief and I searched for her but couldn't find her. We returned to find her safe at the police station. I decided to transfer and leave the police force.,292,94.57,77.0,6,6,3
12,"I was a rookie in the police force. The Chief had a young daughter. I didn't like her because she talked too much. She left a message about running away. The Chief came to my apartment, and I calmed him down. We found her at the police station. I transferred and left because of the Chief.",289,107.82,94.26,7,7,1
13,I was a rookie in the police force. The Chief had a young daughter. I was a fitness enthusiast. The daughter tried to impress me. She left a message about running away. The Chief arrived and we searched for her. I transferred and left the police force.,252,105.58,88.22,7,7,2
14,"I was a rookie in the police force. The Chief had a young daughter. She tried to impress me, but I wasn't fond of her. One day, she left a message saying she'd run away. The Chief arrived at my apartment, looking intimidating. We searched for her but found her at the police station. I transferred and left at the end of my rookie year.",336,120.28,97.54,7,7,3
15,"I joined the police force as a rookie. The Chief had a young daughter. I was a fitness enthusiast and she tried to impress me. I wasn't fond of her because she was a chatterbox. She left a message saying she was running away due to her father's scolding. The Chief came to my apartment and we strategized to find her. We found her at the police station with a book in her hands. The deputy advised me to transfer, and I did, ending my rookie year.",447,161.55,141.55,8,8,1
16,I was a rookie in the police force. The Chief had a young daughter who tried to impress me. I wasn't very fond of her because she talked too much. She left a message saying she would run away because of her father's scolding. The Chief came to my apartment to confront me. I proposed we search for her together. We found her at the police station reading a book. I transferred and left because the deputy advised me to.,419,147.65,131.3,8,8,2
17,I was a rookie in the police force. The Chief had a young daughter. I was a fitness enthusiast. The Chief's daughter tried to impress me. She left a message saying she would run away. The Chief came to my apartment upset. We found the daughter sitting in the police station. I transferred and left after my rookie year.,319,112.69,99.33,8,8,3
