index,keypoints,keypoints_len_in_chars,original_mbits,rephrased_mbits,"produced
key points","required
key points",attempt
0,"I was a rookie and the Chief had a young daughter. The Chief's daughter planned to run away, and I helped search for her. I transferred and left after Frank advised me to, ending my rookie year.",194,64.13,72.88,3,3,1
1,"I was a rookie police officer interested in fitness. The Chief's daughter left a message about running away due to his disapproval. We found her safe at the police station, leading to my transfer.",196,54.8,70.72,3,3,2
2,I was a rookie in the police force back in the day. The Chief's daughter left a message saying she was going to run away. I transferred and left because the Chief never forgets anything once it's in his mind.,208,93.54,66.01,3,3,3
3,"I noticed the Chief had a young daughter who was trying to impress me. She left a message saying she would run away because the Chief scolded her about me. The Chief and I looked for her, but she was found at the police station. I transferred and left the department after being advised by the deputy.",301,87.73,87.18,4,4,1
4,I was a rookie in the police force. I learned that the Chief's daughter was a chatterbox. The Chief and I searched for his daughter when she threatened to run away. I transferred to another department after the incident.,220,61.28,63.29,4,4,2
5,I was a rookie in the police force. The Chief's daughter seemed to like me. The Chief thought she ran away because of me. I transferred and left after the incident.,164,72.4,58.57,4,4,3
6,I was a rookie in the police force. The Chief's daughter was trying to impress me. She left a message saying she was going to run away. The Chief and I searched for her but couldn't find her. I transferred and left after that incident.,235,83.23,66.35,5,5,1
7,"I was a rookie in the police force with a veteran Chief. The Chief's daughter tried to impress me, but I didn't like her chattiness. The daughter left a message saying she would run away. The Chief and I searched for her but found her safe at the police station. I transferred and left the police force because the Chief never forgot anything.",343,100.04,92.23,5,5,2
8,I was a rookie in the police force. The Chief's daughter tried to impress me. The Chief's daughter left a message about running away. We searched for the Chief's daughter but found her at the police station. I transferred and left the police force after my rookie year.,269,79.47,71.46,5,5,3
9,I was a rookie in the police force. The Chief's daughter seemed to try to impress me. I was not fond of her because she was a chatterbox. The Chief's daughter left a message about running away. The Chief and I searched for her and found her at the police station. I transferred and left the force after my rookie year.,318,99.1,88.46,6,6,1
10,I was a rookie in the police force. The Chief had a young daughter. I didn't like her because she talked too much. She left a message saying she would run away. The Chief and I searched for her. I transferred and left at the end of the year.,241,86.72,79.35,6,6,2
11,I was a rookie in the police force. The Chief's daughter tried to impress me. She threatened to run away due to her father's scolding. The Chief and I searched for her but couldn't find her. We returned to find her safe at the police station. I decided to transfer and leave the police force.,292,86.08,75.15,6,6,3
12,"I was a rookie in the police force. The Chief had a young daughter. I didn't like her because she talked too much. She left a message about running away. The Chief came to my apartment, and I calmed him down. We found her at the police station. I transferred and left because of the Chief.",289,103.2,98.93,7,7,1
13,I was a rookie in the police force. The Chief had a young daughter. I was a fitness enthusiast. The daughter tried to impress me. She left a message about running away. The Chief arrived and we searched for her. I transferred and left the police force.,252,106.99,78.44,7,7,2
14,"I was a rookie in the police force. The Chief had a young daughter. She tried to impress me, but I wasn't fond of her. One day, she left a message saying she'd run away. The Chief arrived at my apartment, looking intimidating. We searched for her but found her at the police station. I transferred and left at the end of my rookie year.",336,120.4,97.9,7,7,3
15,"I joined the police force as a rookie. The Chief had a young daughter. I was a fitness enthusiast and she tried to impress me. I wasn't fond of her because she was a chatterbox. She left a message saying she was running away due to her father's scolding. The Chief came to my apartment and we strategized to find her. We found her at the police station with a book in her hands. The deputy advised me to transfer, and I did, ending my rookie year.",447,162.44,129.54,8,8,1
16,I was a rookie in the police force. The Chief had a young daughter who tried to impress me. I wasn't very fond of her because she talked too much. She left a message saying she would run away because of her father's scolding. The Chief came to my apartment to confront me. I proposed we search for her together. We found her at the police station reading a book. I transferred and left because the deputy advised me to.,419,153.47,131.34,8,8,2
17,I was a rookie in the police force. The Chief had a young daughter. I was a fitness enthusiast. The Chief's daughter tried to impress me. She left a message saying she would run away. The Chief came to my apartment upset. We found the daughter sitting in the police station. I transferred and left after my rookie year.,319,119.39,92.77,8,8,3
18,I was a rookie in the police force. The Chief was a veteran. The Chief's daughter tried to impress me. I wasn't fond of her chatter. She left a message about running away. The Chief came to my apartment. We searched for her but found nothing. She was found at the police station. I transferred and left the force.,313,115.44,97.66,9,9,1
19,I was a rookie in the police force. The Chief was a veteran with a young daughter. I was a fitness enthusiast back then. The Chief's daughter tried to impress me. I wasn't fond of her because she was a chatterbox. She left a message saying she would run away. The Chief came to my apartment looking intimidating. We searched for her but found her at the police station. I transferred and left because of the Chief's attitude.,425,158.06,121.91,9,9,2
20,"I was a rookie in the police force. The Chief was a veteran and had a young daughter. I was a fitness enthusiast. She seemed to be trying to impress me. I wasn't fond of her because she was a chatterbox. She left a message saying she would run away. The Chief came to my apartment looking intimidating. We couldn't locate her, but she was at the police station. I transferred and left after my rookie year.",406,163.96,122.64,9,9,3
21,"I was a rookie in the police force. The Chief was a veteran with a young daughter. I was a fitness enthusiast at that time. The daughter tried to impress me, but I wasn't fond of her. She was a chatterbox, and I found her annoying. She threatened to run away because her father scolded her about me. The Chief came to my apartment looking worried. I suggested searching for her, and he agreed. We found her safely at the police station later. I decided to transfer and leave the police force that year.",502,137.55,119.8,10,10,1
