recall_id,recall_text,len_original,recall rate,rephrased_text,len_rephrased,rate
6054ce9cd4e5c96ab84e9113,ONE DAY i WAS IN A POLICE FORCE AND A ROOKIE AND SAW A DAUGHTER WHO WAS A CHATTERBOX,84,0.31,ON A CERTAIN DAY I SERVED ON THE POLICE SQUAD AS A NEW RECRUIT I OBSERVED A YOUNG GIRL WHO TALKED EXCESSIVELY,109,0.11683836791834884
5d833b0e6642ee0001bfa9cb,working in police force and met a girl who was the chiefs daughter. he didnt like her as she had a big mouth.,109,0.26,Employed within the law enforcement agency he encountered a young woman who happened to be the daughter of the chief. He wasn't fond of her because she was known to be quite talkative.,184,0.1691683892119564
60f09743e03e0ef8f6f4842a,Rookie year i helped find the daughter of my captain.,53,0.56,First year on the job I assisted in locating the captain's daughter who belonged to my superior.,96,0.29688866958437504
60471ddd0b6ed718cb843760,Back in the day when he was a rookie there was a lady that went missing only to find out that she was not actually missing. The detective had a daughter as well.,161,0.19,"In times past during his early years a woman had disappeared later it was revealed that she was, in fact, not gone. This investigator possessed a daughter too.",159,0.055042770802515774
5fbaf990efe4a5bcf223f9d7,"a girl was a rookie and had an argument with a boss gf and the girlfriend disappeared but at the end they found, the rookie girl had to transfer because the boss did not forget easily.",184,0.18,"A young woman was new to the job and got into a dispute with her boss's girlfriend subsequently, the girlfriend vanished however, ultimately they located her the novice employee was required to relocate since her employer held a long memory.",241,0.1149716198655602
5f702dfd68dfbf000da79ada,"Back in the day when he was in the police force, during his rookie year, he tried to explain an incident about locating a charming and missing lady through a scarf that was probably by the river.",195,0.18,"In the times when he served as a police officer, in his initial year on the job, he attempted to describe a situation regarding the search for an enchanting woman who had disappeared, using a scarf as a clue, which was likely found near the river.",247,0.10537596185263161
627966f3451caac7a46ca880,Very hard to follow but something about a police chief with a rude daughter and the trainee policeman had to move away because he didn't like him.,146,0.25,Extremely difficult to understand yet it involved a law enforcement head who had an impolite offspring alongside a novice officer who was compelled to relocate owing to his dislike for the individual.,200,0.1115322876255
5e54309f0a98c705f68ae8a8,"The storyteller is a policeman, and back when he was in his first year on the force, the police chief's daughter ran away. They looked for her together in the park, but ended up finding her in the police station.",212,0.18,"The narrator serves as a law enforcement officer, and during his initial period of service, the daughter of the head of police went missing. Together, they searched for her in the public gardens, yet they ultimately located her at the precinct.",244,0.1628454239512295
5c8808098d2bbf0017e4b527,"I was a rookie cop. My boss was very experienced. A young person was reported missing. Turns out she didn't run away, but turned herself in to the police station. Someone told me to leave the force since my boss never forgets anything. I did, I quit.",250,0.17,"I had just started my career in law enforcement. The chief had a wealth of experience. There was a report of a missing juvenile. It appeared she hadn't eloped, instead, she presented herself at the precinct. An individual suggested I resign from my position because my superior has an infallible memory. So I followed that advice, I handed in my resignation.",358,0.10245543757709494
642ea9a95d8d96e72339424e,"A rookie policeman went looking for a girl and couldn't find her. She later turned up in the police station and the rookie policeman was encouraged to transfer, and he did.",172,0.26,"A novice officer searched for a young woman but was unable to locate her. The girl subsequently appeared at the precinct prompting suggestions for the new officer to request a transfer, which he ultimately accepted.",215,0.19415496117255812
64147bd031fe8ffa29c456ed,"In a boy's town, the chief had a granddaughter, who a while ago tried to make a move on him, but he did not realise that at first. He also wasn't overly fond of her, due to her being quite the chatterbox. He thought she went missing, but she was in fact just sat the police station, with a book in hand. The boy transferred from the town away, due to this incident.",365,0.13,"Within a small town inhabited by boys, the leader's granddaughter existed, who previously attempted to flirt with him, although he initially failed to recognize it. His affection for her wasn't particularly strong, as she was known to talk excessively. He believed she had disappeared, yet she was actually seated at the police station, engrossed in a book. The boy relocated from that town subsequently, as a consequence of the event.",435,0.10988762514620692
60b2827157e043215e6f997e,i had a rookie year. when the captain the station commander had a daughter whom was in love with me she was a charming lady who was a chatterbox which made me uninterested in her she decided to run away because her dad used to scold her a lot. the chief instructed me to look for her.,284,0.2,"My first year was that of a novice. It was then that the captain, who commanded the station, fathered a girl who had developed feelings for me This young woman was quite enchanting and was known for talking excessively which resulted in my lack of interest towards her She made up her mind to elope on account of her father's frequent reprimands. The head officer tasked me with the duty of searching for her.",409,0.09638672060195602
5e3752a476397a6e638bfc5e,A guy talks about the first year as a police officer. There's a girl that fancied him and they thought she ran away but she didn't but the guy was still asked to leave because the veteran officer wouldn't be able to forget what happened.,237,0.27,"A man speaks regarding his initial year in the role of a law enforcement official. A young woman had taken a liking to him and it was believed that she had eloped yet she had not nevertheless, the man was compelled to resign since the seasoned officer couldn't put the incident behind him concerning the events that transpired.",327,0.12835497372966367
5f86ebc47c32d005ad582abd,"There was a Policeman, a good one but he hadn't won a medal or award for bravery. HE had a daughter whom the writer really liked. She was witty, intelligent and beautiful (or words to that effect). The Policeman didn't want the writer to be friends or have a relationship with the daughter. She went missing one day. The writer proposed he would look for her. Maybe the Policeman went too. They found a scarf belonging to her and I can't remember if they actually found her. My memory is worse than I thought.",509,0.13,"A member of the police force existed, who was commendable in his duties, yet he had never received a decoration or commendation for valor. This officer had a progeny, a young woman the author held in high esteem. She possessed a sharp wit, high intelligence, and striking beauty (to use similar expressions). The lawman was opposed to the idea of the author befriending or entering into a romantic involvement with his offspring. One day, she became unaccounted for. The author offered to embark on a search for her. Perhaps the officer joined the search as well. They stumbled upon a piece of her attire, a scarf, and it's unclear to me whether they ever located her. My recollection is failing me more than I realized.",720,0.07040723163416665
