index,len,rate,keypoints,mbits,"produced
key points","required
key points",attempt,rephrase,rephrase_len,rephrased_mbits,rephrase_rate
0,164,0.4253,I was a rookie in the police force. The Chief's daughter seemed to like me. The Chief thought she ran away because of me. I transferred and left after the incident.,69.75,4,4,3,"As a newcomer to the law enforcement team, it appeared that the Chief's offspring had taken a liking to me. The Chief was under the impression that her disappearance was due to my influence. Following the event, I made the decision to move to a different precinct and departed.",277,41.087921128699996,0.1483
1,194,0.4454,"I was a rookie and the Chief had a young daughter. The Chief's daughter planned to run away, and I helped search for her. I transferred and left after Frank advised me to, ending my rookie year.",86.41,3,3,1,"Being new to the force, I found myself in a situation where the Chief's young daughter intended to elope. I joined the effort to find her. Upon Frank's recommendation, I moved to a different precinct, concluding my initial year in law enforcement.",247,51.44863888919999,0.2083
2,196,0.3517,"I was a rookie police officer interested in fitness. The Chief's daughter left a message about running away due to his disapproval. We found her safe at the police station, leading to my transfer.",68.94,3,3,2,"As a novice in law enforcement with a keen interest in physical health, I received a distressing note from the Chief's daughter about her decision to flee because of her father's objections. Fortunately, she was located unharmed within the precinct, an event which subsequently resulted in my reassignment.",306,49.00173952370001,0.1601
3,208,0.4379,I was a rookie in the police force back in the day. The Chief's daughter left a message saying she was going to run away. I transferred and left because the Chief never forgets anything once it's in his mind.,91.07,3,3,3,"Back when I was a newcomer on the police squad, the Chief's daughter had left a note about her plans to elope. I made a transfer and departed since the Chief was known for his inability to let go of anything once it took hold in his memory.",240,54.622467075699994,0.2276
4,220,0.3148,I was a rookie in the police force. I learned that the Chief's daughter was a chatterbox. The Chief and I searched for his daughter when she threatened to run away. I transferred to another department after the incident.,69.26,4,4,2,"Being new to the police department, I soon discovered that the Chief's daughter was known for being extremely talkative. One day, the Chief and I had to look for her when she made threats of leaving home. Following that event, I moved to a different division within the force.",276,44.5543212778,0.1614
5,235,0.378,I was a rookie in the police force. The Chief's daughter was trying to impress me. She left a message saying she was going to run away. The Chief and I searched for her but couldn't find her. I transferred and left after that incident.,88.82,5,5,1,"Being new to the police department, I caught the attention of the Chief's daughter, who seemed keen on making an impression on me. She left a note indicating her plans to elope. Despite extensive efforts by the Chief and myself, we were unable to locate her. Following that event, I requested a transfer and moved on from that place.",333,56.86209110470002,0.1708
6,241,0.3995,I was a rookie in the police force. The Chief had a young daughter. I didn't like her because she talked too much. She left a message saying she would run away. The Chief and I searched for her. I transferred and left at the end of the year.,96.27,6,6,2,"As a newcomer to the law enforcement team, I was under the command of a Chief who was the father of a loquacious young girl. Her incessant chatter didn't sit well with me. One day, she left a note declaring her intention to flee from home. Together with the Chief, we embarked on a mission to find her. By the year's conclusion, I had moved on to a different assignment.",370,52.6195678753,0.1422
7,252,0.419,I was a rookie in the police force. The Chief had a young daughter. I was a fitness enthusiast. The daughter tried to impress me. She left a message about running away. The Chief arrived and we searched for her. I transferred and left the police force.,105.58,7,7,2,"As a newcomer to the law enforcement team, I encountered the Chief's adolescent daughter. My passion for physical conditioning was well-known. In an attempt to gain my admiration, she left a note indicating her intention to elope. Upon the Chief's return, a search ensued. Subsequently, I moved on from the department, ending my career in policing.",348,61.12997435770001,0.1757
8,269,0.3077,I was a rookie in the police force. The Chief's daughter tried to impress me. The Chief's daughter left a message about running away. We searched for the Chief's daughter but found her at the police station. I transferred and left the police force after my rookie year.,82.78,5,5,3,"During my initial year as a law enforcement officer, the daughter of the Police Chief made attempts to win my admiration. She left a note indicating her intention to elope. Our efforts to locate her were in vain until we discovered her back at the precinct. Following that year, I moved on from the department, ending my brief tenure in the force.",347,46.561553946700016,0.1342
9,289,0.3731,"I was a rookie in the police force. The Chief had a young daughter. I didn't like her because she talked too much. She left a message about running away. The Chief came to my apartment, and I calmed him down. We found her at the police station. I transferred and left because of the Chief.",107.82,7,7,1,"Being new to the police department, I often crossed paths with the Chief's daughter, a loquacious young girl whom I found quite bothersome. One day, she left a note indicating her intention to flee. In a state of distress, the Chief showed up at my residence, where I managed to soothe his nerves. Eventually, we located her safe within the precinct. The situation with the Chief ultimately led me to request a transfer and depart from that place.",447,71.33172604270001,0.1596
10,292,0.3239,I was a rookie in the police force. The Chief's daughter tried to impress me. She threatened to run away due to her father's scolding. The Chief and I searched for her but couldn't find her. We returned to find her safe at the police station. I decided to transfer and leave the police force.,94.57,6,6,3,"Being new to the police department, I caught the attention of the Chief's daughter who sought to make an impression on me. She made a bold claim that she would flee from home in response to her father's harsh reprimands. Together with the Chief, we scoured the area for her without success. Upon our return, we were relieved to discover she was unharmed and had returned to the station. Subsequently, I made the choice to request a transfer and exit the department.",465,63.79547118720001,0.1372
11,301,0.329,"I noticed the Chief had a young daughter who was trying to impress me. She left a message saying she would run away because the Chief scolded her about me. The Chief and I looked for her, but she was found at the police station. I transferred and left the department after being advised by the deputy.",99.02,4,4,1,"I observed that the Chief's daughter, a young girl, seemed intent on making an impression on me. She had left a note expressing her intention to flee after her father, the Chief, had reprimanded her concerning my presence. Together with the Chief, we searched for her, only to discover that she had been located at the local police precinct. Following a recommendation from the assistant chief, I decided to accept a transfer and depart from the police force.",459,69.2144699039,0.1508
12,313,0.3426,I was a rookie in the police force. The Chief was a veteran. The Chief's daughter tried to impress me. I wasn't fond of her chatter. She left a message about running away. The Chief came to my apartment. We searched for her but found nothing. She was found at the police station. I transferred and left the force.,107.24,9,9,1,"As a newcomer to the law enforcement team, I worked under an experienced Chief. His daughter made attempts to win my admiration. However, her constant talking didn't appeal to me. One day, she left a note indicating her intention to elope. The Chief paid a visit to my residence. Together, we scoured the area for her to no avail. Ultimately, she turned up back at the precinct. Subsequently, I requested a transfer and resigned from the department.",449,84.99923703569999,0.1893
13,318,0.3239,I was a rookie in the police force. The Chief's daughter seemed to try to impress me. I was not fond of her because she was a chatterbox. The Chief's daughter left a message about running away. The Chief and I searched for her and found her at the police station. I transferred and left the force after my rookie year.,103.01,6,6,1,"During my initial year with the law enforcement agency, it appeared that the Chief's offspring was making an effort to win my favor. Her tendency to talk incessantly didn't endear her to me. She left a note indicating her intention to elope. Together with the Chief, we embarked on a search and eventually located her back at the precinct. Following my first year, I opted for a transfer and subsequently exited the police department.",434,64.4037780702,0.1484
14,319,0.3532,I was a rookie in the police force. The Chief had a young daughter. I was a fitness enthusiast. The Chief's daughter tried to impress me. She left a message saying she would run away. The Chief came to my apartment upset. We found the daughter sitting in the police station. I transferred and left after my rookie year.,112.69,8,8,3,"As a newcomer to the law enforcement team, I encountered the Chief, who was the father of a vivacious young girl. My passion for physical fitness was well-known. In an attempt to catch my attention, the Chief's daughter left a note threatening to elope. Distraught, the Chief visited me at my residence. To our relief, we discovered her at the precinct, unharmed. Following my initial year on the force, I pursued a transfer and departed.",438,74.0727844117,0.1691
15,336,0.358,"I was a rookie in the police force. The Chief had a young daughter. She tried to impress me, but I wasn't fond of her. One day, she left a message saying she'd run away. The Chief arrived at my apartment, looking intimidating. We searched for her but found her at the police station. I transferred and left at the end of my rookie year.",120.28,7,7,3,"Being new to the police department, I encountered the Chief's daughter, who was quite young. She made attempts to win my favor, yet I did not reciprocate her feelings. Unexpectedly, she sent a note declaring her intention to elope. When the Chief showed up at my residence, his presence was formidable. Together, we set out to locate her, only to discover she had returned to the precinct. My tenure as a novice officer concluded with a transfer, marking the close of my first year.",482,73.4387512347,0.1524
16,343,0.3075,"I was a rookie in the police force with a veteran Chief. The Chief's daughter tried to impress me, but I didn't like her chattiness. The daughter left a message saying she would run away. The Chief and I searched for her but found her safe at the police station. I transferred and left the police force because the Chief never forgot anything.",105.47,5,5,2,"As a newcomer to the law enforcement team, I worked under an experienced Chief. His daughter made attempts to win my favor, yet her excessive talking was off-putting to me. She left a note one day, threatening to elope. Together with the Chief, we scoured the area for her, only to discover she was unharmed and had remained at the precinct. Ultimately, I chose to relocate and resign from my position, as the Chief was known for his unfailing memory.",451,83.0018005107,0.184
17,385,0.4642,I was a rookie in the police force. The Chief was a veteran. The Chief had a young daughter. I was a fitness enthusiast. She tried to impress me. She was a chatterbox. She threatened to run away. The Chief came to my apartment. I calmed him down. We searched for her. We couldn't locate her. She was at the police station. Frank Mitchell advised me to transfer. I transferred and left.,178.71,14,14,3,"As a newcomer to the police department, I worked under a seasoned Chief who had a little girl. My passion for physical fitness caught her attention, and she made efforts to win my admiration. Known for her talkative nature, she once warned she might flee. One day, the Chief showed up at my residence in distress. I managed to soothe his nerves, and together we scoured the area for her, but to no avail. It turned out she had been at the precinct all along. Following a suggestion from Frank Mitchell, I decided it was best to request a transfer, and subsequently, I moved on from that position.",596,108.93167113970001,0.1828
18,396,0.3626,I was a rookie in the police force. The Chief was a veteran. The Chief had a young daughter. I was a fitness enthusiast. The daughter tried to impress me. I wasn't fond of her because she talked a lot. The daughter left a message about running away. The Chief came to my apartment. I proposed a search for the daughter. We couldn't locate her at the park. I transferred and left the police force.,143.6,11,11,2,"As a newcomer to the law enforcement team, I worked under an experienced Chief. He had a daughter who was still in her youth. My interest in physical health was well-known. His daughter made attempts to catch my attention, but her excessive chatter made her less appealing to me. One day, she left a note indicating her intention to elope. Subsequently, the Chief paid a visit to my residence. I suggested we initiate a quest to find his daughter. Despite our efforts, we were unsuccessful in finding her at the local recreational area. Eventually, I made the decision to move on and resigned from my position with the police department.",637,95.80416870169998,0.1504
19,405,0.3285,I was a rookie in the police force. The Chief was a veteran officer. The Chief had a young daughter. I was a fitness enthusiast. She seemed to try to impress me. I wasn't very fond of the Chief's daughter. She left a message about running away. The Chief visited my apartment angrily. I proposed to help search for his daughter. We found her at the police station. I transferred and left the police force.,133.04,11,11,3,"As a newcomer to the law enforcement team, I worked under the command of an experienced officer. This officer, the Chief, was the father of a youthful girl. My own passion for physical exercise was evident. It appeared as though his daughter was making efforts to catch my attention. However, I didn't particularly take to the Chief's offspring. One day, she left a note indicating her intention to elope. In a state of fury, the Chief confronted me at my residence. I offered my assistance to locate his missing child. Surprisingly, we discovered her at the precinct. Subsequently, I made the decision to transfer and bid farewell to my position in the force.",660,90.76266477370001,0.1375
