,1,2,3,4,5,6,7,8,9,10,11
1,1.34,3.23,3.94,6.98,6.74,0.45,1.07,0.2,0.4,0.93,0.0
2,2.02,4.42,2.08,2.34,6.82,1.43,1.76,0.0,0.0,0.0,0.0
3,3.05,3.43,1.77,1.56,0.0,1.65,0.0,0.0,0.0,0.0,0.93
4,3.13,1.74,2.33,1.41,1.51,4.18,0.0,0.0,0.0,0.0,0.0
5,6.57,2.09,1.34,0.64,3.54,0.0,1.75,0.0,0.0,0.0,0.0
6,1.2,4.09,2.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.33,0.32,2.48,0.0,0.0,0.0,0.0,0.74,0.0,0.0,0.0
8,1.66,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
