segment_ids,text,keypoint
"(1, 3)","In the neighborhood I grew up in, Mrs. Baker was the resident cat lady. She had adopted at least twenty – or had given them homes.","Mrs. Baker, the neighborhood cat lady, adopted many cats"
"(4, 7)","But she had – a young grandson and back then I was quite the tomboy. And apparently, he was trying to befriend me. I never caught on.","Mrs. Baker’s grandson tried befriending me, but I was oblivious"
"(8, 11)",Truth is I didn't take to him much because he had – He was a charming lad until you saw his manners. He had poor manners. Goodness gracious he had poor manners.,I disliked him due to his notably poor manners
"(12, 12)",Then he left a note one day saying he was going to run away because she was always nagging about me.,He left a note saying he would run away
"(13, 14)",She came to my treehouse. Big old tabby cat in tow.,Mrs. Baker came to my treehouse with her tabby cat
"(15, 18)","I talked her down and said “Well we'll go find him and if we can't locate him, you can – go ahead and call the police if you need to.” I was strategizing.",I reassured her and suggested a plan to find him
"(19, 22)",So she took my advice. And we went to where they found his baseball cap – near the old mill and we trailed a bit more and we didn't find a trace.,We searched near the old mill but found nothing
"(23, 26)",And returned – it was a treehouse club – he was sitting on a branch with a comic book in his hand. He hadn't run away.,Returned to find him safe in the treehouse club
"(27, 27)",But – however – that resolved it for that day.,The situation was resolved for the day
"(28, 29)","But that evening the local sheriff, Officer Dawson said “You better lay low and stay out of sight because that woman never forgets anything once she gets it into her mind.” And I did.",Sheriff Dawson warned me to lay low
"(30, 32)",I laid low and stayed out of sight. That was the second time.,I stayed out of sight; it was the second time
