segment_id,segment_text,real_p_caught,gpt4o_emulated_p_caught,diff,abs_diff
30,I laid low,49,88,-39,39
31,and stayed out of sight.,49,88,-39,39
8,Truth is I didn't take to him much because he had –,59,97,-38,38
29,And I did.,49,86,-37,37
15,I talked her down,37,73,-36,36
10,He had poor manners.,62,97,-35,35
11,Goodness gracious he had poor manners.,62,97,-35,35
27,But – however – that resolved it for that day.,14,48,-34,34
21,and we trailed a bit more,55,89,-34,34
9,He was a charming lad until you saw his manners.,64,97,-33,33
26,He hadn't run away.,59,92,-33,33
24,– it was a treehouse club –,60,90,-30,30
22,and we didn't find a trace.,53,83,-30,30
19,So she took my advice.,58,85,-27,27
20,And we went to where they found his baseball cap – near the old mill,70,97,-27,27
23,And returned,39,64,-25,25
18,I was strategizing.,19,42,-23,23
17,"and if we can't locate him, you can – go ahead and call the police if you need to.”",57,79,-22,22
13,She came to my treehouse.,74,96,-22,22
16,and said “Well we'll go find him,67,88,-21,21
28,"But that evening the local sheriff, Officer Dawson said “You better lay low and stay out of sight because that woman never forgets anything once she gets it into her mind.”",76,97,-21,21
2,She had adopted at least twenty –,79,60,19,19
6,"And apparently, he was trying to befriend me.",71,90,-19,19
3,or had given them homes.,78,60,18,18
25,he was sitting on a branch with a comic book in his hand.,81,99,-18,18
14,Big old tabby cat in tow.,37,52,-15,15
5,and back then I was quite the tomboy.,66,51,15,15
12,Then he left a note one day saying he was going to run away because she was always nagging about me.,86,100,-14,14
7,I never caught on.,50,37,13,13
32,That was the second time.,22,11,11,11
4,But she had – a young grandson,82,84,-2,2
1,"In the neighborhood I grew up in, Mrs. Baker was the resident cat lady.",96,96,0,0
