,1,2,3,4,5,6,7,8,9,10,11
1,0.95,2.34,2.78,5.12,5.07,0.37,0.93,0.19,0.39,0.9,0.0
2,1.47,3.12,1.52,1.83,5.48,1.24,1.6,0.0,0.0,0.0,0.0
3,2.16,2.5,1.25,1.14,0.0,1.33,0.0,0.0,0.0,0.0,0.9
4,2.3,1.36,1.7,1.0,1.07,3.14,0.0,0.0,0.0,0.0,0.0
5,4.94,1.68,1.0,0.45,2.5,0.0,1.37,0.0,0.0,0.0,0.0
6,0.98,3.55,1.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.29,0.29,2.14,0.0,0.0,0.0,0.0,0.57,0.0,0.0,0.0
8,1.56,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
