,summary,rephrased_summary,total,len,rate,keypoints_id
39,"I grew up near Mrs. Baker, the cat lady.|I didn't like her grandson due to his poor manners.|I helped Mrs. Baker find her runaway grandson.|Officer Dawson told me to stay out of sight afterward.","My childhood home was close to where Mrs. Baker, known for her fondness for cats, resided. Her grandson, whose etiquette left much to be desired, was not someone I was fond of. Nonetheless, I assisted Mrs. Baker in locating her grandson when he had gone missing. Following the incident, Officer Dawson advised me to keep a low profile.",111.37,194,0.57,4_1
36,I didn't really like Mrs. Baker's grandson because he had poor manners.|I helped Mrs. Baker when her grandson left a note saying he was going to run away.|Officer Dawson advised me to stay out of sight after the incident.,"Mrs. Baker's grandson wasn't to my liking due to his lack of etiquette. When he left a message about his intention to flee, I assisted Mrs. Baker. Following the event, Officer Dawson recommended that I keep myself hidden.",109.09,221,0.49,3_1
44,"I was a tomboy in my neighborhood.|Mrs. Baker's grandson tried to befriend me.|He had poor manners, so I didn't like him.|I helped Mrs. Baker search for her runaway grandson.|Officer Dawson advised me to stay out of sight.","In my local area, I was known for my tomboyish ways. The grandson of Mrs. Baker made attempts at forging a friendship with me, but his lack of etiquette turned me off. When Mrs. Baker's grandson went missing, I assisted in the search for him. Meanwhile, Officer Dawson suggested that I keep a low profile.",97.77,222,0.44,5_3
37,I didn't take to Mrs. Baker's grandson because he had poor manners.|I helped Mrs. Baker when her grandson left a note saying he was running away.|Officer Dawson advised me to stay out of sight because Mrs. Baker never forgets.,"I wasn't fond of Mrs. Baker's grandson due to his lack of etiquette. I assisted Mrs. Baker after her grandson departed, leaving behind a message about his intention to flee. Officer Dawson counseled me to keep a low profile as Mrs. Baker has a long memory.",123.71,226,0.55,3_2
41,"I grew up near Mrs. Baker, who had many cats.|Her grandson with poor manners tried to befriend me.|He left a note about running away, and I helped Mrs. Baker look for him.|Officer Dawson advised me to stay out of sight because of Mrs. Baker.","My childhood home was close to Mrs. Baker's, a woman with numerous felines. Her ill-mannered grandson attempted to forge a friendship with me. One day, he dropped a message indicating his intention to elope, prompting me to assist Mrs. Baker in her search for him. During the search, Officer Dawson suggested I keep a low profile due to Mrs. Baker's presence.",151.15,241,0.63,4_3
38,"I grew up near Mrs. Baker who had many cats and a grandson who tried to befriend me.|Mrs. Baker's grandson left a note about running away due to her nagging about me.|We found him in the treehouse later, and I stayed out of sight as advised by Officer Dawson.","My childhood was spent in proximity to Mrs. Baker, a lady with numerous felines and a grandson who made efforts to forge a friendship with me. The grandson penned a message expressing his intent to flee from Mrs. Baker's persistent complaints concerning my presence. Eventually, he was discovered in the treehouse, and following Officer Dawson's counsel, I remained unseen.",144.7,259,0.56,3_3
40,I didn't get along with Mrs. Baker's grandson because of his poor manners.|He left a note saying he would run away because of Mrs. Baker's nagging.|I helped Mrs. Baker search for her grandson at the old mill.|Officer Dawson advised me to lay low after the incident.,"Mrs. Baker's grandson and I had a strained relationship due to his lack of etiquette. He penned a message expressing his intent to flee from Mrs. Baker's constant carping. In the quest to find her grandson, I assisted Mrs. Baker at the dilapidated mill. Following the event, Officer Dawson suggested that I keep a low profile.",120.02,265,0.45,4_2
42,I grew up near Mrs. Baker who adopted many cats.|Her grandson tried to befriend me despite his poor manners.|He left a note saying he would run away due to nagging.|Mrs. Baker and I looked for him and found him in the treehouse.|Officer Dawson advised me to lay low to avoid Mrs. Baker's memory.,"My childhood was spent in proximity to Mrs. Baker, a woman who took in numerous felines. Her grandson, lacking in etiquette, made efforts to forge a friendship with me. He departed, leaving behind a message expressing his intent to escape the constant carping. In our search, Mrs. Baker and I discovered him hiding out in the treehouse. Officer Dawson counseled me to keep a low profile to steer clear of stirring Mrs. Baker's recollections.",168.56,295,0.57,5_1
47,"I grew up in a neighborhood with Mrs. Baker, the cat lady.|I didn't like her grandson because of his poor manners.|He left a note saying he wanted to run away.|Mrs. Baker and I searched for him.|We found him safe in the treehouse reading a comic book.|Officer Dawson warned me to lay low around Mrs. Baker.","My childhood was spent in proximity to Mrs. Baker, known for her fondness for cats. Her grandson never won my favor due to his lack of etiquette. One day, he left behind a message expressing his desire to escape. In response, Mrs. Baker and I set out to locate him. Our search ended with the discovery of him unharmed in the treehouse, engrossed in a graphic novel. Officer Dawson advised me to keep a discreet presence when it came to Mrs. Baker.",154.6,306,0.51,6_3
43,"I grew up in a neighborhood with Mrs. Baker, the cat lady.|I didn't like her grandson because he had poor manners.|He left a note saying he was running away due to her nagging.|I helped find him at the treehouse, realizing he hadn't run away.|I stayed out of sight after Officer Dawson's warning about Mrs. Baker.","My childhood was spent in proximity to Mrs. Baker, known for her multitude of cats. Her grandson never won my favor, as his etiquette left much to be desired. One day, he left behind a message declaring his intention to escape her constant carping. I joined the search and discovered him in the treehouse, where it became clear he hadn't actually fled. Following Officer Dawson's caution regarding Mrs. Baker, I made sure to remain unseen.",153.4,313,0.49,5_2
45,"I grew up in a neighborhood with a cat lady named Mrs. Baker.|Mrs. Baker had a grandson who tried to befriend me.|I didn't like him because he had poor manners.|He left a note saying he would run away due to nagging about me.|We searched for him but found him in my treehouse reading a comic.|Officer Dawson advised me to lay low, and I did.","My childhood was spent in a community where a woman known for her many cats, Mrs. Baker, resided. Her grandson made attempts to forge a friendship with me, but I found his behavior uncouth and kept my distance. One day, he left behind a message declaring his intention to escape the constant badgering concerning our relationship. A search ensued, only to discover him ensconced in my treehouse, engrossed in a graphic novel. Following this incident, Officer Dawson counseled me to keep a low profile, which I heeded.",157.9,341,0.46,6_1
46,"I grew up with Mrs. Baker, the neighborhood cat lady.|Her grandson tried to befriend me, but had poor manners.|He left a note saying he would run away because of her nagging.|I suggested we look for him and call the police if needed.|We found him in the treehouse reading a comic book.|The sheriff advised me to lay low because she never forgets.","I was raised alongside Mrs. Baker, known in our area as the woman who adored cats. Her grandson attempted to forge a friendship with me, yet he lacked social grace. He departed, leaving behind a message declaring his intent to escape her constant carping. I proposed that we initiate a search for him and involve law enforcement if it became necessary. We discovered him ensconced in the treehouse, engrossed in a graphic novel. The local law enforcement officer counseled me to keep a low profile, as her memory was notoriously unforgiving.",168.09,346,0.49,6_2
51,"I grew up in a neighborhood with Mrs. Baker, the cat lady.|Mrs. Baker's grandson tried to befriend me.|I didn't like him because he had poor manners.|He left a note saying he was going to run away.|Mrs. Baker and I looked for him but couldn't find him.|I found him in the treehouse with a comic book.|Officer Dawson advised me to lay low.|I stayed out of sight as advised.","My childhood was spent in proximity to Mrs. Baker, known for her fondness for cats. Her grandson made attempts to forge a friendship with me, which I resisted due to his lack of etiquette. One day, he left behind a message indicating his intention to flee. In response, Mrs. Baker and I embarked on a search, to no avail. Eventually, I discovered him ensconced in the treehouse, engrossed in a graphic novel. Officer Dawson counseled me to keep a low profile, and I heeded his suggestion by remaining inconspicuous.",168.35,372,0.45,8_1
